x,y
458.8,719.0
459.0,718.8
460.0,718.8
460.8,718.0
460.8,717.0
461.0,716.8
461.8,716.0
462.0,715.8
463.0,715.8
463.8,715.0
464.0,714.8
464.8,714.0
464.8,713.0
464.8,712.0
464.8,711.0
464.8,710.0
465.0,709.8
465.8,709.0
465.0,708.2
464.8,708.0
464.8,707.0
464.8,706.0
464.0,705.2
463.8,705.0
463.8,704.0
463.8,703.0
463.8,702.0
463.0,701.2
462.8,701.0
463.0,700.8
463.8,700.0
463.0,699.2
462.2,700.0
462.0,700.2
461.8,700.0
461.8,699.0
461.8,698.0
461.8,697.0
461.8,696.0
461.8,695.0
461.8,694.0
461.8,693.0
461.8,692.0
461.8,691.0
461.8,690.0
461.8,689.0
461.8,688.0
461.8,687.0
461.8,686.0
461.8,685.0
461.8,684.0
461.8,683.0
461.8,682.0
461.8,681.0
461.8,680.0
461.8,679.0
461.8,678.0
461.0,677.2
460.8,677.0
460.0,676.2
459.8,676.0
460.0,675.8
460.8,675.0
460.0,674.2
459.8,674.0
460.0,673.8
460.8,673.0
460.0,672.2
459.0,672.2
458.0,672.2
457.8,672.0
457.0,671.2
456.0,671.2
455.8,671.0
455.8,670.0
455.8,669.0
455.8,668.0
456.0,667.8
456.8,667.0
456.8,666.0
457.0,665.8
457.8,665.0
457.8,664.0
458.0,663.8
458.8,663.0
458.8,662.0
458.8,661.0
458.8,660.0
459.0,659.8
459.8,659.0
459.8,658.0
459.8,657.0
459.0,656.2
458.8,656.0
459.0,655.8
460.0,655.8
460.8,655.0
460.8,654.0
460.8,653.0
460.8,652.0
460.8,651.0
460.8,650.0
460.8,649.0
460.8,648.0
460.8,647.0
460.8,646.0
460.8,645.0
460.8,644.0
460.8,643.0
460.8,642.0
460.8,641.0
460.8,640.0
460.8,639.0
460.8,638.0
460.8,637.0
460.8,636.0
460.8,635.0
460.8,634.0
460.8,633.0
460.8,632.0
460.8,631.0
460.8,630.0
460.8,629.0
460.8,628.0
460.8,627.0
460.8,626.0
460.8,625.0
460.8,624.0
460.8,623.0
460.8,622.0
460.8,621.0
460.8,620.0
460.8,619.0
460.8,618.0
460.8,617.0
460.8,616.0
460.8,615.0
460.8,614.0
460.0,613.2
459.2,614.0
459.2,615.0
459.2,616.0
459.2,617.0
459.0,617.2
458.8,617.0
458.8,616.0
458.8,615.0
458.8,614.0
458.8,613.0
458.8,612.0
458.8,611.0
458.8,610.0
458.8,609.0
458.8,608.0
458.8,607.0
458.8,606.0
458.8,605.0
458.8,604.0
458.8,603.0
458.8,602.0
458.8,601.0
458.8,600.0
458.8,599.0
458.8,598.0
458.8,597.0
458.8,596.0
459.0,595.8
459.8,595.0
459.0,594.2
458.8,594.0
458.8,593.0
458.0,592.2
457.8,592.0
457.0,591.2
456.8,591.0
456.8,590.0
456.8,589.0
456.0,588.2
455.8,588.0
455.8,587.0
455.0,586.2
454.8,586.0
454.0,585.2
453.8,585.0
453.0,584.2
452.8,584.0
452.0,583.2
451.0,583.2
450.0,583.2
449.0,583.2
448.0,583.2
447.2,584.0
447.0,584.2
446.0,584.2
445.2,585.0
445.0,585.2
444.2,586.0
444.0,586.2
443.8,586.0
443.0,585.2
442.0,585.2
441.0,585.2
440.0,585.2
439.0,585.2
438.0,585.2
437.0,585.2
436.0,585.2
435.0,585.2
434.2,586.0
434.0,586.2
433.2,587.0
433.2,588.0
433.0,588.2
432.2,589.0
432.2,590.0
432.0,590.2
431.0,590.2
430.0,590.2
429.0,590.2
428.2,591.0
428.2,592.0
428.2,593.0
428.2,594.0
428.0,594.2
427.2,595.0
427.0,595.2
426.0,595.2
425.2,596.0
425.0,596.2
424.0,596.2
423.0,596.2
422.0,596.2
421.2,597.0
421.0,597.2
420.2,598.0
420.2,599.0
420.2,600.0
421.0,600.8
421.2,601.0
421.0,601.2
420.2,602.0
420.0,602.2
419.8,602.0
419.0,601.2
418.8,601.0
418.0,600.2
417.0,600.2
416.8,600.0
416.0,599.2
415.2,600.0
415.0,600.2
414.8,600.0
414.0,599.2
413.0,599.2
412.0,599.2
411.2,600.0
411.0,600.2
410.0,600.2
409.2,601.0
409.0,601.2
408.2,602.0
408.0,602.2
407.2,603.0
407.2,604.0
407.2,605.0
407.0,605.2
406.2,606.0
406.0,606.2
405.0,606.2
404.0,606.2
403.8,606.0
403.0,605.2
402.8,605.0
402.0,604.2
401.2,605.0
402.0,605.8
402.2,606.0
402.0,606.2
401.0,606.2
400.8,606.0
400.0,605.2
399.0,605.2
398.0,605.2
397.2,606.0
397.0,606.2
396.2,607.0
396.0,607.2
395.2,608.0
395.0,608.2
394.2,609.0
394.2,610.0
394.0,610.2
393.2,611.0
393.0,611.2
392.2,612.0
392.0,612.2
391.0,612.2
390.0,612.2
389.0,612.2
388.0,612.2
387.2,613.0
387.2,614.0
387.2,615.0
387.2,616.0
387.0,616.2
386.2,617.0
386.2,618.0
387.0,618.8
387.2,619.0
387.2,620.0
387.2,621.0
387.2,622.0
388.0,622.8
388.2,623.0
388.2,624.0
388.0,624.2
387.2,625.0
387.0,625.2
386.0,625.2
385.0,625.2
384.8,625.0
384.0,624.2
383.2,625.0
383.2,626.0
384.0,626.8
385.0,626.8
385.2,627.0
385.2,628.0
385.2,629.0
385.2,630.0
385.0,630.2
384.2,631.0
384.2,632.0
384.2,633.0
385.0,633.8
385.2,634.0
385.0,634.2
384.2,635.0
384.2,636.0
384.2,637.0
385.0,637.8
385.2,638.0
385.0,638.2
384.2,639.0
384.0,639.2
383.2,640.0
