x,y
269.8,705.0
270.0,704.8
271.0,704.8
272.0,704.8
273.0,704.8
273.8,704.0
274.0,703.8
274.8,703.0
275.0,702.8
275.8,702.0
275.8,701.0
275.8,700.0
276.0,699.8
276.8,699.0
276.0,698.2
275.0,698.2
274.0,698.2
273.0,698.2
272.8,698.0
272.0,697.2
271.0,697.2
270.8,697.0
270.0,696.2
269.0,696.2
268.8,696.0
268.0,695.2
267.0,695.2
266.8,695.0
266.0,694.2
265.0,694.2
264.8,694.0
264.0,693.2
263.0,693.2
262.8,693.0
262.0,692.2
261.0,692.2
260.8,692.0
260.0,691.2
259.0,691.2
258.8,691.0
258.0,690.2
257.8,690.0
257.0,689.2
256.0,689.2
255.8,689.0
255.0,688.2
254.0,688.2
253.0,688.2
252.8,688.0
252.0,687.2
251.0,687.2
250.8,687.0
250.0,686.2
249.0,686.2
248.0,686.2
247.0,686.2
246.8,686.0
246.0,685.2
245.0,685.2
244.0,685.2
243.0,685.2
242.8,685.0
242.0,684.2
241.0,684.2
240.0,684.2
239.0,684.2
238.0,684.2
237.0,684.2
236.8,684.0
236.0,683.2
235.0,683.2
234.0,683.2
233.0,683.2
232.0,683.2
231.8,683.0
231.0,682.2
230.0,682.2
229.0,682.2
228.0,682.2
227.0,682.2
226.0,682.2
225.0,682.2
224.0,682.2
223.0,682.2
222.0,682.2
221.0,682.2
220.8,682.0
220.0,681.2
219.0,681.2
218.0,681.2
217.0,681.2
216.0,681.2
215.0,681.2
214.8,681.0
214.0,680.2
213.0,680.2
212.0,680.2
211.0,680.2
210.2,681.0
210.0,681.2
209.0,681.2
208.0,681.2
207.0,681.2
206.0,681.2
205.0,681.2
204.0,681.2
203.2,682.0
203.0,682.2
202.0,682.2
201.0,682.2
200.0,682.2
199.2,683.0
199.0,683.2
198.0,683.2
197.0,683.2
196.0,683.2
195.2,684.0
195.0,684.2
194.0,684.2
193.0,684.2
192.0,684.2
191.2,685.0
191.0,685.2
190.0,685.2
189.0,685.2
188.2,686.0
188.0,686.2
187.0,686.2
186.2,687.0
186.2,688.0
187.0,688.8
187.2,689.0
188.0,689.8
189.0,689.8
190.0,689.8
191.0,689.8
192.0,689.8
193.0,689.8
194.0,689.8
195.0,689.8
196.0,689.8
197.0,689.8
198.0,689.8
199.0,689.8
199.2,690.0
200.0,690.8
201.0,690.8
202.0,690.8
203.0,690.8
203.2,691.0
204.0,691.8
205.0,691.8
205.2,692.0
206.0,692.8
207.0,692.8
208.0,692.8
208.2,693.0
209.0,693.8
210.0,693.8
211.0,693.8
211.2,694.0
212.0,694.8
213.0,694.8
214.0,694.8
214.2,695.0
215.0,695.8
216.0,695.8
216.2,696.0
217.0,696.8
218.0,696.8
219.0,696.8
220.0,696.8
220.2,697.0
221.0,697.8
222.0,697.8
223.0,697.8
223.2,698.0
224.0,698.8
225.0,698.8
226.0,698.8
227.0,698.8
227.2,699.0
228.0,699.8
229.0,699.8
230.0,699.8
230.2,700.0
231.0,700.8
232.0,700.8
233.0,700.8
234.0,700.8
234.2,701.0
235.0,701.8
236.0,701.8
237.0,701.8
238.0,701.8
239.0,701.8
239.2,702.0
240.0,702.8
241.0,702.8
242.0,702.8
243.0,702.8
244.0,702.8
245.0,702.8
246.0,702.8
246.2,703.0
247.0,703.8
248.0,703.8
249.0,703.8
250.0,703.8
250.2,704.0
251.0,704.8
252.0,704.8
253.0,704.8
254.0,704.8
255.0,704.8
256.0,704.8
257.0,704.8
258.0,704.8
259.0,704.8
260.0,704.8
261.0,704.8
261.2,705.0
262.0,705.8
263.0,705.8
264.0,705.8
265.0,705.8
266.0,705.8
267.0,705.8
268.0,705.8
269.0,705.8
269.8,705.0
