x,y
304.8,99.0
305.0,98.8
306.0,98.8
307.0,98.8
307.8,98.0
308.0,97.8
309.0,97.8
309.8,97.0
310.0,96.8
311.0,96.8
311.8,96.0
312.0,95.8
313.0,95.8
314.0,95.8
314.8,95.0
315.0,94.8
315.8,94.0
316.0,93.8
317.0,93.8
317.8,93.0
318.0,92.8
318.8,92.0
319.0,91.8
319.8,91.0
319.8,90.0
319.8,89.0
319.8,88.0
319.8,87.0
319.8,86.0
319.8,85.0
319.8,84.0
319.8,83.0
319.8,82.0
320.0,81.8
320.8,81.0
320.8,80.0
321.0,79.8
321.8,79.0
321.8,78.0
322.0,77.8
322.8,77.0
323.0,76.8
323.8,76.0
323.8,75.0
324.0,74.8
324.8,74.0
324.8,73.0
324.8,72.0
324.8,71.0
324.8,70.0
325.0,69.8
325.8,69.0
325.8,68.0
325.8,67.0
325.0,66.2
324.8,66.0
324.8,65.0
324.8,64.0
324.8,63.0
324.0,62.2
323.8,62.0
323.8,61.0
323.8,60.0
323.0,59.2
322.8,59.0
322.8,58.0
322.8,57.0
322.8,56.0
322.8,55.0
322.0,54.2
321.8,54.0
321.0,53.2
320.8,53.0
320.8,52.0
320.0,51.2
319.8,51.0
319.0,50.2
318.8,50.0
318.0,49.2
317.8,49.0
317.0,48.2
316.8,48.0
316.0,47.2
315.8,47.0
315.0,46.2
314.0,46.2
313.8,46.0
313.0,45.2
312.8,45.0
312.0,44.2
311.0,44.2
310.8,44.0
310.0,43.2
309.0,43.2
308.8,43.0
308.0,42.2
307.0,42.2
306.0,42.2
305.8,42.0
305.0,41.2
304.0,41.2
303.8,41.0
303.0,40.2
302.0,40.2
301.0,40.2
300.2,41.0
300.0,41.2
299.0,41.2
298.0,41.2
297.0,41.2
296.0,41.2
295.0,41.2
294.2,42.0
294.0,42.2
293.0,42.2
292.0,42.2
291.2,43.0
291.0,43.2
290.2,44.0
290.2,45.0
290.0,45.2
289.8,45.0
289.8,44.0
289.0,43.2
288.8,43.0
288.8,42.0
288.0,41.2
287.2,42.0
287.0,42.2
286.0,42.2
285.8,42.0
285.0,41.2
284.8,41.0
284.8,40.0
284.0,39.2
283.8,39.0
283.0,38.2
282.8,38.0
282.8,37.0
282.8,36.0
282.0,35.2
281.8,35.0
281.8,34.0
281.8,33.0
281.0,32.2
280.8,32.0
280.0,31.2
279.0,31.2
278.8,31.0
278.0,30.2
277.0,30.2
276.0,30.2
275.2,31.0
275.0,31.2
274.2,32.0
274.2,33.0
274.0,33.2
273.2,34.0
273.2,35.0
273.0,35.2
272.2,36.0
272.2,37.0
272.2,38.0
273.0,38.8
273.2,39.0
273.2,40.0
273.2,41.0
274.0,41.8
274.2,42.0
274.2,43.0
275.0,43.8
275.2,44.0
275.2,45.0
275.2,46.0
276.0,46.8
276.2,47.0
276.2,48.0
277.0,48.8
277.2,49.0
277.2,50.0
278.0,50.8
278.2,51.0
278.2,52.0
279.0,52.8
279.2,53.0
279.2,54.0
279.2,55.0
280.0,55.8
280.2,56.0
280.2,57.0
280.0,57.2
279.8,57.0
279.0,56.2
278.8,56.0
278.8,55.0
278.0,54.2
277.8,54.0
277.0,53.2
276.0,53.2
275.0,53.2
274.2,54.0
274.0,54.2
273.0,54.2
272.2,55.0
272.0,55.2
271.2,56.0
271.2,57.0
271.0,57.2
270.2,58.0
270.0,58.2
269.2,59.0
269.2,60.0
269.0,60.2
268.2,61.0
268.0,61.2
267.2,62.0
267.2,63.0
267.0,63.2
266.2,64.0
266.2,65.0
266.2,66.0
266.0,66.2
265.2,67.0
265.2,68.0
265.2,69.0
266.0,69.8
266.2,70.0
266.2,71.0
266.2,72.0
267.0,72.8
267.2,73.0
267.2,74.0
267.2,75.0
268.0,75.8
268.2,76.0
268.2,77.0
269.0,77.8
269.2,78.0
270.0,78.8
270.2,79.0
270.2,80.0
271.0,80.8
271.2,81.0
272.0,81.8
272.2,82.0
272.2,83.0
273.0,83.8
273.2,84.0
274.0,84.8
274.2,85.0
274.2,86.0
275.0,86.8
275.2,87.0
276.0,87.8
276.2,88.0
277.0,88.8
277.2,89.0
278.0,89.8
278.2,90.0
279.0,90.8
279.2,91.0
280.0,91.8
280.2,92.0
281.0,92.8
281.2,93.0
282.0,93.8
282.2,94.0
283.0,94.8
284.0,94.8
284.2,95.0
285.0,95.8
286.0,95.8
287.0,95.8
287.2,96.0
288.0,96.8
289.0,96.8
290.0,96.8
290.2,97.0
291.0,97.8
292.0,97.8
293.0,97.8
294.0,97.8
294.2,98.0
295.0,98.8
296.0,98.8
297.0,98.8
298.0,98.8
299.0,98.8
299.2,99.0
300.0,99.8
301.0,99.8
302.0,99.8
303.0,99.8
304.0,99.8
304.8,99.0
