"","object_id_target","x","y","point_order","object_id","radians","shiftpoints","treatment","target"
"1","BEN05_0016_t_BEN04_0016_t",-1.264190337526,0.0671408684169032,1,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"2","BEN05_0016_t_BEN04_0016_t",-1.25531716467668,0.0400125951311927,2,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"3","BEN05_0016_t_BEN04_0016_t",-1.24203694192732,0.0143252808620387,3,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"4","BEN05_0016_t_BEN04_0016_t",-1.22545899262516,-0.0102003885031194,4,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"5","BEN05_0016_t_BEN04_0016_t",-1.20870444313132,-0.0346631921621389,5,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"6","BEN05_0016_t_BEN04_0016_t",-1.1949778018802,-0.0602038632231714,6,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"7","BEN05_0016_t_BEN04_0016_t",-1.18569310561722,-0.0873257670430874,7,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"8","BEN05_0016_t_BEN04_0016_t",-1.17946454318144,-0.115535585939845,8,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"9","BEN05_0016_t_BEN04_0016_t",-1.17286745624487,-0.14361421838233,9,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"10","BEN05_0016_t_BEN04_0016_t",-1.16273924834676,-0.170435850984684,10,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"11","BEN05_0016_t_BEN04_0016_t",-1.14823461092731,-0.195699572864465,11,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"12","BEN05_0016_t_BEN04_0016_t",-1.13117705239951,-0.220054512105519,12,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"13","BEN05_0016_t_BEN04_0016_t",-1.11490211213133,-0.244688045888636,13,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"14","BEN05_0016_t_BEN04_0016_t",-1.10240689997312,-0.27066707807912,14,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"15","BEN05_0016_t_BEN04_0016_t",-1.09445733209508,-0.298264257649921,15,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"16","BEN05_0016_t_BEN04_0016_t",-1.08881023811978,-0.326677847085084,16,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"17","BEN05_0016_t_BEN04_0016_t",-1.0816014929852,-0.354489145043963,17,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"18","BEN05_0016_t_BEN04_0016_t",-1.06991789596547,-0.380420764470356,18,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"19","BEN05_0016_t_BEN04_0016_t",-1.05310184548812,-0.403500636173453,19,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
"20","BEN05_0016_t_BEN04_0016_t",-1.03193598401178,-0.422670928562538,20,"BEN05_0016_t",3,165,"96239","BEN04_0016_t"
