image_id,start_date,end_date,colour_id,colour description,r,g,b,notes
BEN04,1540,1560,black_1,black_outline,55,66,88,
BEN06,1560,1620,black_1,black_outline,32,32,24,
BM12,1560,1620,black_1,black_outline,70,67,58,
BM62,1540,1560,black_1,black_outline,65,74,79,
BM63,1560,1620,black_1,black_outline,70,18,31,
BM65,1549,1549,black_1,black_outline,46,52,38,
FMC13,1560,1620,black_1,black_outline,0,42,17,
KOC04,1560,1620,black_1,black_outline,38,39,44,
LOU10,1540,1560,black_1,black_outline,30,47,75,
MET14,1540,1560,black_1,black_outline,43,43,81,
MET28,1560,1620,black_1,black_outline,60,73,79,
MET40,1620,1700,black_1,black_outline,46,46,38,
TLCM15,1620,1700,black_1,black_outline,13,22,19,
VA_no131-1885,1557,1557,black_1,black_outline,56,64,77,
VA05,1540,1560,black_1,black_outline,56,64,77,
VA30,1540,1560,black_1,black_outline,47,66,73,
BEN04,1540,1560,blue_1,bright_cobalt_blue,31,45,144,
BEN06,1560,1620,blue_1,bright_cobalt_blue,94,131,202,
BM12,1560,1620,blue_1,bright_cobalt_blue,75,95,184,
BM22,1620,1700,blue_1,bright_cobalt_blue,67,94,111,
BM62,1540,1560,blue_1,bright_cobalt_blue,33,52,129,
BM63,1560,1620,blue_1,bright_cobalt_blue,15,52,133,
BM65,1549,1549,blue_1,bright_cobalt_blue,39,52,105,
HAM01,1520,1540,blue_1,bright_cobalt_blue,67,100,215,
IPOT02,1520,1560,blue_1,bright_cobalt_blue,NA,NA,NA,
IPOT03,1520,1560,blue_1,bright_cobalt_blue,NA,NA,NA,
KOC04,1560,1620,blue_1,bright_cobalt_blue,51,53,91,
LOU10,1540,1560,blue_1,bright_cobalt_blue,34,72,137,
MET14,1540,1560,blue_1,bright_cobalt_blue,75,81,141,
MET17,1520,1540,blue_1,bright_cobalt_blue,68,78,139,
MET28,1560,1620,blue_1,bright_cobalt_blue,36,63,130,
MET40,1620,1700,blue_1,bright_cobalt_blue,47,71,95,
TLCM15,1620,1700,blue_1,bright_cobalt_blue,55,62,81,
VA_no131-1885,1557,1557,blue_1,bright_cobalt_blue,44,71,158,not segmented
VA05,1540,1560,blue_1,bright_cobalt_blue,63,105,191,
VA30,1540,1560,blue_1,bright_cobalt_blue,45,81,141,
MET17,1520,1540,blue_2,lilac_blue,138,157,199,
BEN06,1560,1620,blue_3,dark_blue,52,56,85,
BM12,1560,1620,blue_3,dark_blue,44,61,151,
BM22,1620,1700,blue_3,dark_blue,42,49,65,
FMC13,1560,1620,blue_2,pale_blue,97,98,129,
IPOT02,1520,1560,blue_3,dark_blue,47,36,66,
IPOT03,1520,1560,blue_3,dark_blue,25,25,63,
BM62,1540,1560,blue_2,pale_blue,126,145,185,
BM65,1549,1549,blue_2,pale_blue,136,148,174,
IPOT02,1520,1560,blue_3,dark_blue,75,64,81,
IPOT03,1520,1560,blue_2,pale_blue,107,102,108,
VA30,1540,1560,blue_2,pale_blue,107,152,211,
VA30,1540,1560,blue_3,blue_green,116,152,140,
BEN04,1540,1560,green_1,sage_green,112,114,103,
BM62,1540,1560,green_1,sage_green,92,113,46,
MET14,1540,1560,green_1,sage_green,NA,NA,NA,
VA05,1540,1560,green_1,sage_green,144,157,148,
VA30,1540,1560,green_1,sage_green,134,144,109,
BM63,1560,1620,green_2,emerald_green,6,128,107,
FMC13,1560,1620,green_2,emerald_green,4,161,118,
KOC04,1560,1620,green_2,emerald_green,67,112,81,
MET28,1560,1620,green_2,emerald_green,61,114,98,
BEN06,1560,1620,green_2,dark_green,45,68,52,
LOU10,1540,1560,green_2,pale_green,170,205,147,
BM62,1540,1560,purple_1,dark_purple,NA,NA,NA,
LOU10,1540,1560,purple_1,dark_purple,106,106,142,
VA05,1540,1560,purple_1,dark_purple,69,50,69,
VA30,1540,1560,purple_1,dark_purple,160,145,164,
LOU10,1540,1560,purple_1,medium_purple,143,147,172,
BEN04,1540,1560,purple_1,pale_purple,178,165,175,
VA_no131-1885,1557,1557,red_1,thin_orange_red,148,99,69,not segmented
BM63,1560,1620,red_2,bright_red,183,91,54,
FMC13,1560,1620,red_2,bright_red,189,66,76,
BEN06,1560,1620,red_2,dark_brick_red,146,73,24,
BM12,1560,1620,red_2,dark_brick_red,110,55,34,
KOC04,1560,1620,red_2,dark_brick_red,103,66,40,
MET28,1560,1620,red_2,dark_brick_red,117,41,18,
MET40,1620,1700,red_2,dark_brick_red,152,80,66,
BEN04,1540,1560,turquoise_1,clear turquoise,90,155,197,
BM62,1540,1560,turquoise_1,clear turquoise,138,175,191,
HAM01,1520,1540,turquoise_1,clear turquoise,145,198,242,
LOU10,1540,1560,turquoise_1,clear turquoise,150,214,239,
MET14,1540,1560,turquoise_1,clear turquoise,84,165,166,
MET17,1520,1540,turquoise_1,clear turquoise,103,179,211,
VA_no131-1885,1557,1557,turquoise_1,clear turquoise,105,144,185,not segmented
VA05,1540,1560,turquoise_1,clear turquoise,152,220,241,
VA30,1540,1560,turquoise_1,clear turquoise,124,199,220,
BM22,1620,1700,turquoise_2,greenish_turquoise,86,141,109,
BM65,1549,1549,turquoise_2,greenish_turquoise,78,131,145,
MET40,1620,1700,turquoise_2,greenish_turquoise,97,155,159,
TLCM15,1620,1700,turquoise_2,greenish_turquoise,34,82,82,
