image_id,ceramic_type,units,where_made,manufacturer_artist,date_earliest,date_latest,saz_count,carnation_count,tulip_count,use_for_motif_classification,use_for_segmentation,segmented,where_held,museum_no,source,page,imagedim1,imagedim2,imagesize,comments
iBM10,,,Egypt_Fustat,NA,1400,1500,,,,0,0,0,BM_London,"no_1891,0701.214",web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=1613185866&objectId=238747&partId=1,NA,NA,NA,
iBM11,,,Egypt_Fustat,NA,1400,1500,,,,0,0,0,BM_London,"no_1921,0301.5",web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=1613195979&objectId=237898&partId=1,NA,NA,NA,
iBM12,,,Egypt_Fustat,NA,1400,1500,,,,0,0,0,BM_London,"no_1891,0701.216",web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=16297001&objectId=238745&partId=1,NA,NA,NA,
iBM13,,,Egypt_Fustat,NA,1300,1400,,,,0,0,0,BM_London,"no_1891,0,701.19",web,https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=1613185880&objectId=217975&partId=1,NA,NA,NA,
iVA28,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:17-1900,web,http://collections.vam.ac.uk/item/O283242/tile-derby-tile-company/,NA,NA,NA,
iVA29,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:11-1900,web,http://collections.vam.ac.uk/item/O283235/tile-derby-tile-company/,NA,NA,NA,
iVA30,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:14-1900,web,http://collections.vam.ac.uk/item/O283239/tile-derby-tile-company/,NA,NA,NA,
iVA31,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:8-1900,web,http://collections.vam.ac.uk/item/O283230/tile-derby-tile-company/,NA,NA,NA,
iVA36,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:18-1900,web,http://collections.vam.ac.uk/item/O283241/tile-derby-tile-company/,NA,NA,NA,
iVA39,,,England_Belper,Derby Tile Company,1800,1900,,,,0,0,0,VA_London,no_101:13-1900,web,http://collections.vam.ac.uk/item/O283238/tile-derby-tile-company/,NA,NA,NA,
