x,y
268.8,240.0
269.0,239.8
270.0,239.8
270.8,239.0
270.8,238.0
271.0,237.8
272.0,237.8
273.0,237.8
274.0,237.8
274.8,237.0
274.8,236.0
275.0,235.8
276.0,235.8
276.8,235.0
276.8,234.0
276.8,233.0
277.0,232.8
277.8,232.0
278.0,231.8
278.8,231.0
278.8,230.0
278.8,229.0
278.8,228.0
278.8,227.0
278.8,226.0
278.8,225.0
278.0,224.2
277.0,224.2
276.0,224.2
275.8,224.0
276.0,223.8
276.8,223.0
277.0,222.8
278.0,222.8
279.0,222.8
280.0,222.8
281.0,222.8
282.0,222.8
282.2,223.0
283.0,223.8
283.2,224.0
284.0,224.8
285.0,224.8
286.0,224.8
287.0,224.8
288.0,224.8
289.0,224.8
290.0,224.8
290.2,225.0
291.0,225.8
291.2,226.0
292.0,226.8
293.0,226.8
294.0,226.8
295.0,226.8
296.0,226.8
296.2,227.0
297.0,227.8
297.2,228.0
298.0,228.8
299.0,228.8
300.0,228.8
301.0,228.8
301.2,229.0
301.2,230.0
302.0,230.8
303.0,230.8
304.0,230.8
305.0,230.8
306.0,230.8
307.0,230.8
308.0,230.8
309.0,230.8
310.0,230.8
311.0,230.8
311.8,230.0
312.0,229.8
312.8,229.0
313.0,228.8
314.0,228.8
314.8,228.0
314.8,227.0
314.8,226.0
314.8,225.0
314.8,224.0
314.0,223.2
313.8,223.0
313.0,222.2
312.8,222.0
312.0,221.2
311.8,221.0
311.0,220.2
310.0,220.2
309.0,220.2
308.8,220.0
308.8,219.0
308.0,218.2
307.0,218.2
306.0,218.2
305.0,218.2
304.8,218.0
304.0,217.2
303.8,217.0
303.0,216.2
302.8,216.0
302.0,215.2
301.8,215.0
301.0,214.2
300.0,214.2
299.0,214.2
298.8,214.0
298.0,213.2
297.8,213.0
297.0,212.2
296.0,212.2
295.0,212.2
294.8,212.0
294.0,211.2
293.8,211.0
293.0,210.2
292.0,210.2
291.0,210.2
290.8,210.0
290.0,209.2
289.8,209.0
289.0,208.2
288.0,208.2
287.0,208.2
286.8,208.0
286.0,207.2
285.8,207.0
285.0,206.2
284.0,206.2
283.0,206.2
282.8,206.0
282.0,205.2
281.8,205.0
281.0,204.2
280.8,204.0
280.0,203.2
279.8,203.0
280.0,202.8
281.0,202.8
281.8,202.0
282.0,201.8
283.0,201.8
284.0,201.8
285.0,201.8
286.0,201.8
286.8,201.0
286.0,200.2
285.8,200.0
285.8,199.0
285.8,198.0
286.0,197.8
286.8,197.0
286.8,196.0
286.8,195.0
286.8,194.0
286.8,193.0
286.8,192.0
286.8,191.0
286.8,190.0
286.0,189.2
285.8,189.0
285.0,188.2
284.8,188.0
284.0,187.2
283.8,187.0
283.0,186.2
282.8,186.0
282.0,185.2
281.8,185.0
281.0,184.2
280.8,184.0
280.0,183.2
279.8,183.0
279.0,182.2
278.0,182.2
277.0,182.2
276.0,182.2
275.0,182.2
274.0,182.2
273.0,182.2
272.0,182.2
271.0,182.2
270.0,182.2
269.0,182.2
268.8,182.0
268.8,181.0
269.0,180.8
269.8,180.0
270.0,179.8
270.8,179.0
271.0,178.8
271.8,178.0
272.0,177.8
272.8,177.0
272.8,176.0
272.0,175.2
271.8,175.0
271.0,174.2
270.8,174.0
270.8,173.0
270.0,172.2
269.8,172.0
269.0,171.2
268.2,172.0
268.0,172.2
267.0,172.2
266.0,172.2
265.0,172.2
264.2,173.0
264.2,174.0
264.2,175.0
264.2,176.0
264.2,177.0
264.2,178.0
264.0,178.2
263.2,179.0
263.0,179.2
262.2,180.0
262.2,181.0
263.0,181.8
263.2,182.0
263.2,183.0
263.0,183.2
262.2,184.0
