x,y
635.8,260.0
635.8,259.0
635.8,258.0
635.8,257.0
635.8,256.0
635.8,255.0
635.0,254.2
634.8,254.0
635.0,253.8
636.0,253.8
637.0,253.8
637.2,254.0
637.2,255.0
638.0,255.8
638.2,256.0
639.0,256.8
639.2,257.0
640.0,257.8
640.2,258.0
641.0,258.8
642.0,258.8
642.8,258.0
642.8,257.0
642.0,256.2
641.8,256.0
641.8,255.0
641.8,254.0
641.8,253.0
641.0,252.2
640.8,252.0
640.8,251.0
640.0,250.2
639.8,250.0
639.8,249.0
639.0,248.2
638.8,248.0
639.0,247.8
640.0,247.8
641.0,247.8
641.2,248.0
642.0,248.8
643.0,248.8
643.8,248.0
644.0,247.8
644.8,247.0
644.8,246.0
644.8,245.0
644.8,244.0
644.0,243.2
643.8,243.0
643.8,242.0
643.0,241.2
642.0,241.2
641.8,241.0
641.0,240.2
640.8,240.0
640.0,239.2
639.8,239.0
640.0,238.8
640.8,238.0
641.0,237.8
642.0,237.8
643.0,237.8
643.8,237.0
644.0,236.8
645.0,236.8
645.8,236.0
645.8,235.0
646.0,234.8
646.8,234.0
646.8,233.0
646.0,232.2
645.8,232.0
645.8,231.0
645.0,230.2
644.0,230.2
643.0,230.2
642.0,230.2
641.0,230.2
640.0,230.2
639.0,230.2
638.0,230.2
637.0,230.2
636.0,230.2
635.0,230.2
634.8,230.0
634.0,229.2
633.8,229.0
633.0,228.2
632.0,228.2
631.0,228.2
630.8,228.0
630.0,227.2
629.0,227.2
628.8,227.0
628.0,226.2
627.8,226.0
627.0,225.2
626.8,225.0
626.0,224.2
625.2,225.0
625.0,225.2
624.8,225.0
624.0,224.2
623.0,224.2
622.0,224.2
621.0,224.2
620.0,224.2
619.0,224.2
618.8,224.0
618.0,223.2
617.0,223.2
616.0,223.2
615.0,223.2
614.0,223.2
613.8,223.0
613.8,222.0
613.8,221.0
613.0,220.2
612.0,220.2
611.0,220.2
610.0,220.2
609.8,220.0
609.8,219.0
609.0,218.2
608.8,218.0
608.8,217.0
608.0,216.2
607.0,216.2
606.8,216.0
606.8,215.0
606.0,214.2
605.8,214.0
605.0,213.2
604.8,213.0
604.8,212.0
604.0,211.2
603.8,211.0
603.0,210.2
602.8,210.0
602.0,209.2
601.8,209.0
601.0,208.2
600.0,208.2
599.8,208.0
599.0,207.2
598.8,207.0
598.0,206.2
597.8,206.0
597.0,205.2
596.8,205.0
596.0,204.2
595.2,205.0
595.0,205.2
594.8,205.0
594.0,204.2
593.8,204.0
593.0,203.2
592.8,203.0
592.0,202.2
591.8,202.0
591.0,201.2
590.0,201.2
589.0,201.2
588.0,201.2
587.8,201.0
587.8,200.0
587.0,199.2
586.0,199.2
585.8,199.0
585.0,198.2
584.0,198.2
583.8,198.0
583.8,197.0
583.0,196.2
582.0,196.2
581.0,196.2
580.0,196.2
579.0,196.2
578.0,196.2
577.0,196.2
576.0,196.2
575.8,196.0
575.0,195.2
574.0,195.2
573.0,195.2
572.0,195.2
571.0,195.2
570.8,195.0
570.0,194.2
569.0,194.2
568.0,194.2
567.0,194.2
566.0,194.2
565.0,194.2
564.2,195.0
564.0,195.2
563.8,195.0
563.0,194.2
562.0,194.2
561.0,194.2
560.2,195.0
560.0,195.2
559.8,195.0
559.0,194.2
558.2,195.0
558.0,195.2
557.0,195.2
556.2,196.0
556.2,197.0
556.0,197.2
555.8,197.0
555.0,196.2
554.0,196.2
553.2,197.0
553.2,198.0
553.2,199.0
553.0,199.2
552.2,200.0
552.0,200.2
551.0,200.2
550.2,201.0
550.2,202.0
550.0,202.2
549.0,202.2
548.0,202.2
547.0,202.2
546.2,203.0
546.0,203.2
545.2,204.0
545.2,205.0
545.0,205.2
544.0,205.2
543.2,206.0
543.0,206.2
542.2,207.0
542.0,207.2
541.2,208.0
541.2,209.0
541.2,210.0
541.2,211.0
541.0,211.2
540.2,212.0
540.0,212.2
539.2,213.0
539.2,214.0
539.2,215.0
539.2,216.0
539.2,217.0
539.2,218.0
539.2,219.0
540.0,219.8
541.0,219.8
541.2,220.0
541.2,221.0
541.2,222.0
541.2,223.0
541.2,224.0
541.2,225.0
541.2,226.0
541.2,227.0
541.0,227.2
540.2,228.0
540.2,229.0
540.2,230.0
540.2,231.0
540.2,232.0
540.2,233.0
541.0,233.8
541.2,234.0
541.2,235.0
542.0,235.8
542.2,236.0
543.0,236.8
543.2,237.0
543.2,238.0
544.0,238.8
544.2,239.0
545.0,239.8
545.2,240.0
545.2,241.0
546.0,241.8
546.2,242.0
547.0,242.8
547.2,243.0
548.0,243.8
548.2,244.0
549.0,244.8
549.2,245.0
550.0,245.8
550.2,246.0
551.0,246.8
552.0,246.8
552.2,247.0
553.0,247.8
554.0,247.8
554.2,248.0
555.0,248.8
556.0,248.8
556.2,249.0
557.0,249.8
558.0,249.8
558.2,250.0
559.0,250.8
560.0,250.8
560.2,251.0
561.0,251.8
562.0,251.8
563.0,251.8
564.0,251.8
564.2,252.0
565.0,252.8
566.0,252.8
567.0,252.8
568.0,252.8
569.0,252.8
569.2,253.0
570.0,253.8
571.0,253.8
572.0,253.8
573.0,253.8
574.0,253.8
575.0,253.8
576.0,253.8
577.0,253.8
578.0,253.8
578.8,253.0
579.0,252.8
580.0,252.8
581.0,252.8
582.0,252.8
583.0,252.8
584.0,252.8
585.0,252.8
586.0,252.8
586.8,252.0
587.0,251.8
588.0,251.8
589.0,251.8
590.0,251.8
591.0,251.8
591.8,251.0
592.0,250.8
593.0,250.8
593.2,251.0
594.0,251.8
594.8,251.0
594.8,250.0
595.0,249.8
596.0,249.8
597.0,249.8
598.0,249.8
599.0,249.8
600.0,249.8
600.8,249.0
601.0,248.8
602.0,248.8
603.0,248.8
604.0,248.8
605.0,248.8
606.0,248.8
607.0,248.8
608.0,248.8
609.0,248.8
610.0,248.8
611.0,248.8
612.0,248.8
613.0,248.8
613.2,249.0
614.0,249.8
614.2,250.0
615.0,250.8
615.8,250.0
616.0,249.8
617.0,249.8
618.0,249.8
619.0,249.8
620.0,249.8
621.0,249.8
622.0,249.8
622.2,250.0
622.2,251.0
622.2,252.0
623.0,252.8
624.0,252.8
625.0,252.8
625.2,253.0
626.0,253.8
626.2,254.0
627.0,254.8
627.2,255.0
628.0,255.8
628.2,256.0
629.0,256.8
629.2,257.0
630.0,257.8
631.0,257.8
632.0,257.8
632.2,258.0
633.0,258.8
633.2,259.0
634.0,259.8
634.2,260.0
635.0,260.8
635.8,260.0
