x,y
105.8,115.0
105.8,114.0
106.0,113.8
107.0,113.8
108.0,113.8
109.0,113.8
110.0,113.8
111.0,113.8
112.0,113.8
113.0,113.8
114.0,113.8
115.0,113.8
116.0,113.8
117.0,113.8
118.0,113.8
119.0,113.8
120.0,113.8
121.0,113.8
122.0,113.8
123.0,113.8
124.0,113.8
124.8,113.0
125.0,112.8
125.8,112.0
125.8,111.0
125.8,110.0
125.8,109.0
125.8,108.0
125.8,107.0
125.8,106.0
125.8,105.0
125.8,104.0
125.8,103.0
125.8,102.0
125.8,101.0
125.8,100.0
125.8,99.0
125.8,98.0
125.8,97.0
125.8,96.0
125.8,95.0
125.8,94.0
125.8,93.0
125.8,92.0
125.8,91.0
125.8,90.0
125.8,89.0
125.8,88.0
125.8,87.0
125.8,86.0
125.8,85.0
125.8,84.0
125.8,83.0
125.8,82.0
125.8,81.0
125.8,80.0
125.8,79.0
125.8,78.0
125.8,77.0
125.8,76.0
125.8,75.0
125.8,74.0
125.8,73.0
125.8,72.0
125.8,71.0
125.8,70.0
125.8,69.0
125.8,68.0
125.8,67.0
125.8,66.0
125.8,65.0
125.8,64.0
125.8,63.0
125.8,62.0
125.8,61.0
125.8,60.0
125.8,59.0
125.8,58.0
125.8,57.0
125.8,56.0
125.8,55.0
125.8,54.0
125.8,53.0
125.8,52.0
125.0,51.2
124.0,51.2
123.8,51.0
123.8,50.0
123.8,49.0
123.8,48.0
123.0,47.2
122.0,47.2
121.8,47.0
121.0,46.2
120.8,46.0
120.0,45.2
119.0,45.2
118.0,45.2
117.2,46.0
117.2,47.0
117.2,48.0
117.2,49.0
117.0,49.2
116.0,49.2
115.8,49.0
115.8,48.0
115.8,47.0
115.8,46.0
115.0,45.2
114.0,45.2
113.8,45.0
113.8,44.0
113.8,43.0
113.8,42.0
113.8,41.0
113.8,40.0
113.0,39.2
112.0,39.2
111.8,39.0
111.8,38.0
111.8,37.0
111.8,36.0
111.0,35.2
110.0,35.2
109.8,35.0
109.8,34.0
109.8,33.0
109.8,32.0
109.8,31.0
109.8,30.0
109.0,29.2
108.0,29.2
107.0,29.2
106.0,29.2
105.0,29.2
104.0,29.2
103.0,29.2
102.0,29.2
101.2,30.0
101.2,31.0
101.2,32.0
101.2,33.0
101.0,33.2
100.0,33.2
99.8,33.0
99.8,32.0
99.0,31.2
98.0,31.2
97.8,31.0
97.8,30.0
97.8,29.0
97.8,28.0
97.0,27.2
96.0,27.2
95.8,27.0
95.8,26.0
95.8,25.0
95.8,24.0
95.0,23.2
94.0,23.2
93.8,23.0
93.8,22.0
93.0,21.2
92.0,21.2
91.8,21.0
91.8,20.0
91.0,19.2
90.0,19.2
89.8,19.0
89.8,18.0
89.0,17.2
88.0,17.2
87.8,17.0
87.8,16.0
87.0,15.2
86.0,15.2
85.8,15.0
85.0,14.2
84.8,14.0
84.0,13.2
83.8,13.0
83.8,12.0
83.0,11.2
82.0,11.2
81.0,11.2
80.0,11.2
79.2,12.0
79.2,13.0
79.0,13.2
78.0,13.2
77.2,14.0
77.2,15.0
77.2,16.0
77.2,17.0
77.0,17.2
76.0,17.2
75.8,17.0
75.8,16.0
75.0,15.2
74.0,15.2
73.8,15.0
73.8,14.0
73.0,13.2
72.0,13.2
71.8,13.0
71.8,12.0
71.0,11.2
70.0,11.2
69.0,11.2
68.0,11.2
67.8,11.0
67.8,10.0
67.0,9.2
66.0,9.2
65.0,9.2
64.0,9.2
63.0,9.2
62.0,9.2
61.0,9.2
60.0,9.2
59.0,9.2
58.0,9.2
57.0,9.2
56.0,9.2
55.0,9.2
54.0,9.2
53.8,9.0
53.8,8.0
53.0,7.2
52.0,7.2
51.0,7.2
50.0,7.2
49.0,7.2
48.0,7.2
47.0,7.2
46.0,7.2
45.0,7.2
44.0,7.2
43.0,7.2
42.0,7.2
41.0,7.2
40.0,7.2
39.0,7.2
38.0,7.2
37.0,7.2
36.0,7.2
35.0,7.2
34.0,7.2
33.0,7.2
32.0,7.2
31.0,7.2
30.0,7.2
29.0,7.2
28.0,7.2
27.2,8.0
27.2,9.0
27.2,10.0
27.2,11.0
27.2,12.0
27.2,13.0
28.0,13.8
29.0,13.8
30.0,13.8
31.0,13.8
31.2,14.0
31.2,15.0
32.0,15.8
33.0,15.8
33.2,16.0
33.2,17.0
34.0,17.8
35.0,17.8
36.0,17.8
37.0,17.8
38.0,17.8
39.0,17.8
39.2,18.0
39.2,19.0
40.0,19.8
41.0,19.8
41.2,20.0
41.2,21.0
42.0,21.8
43.0,21.8
44.0,21.8
45.0,21.8
45.2,22.0
45.2,23.0
46.0,23.8
47.0,23.8
47.2,24.0
47.2,25.0
47.2,26.0
47.2,27.0
47.2,28.0
47.2,29.0
48.0,29.8
49.0,29.8
49.2,30.0
49.2,31.0
50.0,31.8
51.0,31.8
51.2,32.0
51.2,33.0
52.0,33.8
53.0,33.8
53.2,34.0
53.2,35.0
53.0,35.2
52.0,35.2
51.2,36.0
51.2,37.0
51.2,38.0
51.2,39.0
52.0,39.8
53.0,39.8
53.2,40.0
53.2,41.0
53.2,42.0
53.2,43.0
54.0,43.8
55.0,43.8
55.2,44.0
55.2,45.0
56.0,45.8
57.0,45.8
57.2,46.0
57.2,47.0
57.2,48.0
57.2,49.0
57.0,49.2
56.0,49.2
55.2,50.0
55.2,51.0
55.2,52.0
55.2,53.0
55.2,54.0
55.2,55.0
55.0,55.2
54.2,56.0
55.0,56.8
55.2,57.0
55.2,58.0
55.2,59.0
55.2,60.0
55.2,61.0
55.2,62.0
55.2,63.0
56.0,63.8
57.0,63.8
57.2,64.0
57.2,65.0
58.0,65.8
59.0,65.8
59.2,66.0
59.2,67.0
60.0,67.8
61.0,67.8
62.0,67.8
63.0,67.8
64.0,67.8
65.0,67.8
65.2,68.0
65.2,69.0
65.2,70.0
66.0,70.8
66.2,71.0
67.0,71.8
67.2,72.0
67.2,73.0
68.0,73.8
69.0,73.8
69.2,74.0
69.2,75.0
69.2,76.0
70.0,76.8
70.2,77.0
70.0,77.2
69.2,78.0
69.2,79.0
69.0,79.2
68.0,79.2
67.2,80.0
67.2,81.0
67.2,82.0
67.2,83.0
68.0,83.8
69.0,83.8
69.2,84.0
69.2,85.0
69.2,86.0
69.2,87.0
70.0,87.8
71.0,87.8
71.2,88.0
71.2,89.0
71.2,90.0
72.0,90.8
72.2,91.0
73.0,91.8
73.2,92.0
73.2,93.0
74.0,93.8
75.0,93.8
75.2,94.0
75.2,95.0
76.0,95.8
77.0,95.8
77.2,96.0
78.0,96.8
78.2,97.0
79.0,97.8
79.2,98.0
80.0,98.8
80.2,99.0
81.0,99.8
81.2,100.0
81.2,101.0
82.0,101.8
83.0,101.8
83.2,102.0
83.2,103.0
84.0,103.8
85.0,103.8
85.2,104.0
85.2,105.0
86.0,105.8
87.0,105.8
87.2,106.0
87.2,107.0
88.0,107.8
89.0,107.8
89.2,108.0
89.2,109.0
90.0,109.8
91.0,109.8
91.2,110.0
91.2,111.0
92.0,111.8
93.0,111.8
93.2,112.0
93.2,113.0
94.0,113.8
95.0,113.8
95.2,114.0
95.2,115.0
96.0,115.8
97.0,115.8
98.0,115.8
99.0,115.8
100.0,115.8
101.0,115.8
102.0,115.8
103.0,115.8
104.0,115.8
105.0,115.8
105.8,115.0
