x,y
24.2,0.0
24.2,1.0
24.2,2.0
24.2,3.0
24.2,4.0
24.2,5.0
24.2,6.0
24.2,7.0
24.2,8.0
24.2,9.0
24.0,9.2
23.2,10.0
23.0,10.2
22.2,11.0
22.2,12.0
23.0,12.8
23.2,13.0
23.2,14.0
23.2,15.0
23.2,16.0
23.2,17.0
24.0,17.8
24.2,18.0
24.2,19.0
25.0,19.8
26.0,19.8
26.2,20.0
26.2,21.0
26.2,22.0
26.2,23.0
26.2,24.0
26.2,25.0
26.2,26.0
26.2,27.0
27.0,27.8
28.0,27.8
28.2,28.0
28.2,29.0
28.2,30.0
29.0,30.8
29.2,31.0
30.0,31.8
30.2,32.0
31.0,32.8
31.2,33.0
32.0,33.8
32.2,34.0
33.0,34.8
33.2,35.0
34.0,35.8
34.2,36.0
35.0,36.8
36.0,36.8
36.2,37.0
37.0,37.8
38.0,37.8
39.0,37.8
40.0,37.8
41.0,37.8
42.0,37.8
43.0,37.8
44.0,37.8
45.0,37.8
46.0,37.8
47.0,37.8
47.8,37.0
48.0,36.8
49.0,36.8
50.0,36.8
51.0,36.8
51.8,36.0
52.0,35.8
52.8,35.0
53.0,34.8
53.8,34.0
53.8,33.0
53.8,32.0
54.0,31.8
54.8,31.0
54.8,30.0
54.8,29.0
54.8,28.0
54.8,27.0
54.8,26.0
54.8,25.0
54.8,24.0
54.8,23.0
54.8,22.0
54.8,21.0
54.8,20.0
54.8,19.0
54.8,18.0
54.8,17.0
54.0,16.2
53.8,16.0
53.0,15.2
52.8,15.0
52.8,14.0
52.8,13.0
52.0,12.2
51.8,12.0
51.0,11.2
50.8,11.0
50.0,10.2
49.8,10.0
49.0,9.2
48.8,9.0
48.0,8.2
47.8,8.0
47.0,7.2
46.8,7.0
46.0,6.2
45.8,6.0
45.8,5.0
45.0,4.2
44.8,4.0
44.8,3.0
44.0,2.2
43.8,2.0
43.0,1.2
42.8,1.0
42.8,0.0
