x,y
285.8,422.0
286.0,421.8
287.0,421.8
288.0,421.8
289.0,421.8
290.0,421.8
290.8,421.0
291.0,420.8
292.0,420.8
293.0,420.8
293.8,420.0
294.0,419.8
295.0,419.8
295.8,419.0
296.0,418.8
296.8,418.0
297.0,417.8
297.8,417.0
298.0,416.8
298.8,416.0
298.8,415.0
298.0,414.2
297.8,414.0
297.0,413.2
296.8,413.0
296.0,412.2
295.0,412.2
294.0,412.2
293.0,412.2
292.0,412.2
291.0,412.2
290.8,412.0
290.0,411.2
289.0,411.2
288.0,411.2
287.8,411.0
287.0,410.2
286.0,410.2
285.0,410.2
284.0,410.2
283.0,410.2
282.8,410.0
282.0,409.2
281.0,409.2
280.0,409.2
279.0,409.2
278.0,409.2
277.0,409.2
276.0,409.2
275.2,410.0
275.0,410.2
274.2,411.0
274.0,411.2
273.2,412.0
273.2,413.0
273.0,413.2
272.2,414.0
272.0,414.2
271.2,415.0
271.0,415.2
270.0,415.2
269.2,416.0
269.0,416.2
268.0,416.2
267.0,416.2
266.2,417.0
266.0,417.2
265.2,418.0
265.0,418.2
264.0,418.2
263.2,419.0
263.0,419.2
262.2,420.0
262.0,420.2
261.0,420.2
260.2,421.0
260.2,422.0
261.0,422.8
262.0,422.8
263.0,422.8
264.0,422.8
265.0,422.8
266.0,422.8
267.0,422.8
268.0,422.8
269.0,422.8
270.0,422.8
271.0,422.8
272.0,422.8
273.0,422.8
274.0,422.8
275.0,422.8
276.0,422.8
277.0,422.8
278.0,422.8
279.0,422.8
280.0,422.8
281.0,422.8
282.0,422.8
283.0,422.8
284.0,422.8
285.0,422.8
285.8,422.0
