x,y
179.8,346.0
180.0,345.8
181.0,345.8
181.8,345.0
182.0,344.8
183.0,344.8
183.8,344.0
184.0,343.8
185.0,343.8
185.8,343.0
186.0,342.8
186.8,342.0
187.0,341.8
187.8,341.0
188.0,340.8
188.8,340.0
189.0,339.8
189.8,339.0
190.0,338.8
190.8,338.0
191.0,337.8
191.8,337.0
192.0,336.8
192.8,336.0
193.0,335.8
193.8,335.0
194.0,334.8
194.8,334.0
194.8,333.0
195.0,332.8
195.8,332.0
195.8,331.0
196.0,330.8
196.8,330.0
197.0,329.8
197.8,329.0
197.8,328.0
198.0,327.8
198.8,327.0
198.8,326.0
199.0,325.8
199.8,325.0
199.8,324.0
199.8,323.0
200.0,322.8
200.8,322.0
200.8,321.0
200.8,320.0
201.0,319.8
201.8,319.0
201.8,318.0
201.8,317.0
201.8,316.0
201.8,315.0
201.8,314.0
201.8,313.0
201.8,312.0
201.8,311.0
201.8,310.0
201.8,309.0
202.0,308.8
202.8,308.0
202.8,307.0
202.8,306.0
202.8,305.0
202.8,304.0
203.0,303.8
203.8,303.0
203.8,302.0
203.8,301.0
203.8,300.0
203.8,299.0
203.8,298.0
203.8,297.0
203.8,296.0
203.8,295.0
204.0,294.8
204.8,294.0
204.8,293.0
204.8,292.0
204.8,291.0
204.8,290.0
204.8,289.0
204.8,288.0
205.0,287.8
205.8,287.0
205.8,286.0
205.8,285.0
205.8,284.0
205.8,283.0
205.8,282.0
206.0,281.8
206.8,281.0
206.8,280.0
206.8,279.0
206.8,278.0
207.0,277.8
207.8,277.0
207.8,276.0
208.0,275.8
208.8,275.0
208.8,274.0
208.8,273.0
209.0,272.8
209.8,272.0
209.8,271.0
209.8,270.0
209.0,269.2
208.2,270.0
208.0,270.2
207.2,271.0
207.0,271.2
206.2,272.0
206.2,273.0
206.0,273.2
205.2,274.0
205.0,274.2
204.2,275.0
204.2,276.0
204.2,277.0
204.0,277.2
203.2,278.0
203.2,279.0
203.2,280.0
203.0,280.2
202.2,281.0
202.0,281.2
201.2,282.0
201.2,283.0
201.2,284.0
201.0,284.2
200.2,285.0
200.2,286.0
200.2,287.0
200.0,287.2
199.2,288.0
199.2,289.0
199.2,290.0
199.0,290.2
198.2,291.0
198.2,292.0
198.2,293.0
198.0,293.2
197.2,294.0
197.2,295.0
197.2,296.0
197.2,297.0
197.0,297.2
196.2,298.0
196.0,298.2
195.2,299.0
195.0,299.2
194.8,299.0
194.8,298.0
194.8,297.0
195.0,296.8
195.8,296.0
195.8,295.0
195.8,294.0
196.0,293.8
196.8,293.0
196.8,292.0
196.8,291.0
197.0,290.8
197.8,290.0
197.8,289.0
197.8,288.0
198.0,287.8
198.8,287.0
198.8,286.0
198.8,285.0
199.0,284.8
199.8,284.0
199.8,283.0
200.0,282.8
200.8,282.0
200.8,281.0
200.0,280.2
199.8,280.0
199.8,279.0
199.8,278.0
199.8,277.0
200.0,276.8
200.8,276.0
200.8,275.0
200.8,274.0
200.0,273.2
199.2,274.0
199.0,274.2
198.2,275.0
198.2,276.0
198.0,276.2
197.2,277.0
197.2,278.0
197.0,278.2
196.2,279.0
196.2,280.0
196.0,280.2
195.2,281.0
195.2,282.0
195.0,282.2
194.2,283.0
194.2,284.0
194.0,284.2
193.2,285.0
193.2,286.0
193.0,286.2
192.2,287.0
192.2,288.0
192.0,288.2
191.2,289.0
191.2,290.0
191.0,290.2
190.2,291.0
190.2,292.0
190.0,292.2
189.2,293.0
189.2,294.0
189.2,295.0
189.0,295.2
188.2,296.0
188.2,297.0
188.0,297.2
187.2,298.0
187.2,299.0
187.0,299.2
186.2,300.0
186.2,301.0
186.0,301.2
185.2,302.0
185.0,302.2
184.8,302.0
184.8,301.0
184.8,300.0
184.8,299.0
185.0,298.8
185.8,298.0
185.8,297.0
185.8,296.0
186.0,295.8
186.8,295.0
186.8,294.0
186.8,293.0
187.0,292.8
187.8,292.0
187.8,291.0
187.8,290.0
188.0,289.8
188.8,289.0
188.8,288.0
188.8,287.0
189.0,286.8
189.8,286.0
189.8,285.0
189.8,284.0
190.0,283.8
190.8,283.0
190.8,282.0
190.8,281.0
190.8,280.0
191.0,279.8
191.8,279.0
191.8,278.0
191.8,277.0
191.8,276.0
191.8,275.0
191.8,274.0
192.0,273.8
192.8,273.0
192.8,272.0
192.8,271.0
192.8,270.0
192.8,269.0
192.8,268.0
192.8,267.0
192.8,266.0
192.0,265.2
191.2,266.0
191.0,266.2
190.2,267.0
190.2,268.0
190.2,269.0
190.2,270.0
190.0,270.2
189.2,271.0
189.2,272.0
189.0,272.2
188.2,273.0
188.2,274.0
188.0,274.2
187.2,275.0
187.2,276.0
187.2,277.0
187.0,277.2
186.2,278.0
186.2,279.0
186.0,279.2
185.2,280.0
185.2,281.0
185.0,281.2
184.2,282.0
184.2,283.0
184.0,283.2
183.2,284.0
183.2,285.0
183.0,285.2
182.2,286.0
182.2,287.0
182.2,288.0
182.0,288.2
181.2,289.0
181.2,290.0
181.0,290.2
180.2,291.0
180.2,292.0
180.0,292.2
179.2,293.0
179.2,294.0
179.0,294.2
178.2,295.0
178.2,296.0
178.0,296.2
177.0,296.2
176.2,297.0
176.2,298.0
176.0,298.2
175.2,299.0
175.2,300.0
176.0,300.8
176.2,301.0
176.2,302.0
176.0,302.2
175.2,303.0
175.2,304.0
175.2,305.0
175.0,305.2
174.2,306.0
174.2,307.0
174.2,308.0
174.2,309.0
174.2,310.0
174.2,311.0
174.0,311.2
173.2,312.0
173.2,313.0
173.2,314.0
173.2,315.0
173.0,315.2
172.2,316.0
172.2,317.0
172.2,318.0
172.0,318.2
171.2,319.0
171.2,320.0
171.2,321.0
171.2,322.0
171.2,323.0
171.2,324.0
171.2,325.0
171.2,326.0
171.2,327.0
171.0,327.2
170.2,328.0
170.2,329.0
170.2,330.0
170.2,331.0
170.2,332.0
170.2,333.0
170.2,334.0
170.2,335.0
171.0,335.8
171.2,336.0
171.2,337.0
171.2,338.0
171.2,339.0
172.0,339.8
172.2,340.0
172.2,341.0
173.0,341.8
173.2,342.0
174.0,342.8
174.2,343.0
175.0,343.8
175.2,344.0
175.2,345.0
176.0,345.8
177.0,345.8
177.2,346.0
178.0,346.8
179.0,346.8
179.8,346.0
