x,y
247.8,70.0
248.0,69.8
248.8,69.0
249.0,68.8
249.8,68.0
249.8,67.0
250.0,66.8
250.8,66.0
250.8,65.0
251.0,64.8
251.8,64.0
251.8,63.0
252.0,62.8
252.8,62.0
252.8,61.0
253.0,60.8
253.8,60.0
253.8,59.0
253.8,58.0
253.8,57.0
254.0,56.8
254.8,56.0
254.8,55.0
254.8,54.0
254.8,53.0
254.8,52.0
254.8,51.0
255.0,50.8
255.8,50.0
255.8,49.0
255.8,48.0
255.8,47.0
255.8,46.0
255.8,45.0
255.8,44.0
255.8,43.0
255.8,42.0
256.0,41.8
256.8,41.0
256.8,40.0
256.8,39.0
257.0,38.8
257.8,38.0
257.8,37.0
258.0,36.8
258.8,36.0
259.0,35.8
259.8,35.0
259.8,34.0
260.0,33.8
260.8,33.0
261.0,32.8
261.8,32.0
262.0,31.8
263.0,31.8
263.8,31.0
264.0,30.8
265.0,30.8
265.8,30.0
266.0,29.8
267.0,29.8
267.8,29.0
268.0,28.8
269.0,28.8
270.0,28.8
270.8,28.0
271.0,27.8
272.0,27.8
273.0,27.8
273.8,27.0
274.0,26.8
275.0,26.8
275.8,26.0
276.0,25.8
277.0,25.8
278.0,25.8
278.8,25.0
279.0,24.8
280.0,24.8
281.0,24.8
282.0,24.8
282.8,24.0
283.0,23.8
284.0,23.8
285.0,23.8
285.8,23.0
286.0,22.8
287.0,22.8
288.0,22.8
289.0,22.8
290.0,22.8
291.0,22.8
291.8,22.0
292.0,21.8
293.0,21.8
294.0,21.8
294.8,21.0
294.0,20.2
293.8,20.0
293.0,19.2
292.8,19.0
292.8,18.0
292.8,17.0
292.8,16.0
292.0,15.2
291.8,15.0
291.0,14.2
290.8,14.0
290.8,13.0
290.8,12.0
290.8,11.0
290.8,10.0
290.0,9.2
289.0,9.2
288.0,9.2
287.0,9.2
286.8,9.0
286.8,8.0
286.8,7.0
286.0,6.2
285.8,6.0
285.0,5.2
284.0,5.2
283.2,6.0
283.0,6.2
282.0,6.2
281.0,6.2
280.2,7.0
280.0,7.2
279.8,7.0
279.0,6.2
278.8,6.0
278.0,5.2
277.8,5.0
277.0,4.2
276.0,4.2
275.0,4.2
274.0,4.2
273.0,4.2
272.0,4.2
271.0,4.2
270.8,4.0
270.0,3.2
269.0,3.2
268.0,3.2
267.0,3.2
266.0,3.2
265.0,3.2
264.0,3.2
263.0,3.2
262.0,3.2
261.0,3.2
260.0,3.2
259.0,3.2
258.0,3.2
257.0,3.2
256.0,3.2
255.0,3.2
254.0,3.2
253.0,3.2
252.0,3.2
251.0,3.2
250.0,3.2
249.0,3.2
248.0,3.2
247.0,3.2
246.0,3.2
245.0,3.2
244.0,3.2
243.0,3.2
242.0,3.2
241.0,3.2
240.0,3.2
239.0,3.2
238.0,3.2
237.0,3.2
236.0,3.2
235.0,3.2
234.2,4.0
234.0,4.2
233.0,4.2
232.0,4.2
231.0,4.2
230.0,4.2
229.0,4.2
228.0,4.2
227.0,4.2
226.0,4.2
225.0,4.2
224.2,5.0
224.0,5.2
223.0,5.2
222.0,5.2
221.0,5.2
220.0,5.2
219.0,5.2
218.0,5.2
217.0,5.2
216.0,5.2
215.0,5.2
214.8,5.0
214.0,4.2
213.0,4.2
212.0,4.2
211.2,5.0
211.0,5.2
210.0,5.2
209.2,6.0
209.0,6.2
208.2,7.0
208.0,7.2
207.0,7.2
206.2,8.0
206.0,8.2
205.2,9.0
205.0,9.2
204.2,10.0
204.0,10.2
203.2,11.0
203.2,12.0
203.0,12.2
202.2,13.0
202.2,14.0
202.2,15.0
202.2,16.0
202.2,17.0
202.2,18.0
202.2,19.0
202.2,20.0
203.0,20.8
203.2,21.0
203.2,22.0
204.0,22.8
204.2,23.0
205.0,23.8
206.0,23.8
207.0,23.8
208.0,23.8
209.0,23.8
210.0,23.8
211.0,23.8
211.2,24.0
212.0,24.8
213.0,24.8
214.0,24.8
215.0,24.8
215.2,25.0
216.0,25.8
217.0,25.8
218.0,25.8
219.0,25.8
219.2,26.0
220.0,26.8
221.0,26.8
222.0,26.8
222.2,27.0
223.0,27.8
224.0,27.8
225.0,27.8
225.2,28.0
226.0,28.8
227.0,28.8
228.0,28.8
228.2,29.0
229.0,29.8
230.0,29.8
231.0,29.8
231.2,30.0
232.0,30.8
232.2,31.0
232.2,32.0
232.2,33.0
232.2,34.0
232.2,35.0
232.2,36.0
232.2,37.0
232.2,38.0
232.2,39.0
233.0,39.8
233.2,40.0
233.2,41.0
233.2,42.0
233.2,43.0
233.2,44.0
233.2,45.0
233.2,46.0
233.2,47.0
233.2,48.0
233.2,49.0
233.2,50.0
234.0,50.8
234.2,51.0
234.2,52.0
234.2,53.0
234.2,54.0
234.2,55.0
234.2,56.0
234.2,57.0
234.2,58.0
234.2,59.0
234.2,60.0
234.2,61.0
235.0,61.8
235.2,62.0
235.2,63.0
235.2,64.0
235.2,65.0
235.2,66.0
235.2,67.0
235.2,68.0
235.2,69.0
235.2,70.0
236.0,70.8
237.0,70.8
238.0,70.8
239.0,70.8
240.0,70.8
241.0,70.8
242.0,70.8
243.0,70.8
244.0,70.8
245.0,70.8
246.0,70.8
247.0,70.8
247.8,70.0
