x,y
386.8,456.0
386.8,455.0
387.0,454.8
388.0,454.8
388.8,454.0
388.8,453.0
389.0,452.8
390.0,452.8
390.8,452.0
390.8,451.0
391.0,450.8
392.0,450.8
392.8,450.0
392.8,449.0
392.8,448.0
392.8,447.0
393.0,446.8
394.0,446.8
394.8,446.0
394.8,445.0
395.0,444.8
395.8,444.0
396.0,443.8
396.8,443.0
397.0,442.8
397.8,442.0
398.0,441.8
398.8,441.0
399.0,440.8
400.0,440.8
400.8,440.0
400.8,439.0
401.0,438.8
402.0,438.8
402.2,439.0
402.2,440.0
403.0,440.8
404.0,440.8
404.2,441.0
405.0,441.8
405.2,442.0
406.0,442.8
406.2,443.0
407.0,443.8
407.2,444.0
408.0,444.8
408.2,445.0
408.2,446.0
409.0,446.8
410.0,446.8
410.2,447.0
410.2,448.0
411.0,448.8
412.0,448.8
413.0,448.8
414.0,448.8
415.0,448.8
416.0,448.8
417.0,448.8
418.0,448.8
419.0,448.8
420.0,448.8
420.8,448.0
420.8,447.0
421.0,446.8
421.8,446.0
422.0,445.8
422.8,445.0
422.8,444.0
422.8,443.0
422.8,442.0
422.8,441.0
423.0,440.8
424.0,440.8
425.0,440.8
426.0,440.8
426.8,440.0
426.8,439.0
426.8,438.0
426.8,437.0
426.8,436.0
426.8,435.0
426.8,434.0
426.8,433.0
426.8,432.0
426.8,431.0
426.8,430.0
426.8,429.0
426.8,428.0
426.8,427.0
426.8,426.0
426.8,425.0
426.8,424.0
426.8,423.0
426.8,422.0
426.8,421.0
426.8,420.0
426.8,419.0
426.8,418.0
426.8,417.0
426.8,416.0
426.8,415.0
426.0,414.2
425.0,414.2
424.8,414.0
424.8,413.0
424.8,412.0
424.8,411.0
424.0,410.2
423.0,410.2
422.8,410.0
422.8,409.0
422.0,408.2
421.0,408.2
420.8,408.0
420.8,407.0
420.0,406.2
419.0,406.2
418.8,406.0
418.8,405.0
418.8,404.0
418.8,403.0
418.8,402.0
418.0,401.2
417.8,401.0
417.0,400.2
416.0,400.2
415.0,400.2
414.0,400.2
413.0,400.2
412.8,400.0
412.0,399.2
411.8,399.0
411.0,398.2
410.0,398.2
409.0,398.2
408.8,398.0
408.8,397.0
408.0,396.2
407.0,396.2
406.0,396.2
405.0,396.2
404.0,396.2
403.0,396.2
402.0,396.2
401.0,396.2
400.0,396.2
399.0,396.2
398.0,396.2
397.8,396.0
397.0,395.2
396.2,396.0
397.0,396.8
397.2,397.0
397.0,397.2
396.0,397.2
395.8,397.0
395.0,396.2
394.0,396.2
393.0,396.2
392.0,396.2
391.0,396.2
390.0,396.2
389.0,396.2
388.0,396.2
387.0,396.2
386.0,396.2
385.0,396.2
384.2,397.0
384.2,398.0
384.0,398.2
383.2,399.0
383.0,399.2
382.2,400.0
382.2,401.0
382.2,402.0
382.2,403.0
382.2,404.0
382.0,404.2
381.0,404.2
380.8,404.0
380.0,403.2
379.0,403.2
378.0,403.2
377.0,403.2
376.2,404.0
376.0,404.2
375.0,404.2
374.2,405.0
374.2,406.0
374.0,406.2
373.0,406.2
372.2,407.0
372.2,408.0
372.0,408.2
371.0,408.2
370.2,409.0
370.2,410.0
370.2,411.0
370.2,412.0
370.2,413.0
370.2,414.0
370.2,415.0
370.2,416.0
370.2,417.0
370.2,418.0
371.0,418.8
372.0,418.8
372.2,419.0
373.0,419.8
373.2,420.0
374.0,420.8
375.0,420.8
376.0,420.8
376.2,421.0
376.2,422.0
377.0,422.8
378.0,422.8
378.2,423.0
378.2,424.0
379.0,424.8
380.0,424.8
381.0,424.8
382.0,424.8
382.2,425.0
382.2,426.0
382.2,427.0
382.2,428.0
382.0,428.2
381.0,428.2
380.2,429.0
380.2,430.0
380.2,431.0
380.2,432.0
380.0,432.2
379.0,432.2
378.2,433.0
378.2,434.0
378.0,434.2
377.0,434.2
376.2,435.0
376.0,435.2
375.2,436.0
375.0,436.2
374.2,437.0
374.2,438.0
374.0,438.2
373.0,438.2
372.2,439.0
372.2,440.0
372.2,441.0
372.2,442.0
372.2,443.0
372.2,444.0
372.2,445.0
372.2,446.0
372.2,447.0
372.2,448.0
372.2,449.0
372.2,450.0
372.2,451.0
372.2,452.0
372.2,453.0
372.2,454.0
372.2,455.0
372.2,456.0
373.0,456.8
374.0,456.8
375.0,456.8
376.0,456.8
377.0,456.8
378.0,456.8
379.0,456.8
380.0,456.8
381.0,456.8
382.0,456.8
383.0,456.8
384.0,456.8
385.0,456.8
386.0,456.8
386.8,456.0
