x,y
67.8,170.0
67.8,169.0
68.0,168.8
69.0,168.8
70.0,168.8
71.0,168.8
72.0,168.8
73.0,168.8
74.0,168.8
75.0,168.8
75.8,168.0
75.8,167.0
76.0,166.8
77.0,166.8
77.8,166.0
77.8,165.0
78.0,164.8
79.0,164.8
80.0,164.8
81.0,164.8
82.0,164.8
83.0,164.8
84.0,164.8
85.0,164.8
86.0,164.8
87.0,164.8
87.8,164.0
87.8,163.0
88.0,162.8
89.0,162.8
89.8,162.0
89.8,161.0
90.0,160.8
91.0,160.8
91.8,160.0
91.8,159.0
92.0,158.8
93.0,158.8
93.8,158.0
93.8,157.0
93.8,156.0
93.8,155.0
94.0,154.8
95.0,154.8
96.0,154.8
97.0,154.8
98.0,154.8
99.0,154.8
100.0,154.8
100.8,154.0
100.8,153.0
101.0,152.8
101.8,152.0
101.8,151.0
101.8,150.0
101.8,149.0
101.8,148.0
101.8,147.0
102.0,146.8
102.8,146.0
102.8,145.0
103.0,144.8
103.8,144.0
103.8,143.0
103.8,142.0
103.8,141.0
103.8,140.0
103.8,139.0
104.0,138.8
104.2,139.0
104.2,140.0
104.2,141.0
105.0,141.8
105.8,141.0
106.0,140.8
106.8,140.0
107.0,139.8
108.0,139.8
108.8,139.0
109.0,138.8
109.8,138.0
109.8,137.0
109.8,136.0
109.8,135.0
110.0,134.8
111.0,134.8
111.8,134.0
111.8,133.0
111.8,132.0
111.8,131.0
111.8,130.0
111.8,129.0
111.8,128.0
111.8,127.0
111.8,126.0
111.8,125.0
111.8,124.0
111.8,123.0
112.0,122.8
113.0,122.8
113.8,122.0
113.8,121.0
113.8,120.0
113.8,119.0
113.8,118.0
113.8,117.0
113.8,116.0
113.8,115.0
114.0,114.8
115.0,114.8
115.8,114.0
115.8,113.0
115.8,112.0
115.8,111.0
116.0,110.8
117.0,110.8
117.8,110.0
117.8,109.0
117.8,108.0
117.8,107.0
117.8,106.0
117.8,105.0
117.8,104.0
117.8,103.0
117.8,102.0
117.8,101.0
117.0,100.2
116.8,100.0
116.8,99.0
116.0,98.2
115.8,98.0
115.8,97.0
115.0,96.2
114.0,96.2
113.8,96.0
113.0,95.2
112.0,95.2
111.8,95.0
111.0,94.2
110.8,94.0
110.8,93.0
110.0,92.2
109.0,92.2
108.2,93.0
108.0,93.2
107.2,94.0
107.0,94.2
106.0,94.2
105.2,95.0
105.2,96.0
105.2,97.0
105.2,98.0
105.0,98.2
104.0,98.2
103.2,99.0
103.2,100.0
103.0,100.2
102.0,100.2
101.2,101.0
101.2,102.0
101.0,102.2
100.0,102.2
99.2,103.0
99.2,104.0
99.0,104.2
98.0,104.2
97.2,105.0
97.2,106.0
97.0,106.2
96.0,106.2
95.2,107.0
95.2,108.0
95.0,108.2
94.0,108.2
93.2,109.0
93.2,110.0
93.0,110.2
92.0,110.2
91.0,110.2
90.0,110.2
89.2,111.0
89.2,112.0
89.0,112.2
88.0,112.2
87.0,112.2
86.2,113.0
86.0,113.2
85.2,114.0
85.2,115.0
85.0,115.2
84.2,116.0
84.0,116.2
83.2,117.0
83.0,117.2
82.0,117.2
81.2,118.0
81.2,119.0
81.0,119.2
80.0,119.2
79.2,120.0
79.2,121.0
79.2,122.0
79.0,122.2
78.0,122.2
77.0,122.2
76.0,122.2
75.2,123.0
75.2,124.0
75.0,124.2
74.0,124.2
73.2,125.0
73.2,126.0
73.0,126.2
72.0,126.2
71.2,127.0
71.2,128.0
71.0,128.2
70.0,128.2
69.0,128.2
68.0,128.2
67.2,129.0
67.2,130.0
67.2,131.0
67.2,132.0
67.2,133.0
67.2,134.0
67.2,135.0
67.2,136.0
67.2,137.0
67.2,138.0
67.0,138.2
66.0,138.2
65.2,139.0
65.2,140.0
65.0,140.2
64.0,140.2
63.2,141.0
63.2,142.0
63.0,142.2
62.0,142.2
61.2,143.0
61.2,144.0
62.0,144.8
62.2,145.0
62.2,146.0
62.2,147.0
62.0,147.2
61.2,148.0
61.2,149.0
61.2,150.0
62.0,150.8
63.0,150.8
63.2,151.0
63.2,152.0
63.0,152.2
62.0,152.2
61.2,153.0
61.2,154.0
61.0,154.2
60.0,154.2
59.2,155.0
59.2,156.0
59.2,157.0
59.2,158.0
59.2,159.0
59.2,160.0
59.2,161.0
59.2,162.0
59.2,163.0
59.2,164.0
59.0,164.2
58.0,164.2
57.2,165.0
57.2,166.0
57.2,167.0
58.0,167.8
58.8,167.0
59.0,166.8
59.2,167.0
59.2,168.0
59.2,169.0
59.2,170.0
60.0,170.8
61.0,170.8
62.0,170.8
63.0,170.8
64.0,170.8
65.0,170.8
66.0,170.8
67.0,170.8
67.8,170.0
