x,y
188.8,378.0
189.0,377.8
189.8,377.0
190.0,376.8
191.0,376.8
192.0,376.8
192.8,376.0
193.0,375.8
193.8,375.0
194.0,374.8
194.8,374.0
195.0,373.8
195.8,373.0
195.8,372.0
195.8,371.0
195.8,370.0
195.8,369.0
196.0,368.8
197.0,368.8
197.8,368.0
197.8,367.0
197.8,366.0
197.8,365.0
197.8,364.0
197.8,363.0
198.0,362.8
198.8,362.0
199.0,361.8
199.8,361.0
199.8,360.0
199.8,359.0
199.8,358.0
199.8,357.0
199.8,356.0
199.8,355.0
200.0,354.8
200.8,354.0
201.0,353.8
201.8,353.0
201.8,352.0
201.8,351.0
202.0,350.8
202.8,350.0
203.0,349.8
203.8,349.0
203.8,348.0
203.8,347.0
204.0,346.8
204.8,346.0
205.0,345.8
205.8,345.0
206.0,344.8
206.8,344.0
207.0,343.8
207.2,344.0
208.0,344.8
209.0,344.8
209.2,345.0
210.0,345.8
210.2,346.0
211.0,346.8
211.2,347.0
212.0,347.8
212.2,348.0
213.0,348.8
213.2,349.0
214.0,349.8
214.2,350.0
215.0,350.8
215.2,351.0
216.0,351.8
216.2,352.0
217.0,352.8
217.2,353.0
218.0,353.8
218.2,354.0
219.0,354.8
219.2,355.0
220.0,355.8
220.2,356.0
221.0,356.8
221.2,357.0
222.0,357.8
222.2,358.0
223.0,358.8
224.0,358.8
225.0,358.8
226.0,358.8
227.0,358.8
228.0,358.8
229.0,358.8
229.8,358.0
229.8,357.0
229.8,356.0
229.8,355.0
230.0,354.8
231.0,354.8
231.8,354.0
231.8,353.0
232.0,352.8
232.8,352.0
233.0,351.8
233.8,351.0
234.0,350.8
235.0,350.8
236.0,350.8
237.0,350.8
237.8,350.0
237.8,349.0
237.8,348.0
237.8,347.0
237.8,346.0
237.8,345.0
237.8,344.0
237.8,343.0
237.8,342.0
237.8,341.0
238.0,340.8
239.0,340.8
239.8,340.0
239.8,339.0
240.0,338.8
241.0,338.8
242.0,338.8
242.8,338.0
243.0,337.8
243.8,337.0
243.8,336.0
243.8,335.0
243.8,334.0
243.8,333.0
243.8,332.0
243.8,331.0
243.8,330.0
243.0,329.2
242.8,329.0
242.0,328.2
241.8,328.0
241.0,327.2
240.8,327.0
240.0,326.2
239.8,326.0
239.8,325.0
240.0,324.8
240.8,324.0
241.0,323.8
241.8,323.0
241.8,322.0
241.8,321.0
241.8,320.0
241.8,319.0
241.8,318.0
241.8,317.0
241.8,316.0
241.0,315.2
240.8,315.0
240.8,314.0
241.0,313.8
241.8,313.0
242.0,312.8
242.8,312.0
243.0,311.8
243.8,311.0
243.8,310.0
243.0,309.2
242.8,309.0
242.8,308.0
243.0,307.8
243.8,307.0
243.8,306.0
243.0,305.2
242.8,305.0
242.0,304.2
241.0,304.2
240.0,304.2
239.0,304.2
238.0,304.2
237.0,304.2
236.8,304.0
237.0,303.8
237.8,303.0
237.8,302.0
237.8,301.0
237.8,300.0
237.8,299.0
237.8,298.0
237.8,297.0
237.0,296.2
236.0,296.2
235.0,296.2
234.0,296.2
233.0,296.2
232.0,296.2
231.0,296.2
230.0,296.2
229.0,296.2
228.0,296.2
227.0,296.2
226.0,296.2
225.0,296.2
224.0,296.2
223.8,296.0
223.8,295.0
224.0,294.8
224.8,294.0
225.0,293.8
225.8,293.0
226.0,292.8
227.0,292.8
227.8,292.0
227.8,291.0
228.0,290.8
229.0,290.8
229.8,290.0
229.8,289.0
229.8,288.0
229.8,287.0
229.8,286.0
229.8,285.0
229.8,284.0
229.8,283.0
229.0,282.2
228.0,282.2
227.0,282.2
226.0,282.2
225.0,282.2
224.0,282.2
223.8,282.0
223.8,281.0
223.8,280.0
223.8,279.0
223.8,278.0
223.8,277.0
223.8,276.0
223.8,275.0
223.0,274.2
222.0,274.2
221.0,274.2
220.0,274.2
219.0,274.2
218.0,274.2
217.0,274.2
216.0,274.2
215.0,274.2
214.0,274.2
213.0,274.2
212.0,274.2
211.8,274.0
211.8,273.0
211.8,272.0
211.8,271.0
211.8,270.0
211.8,269.0
211.8,268.0
211.8,267.0
211.0,266.2
210.0,266.2
209.0,266.2
208.0,266.2
207.0,266.2
206.0,266.2
205.0,266.2
204.2,267.0
204.0,267.2
203.2,268.0
203.0,268.2
202.2,269.0
202.0,269.2
201.2,270.0
201.0,270.2
200.2,271.0
200.0,271.2
199.2,272.0
199.0,272.2
198.0,272.2
197.0,272.2
196.0,272.2
195.2,273.0
195.2,274.0
195.2,275.0
195.2,276.0
195.0,276.2
194.2,277.0
194.2,278.0
194.2,279.0
194.2,280.0
194.2,281.0
194.2,282.0
194.2,283.0
194.2,284.0
194.2,285.0
194.2,286.0
194.2,287.0
194.0,287.2
193.2,288.0
193.2,289.0
193.2,290.0
193.2,291.0
193.2,292.0
193.2,293.0
193.0,293.2
192.2,294.0
192.0,294.2
191.8,294.0
191.8,293.0
191.8,292.0
192.0,291.8
192.8,291.0
192.8,290.0
192.8,289.0
192.8,288.0
192.8,287.0
193.0,286.8
193.8,286.0
193.8,285.0
193.8,284.0
193.8,283.0
193.8,282.0
193.8,281.0
193.8,280.0
193.0,279.2
192.8,279.0
192.8,278.0
192.8,277.0
193.0,276.8
193.8,276.0
193.8,275.0
193.8,274.0
193.8,273.0
193.8,272.0
193.8,271.0
193.8,270.0
193.8,269.0
193.8,268.0
193.8,267.0
193.8,266.0
193.0,265.2
192.8,265.0
192.0,264.2
191.0,264.2
190.2,265.0
190.0,265.2
189.2,266.0
189.0,266.2
188.0,266.2
187.0,266.2
186.2,267.0
186.0,267.2
185.2,268.0
185.0,268.2
184.0,268.2
183.8,268.0
183.0,267.2
182.8,267.0
182.0,266.2
181.0,266.2
180.0,266.2
179.0,266.2
178.0,266.2
177.0,266.2
176.0,266.2
175.0,266.2
174.2,267.0
174.0,267.2
173.2,268.0
173.0,268.2
172.2,269.0
172.0,269.2
171.2,270.0
171.0,270.2
170.0,270.2
169.0,270.2
168.0,270.2
167.0,270.2
166.0,270.2
165.0,270.2
164.0,270.2
163.2,271.0
163.2,272.0
163.2,273.0
163.2,274.0
163.2,275.0
163.2,276.0
163.2,277.0
163.2,278.0
163.0,278.2
162.0,278.2
161.2,279.0
161.2,280.0
161.2,281.0
161.2,282.0
162.0,282.8
162.2,283.0
162.2,284.0
163.0,284.8
164.0,284.8
164.2,285.0
165.0,285.8
165.2,286.0
165.2,287.0
165.2,288.0
166.0,288.8
166.2,289.0
166.2,290.0
167.0,290.8
167.2,291.0
167.2,292.0
168.0,292.8
168.2,293.0
168.2,294.0
169.0,294.8
169.2,295.0
170.0,295.8
170.2,296.0
170.2,297.0
171.0,297.8
171.2,298.0
172.0,298.8
172.2,299.0
173.0,299.8
173.2,300.0
173.2,301.0
174.0,301.8
175.0,301.8
175.2,302.0
175.0,302.2
174.2,303.0
175.0,303.8
175.2,304.0
175.2,305.0
175.2,306.0
176.0,306.8
176.2,307.0
177.0,307.8
177.2,308.0
177.0,308.2
176.0,308.2
175.8,308.0
175.0,307.2
174.8,307.0
174.8,306.0
174.0,305.2
173.8,305.0
173.8,304.0
173.0,303.2
172.8,303.0
172.0,302.2
171.8,302.0
171.0,301.2
170.8,301.0
170.8,300.0
170.8,299.0
170.0,298.2
169.8,298.0
169.0,297.2
168.8,297.0
168.8,296.0
