x,y
392.8,233.0
392.8,232.0
393.0,231.8
394.0,231.8
394.8,231.0
394.8,230.0
394.8,229.0
394.8,228.0
394.8,227.0
394.8,226.0
394.8,225.0
394.8,224.0
394.8,223.0
394.8,222.0
394.0,221.2
393.0,221.2
392.8,221.0
392.8,220.0
392.0,219.2
391.0,219.2
390.8,219.0
390.0,218.2
389.8,218.0
389.0,217.2
388.8,217.0
388.8,216.0
388.0,215.2
387.0,215.2
386.8,215.0
386.8,214.0
386.0,213.2
385.0,213.2
384.8,213.0
384.8,212.0
384.0,211.2
383.0,211.2
382.8,211.0
382.8,210.0
382.0,209.2
381.0,209.2
380.8,209.0
380.8,208.0
380.0,207.2
379.0,207.2
378.8,207.0
378.8,206.0
378.0,205.2
377.0,205.2
376.8,205.0
376.8,204.0
376.8,203.0
376.8,202.0
376.0,201.2
375.0,201.2
374.8,201.0
374.8,200.0
374.0,199.2
373.0,199.2
372.8,199.0
372.8,198.0
372.8,197.0
372.8,196.0
372.0,195.2
371.0,195.2
370.8,195.0
370.8,194.0
370.8,193.0
370.8,192.0
370.8,191.0
370.0,190.2
369.8,190.0
369.0,189.2
368.8,189.0
368.8,188.0
368.0,187.2
367.0,187.2
366.0,187.2
365.0,187.2
364.0,187.2
363.0,187.2
362.0,187.2
361.0,187.2
360.0,187.2
359.0,187.2
358.8,187.0
358.0,186.2
357.0,186.2
356.8,186.0
356.8,185.0
356.0,184.2
355.0,184.2
354.8,184.0
354.0,183.2
353.8,183.0
353.0,182.2
352.8,182.0
352.0,181.2
351.8,181.0
351.0,180.2
350.8,180.0
350.0,179.2
349.8,179.0
349.0,178.2
348.8,178.0
348.0,177.2
347.8,177.0
347.0,176.2
346.8,176.0
346.8,175.0
346.8,174.0
346.0,173.2
345.8,173.0
345.8,172.0
345.0,171.2
344.8,171.0
344.8,170.0
344.0,169.2
343.0,169.2
342.0,169.2
341.0,169.2
340.0,169.2
339.0,169.2
338.0,169.2
337.2,170.0
337.2,171.0
337.0,171.2
336.2,172.0
336.2,173.0
336.2,174.0
336.2,175.0
336.0,175.2
335.8,175.0
335.0,174.2
334.8,174.0
334.0,173.2
333.8,173.0
333.0,172.2
332.8,172.0
332.0,171.2
331.8,171.0
331.0,170.2
330.0,170.2
329.8,170.0
329.0,169.2
328.0,169.2
327.0,169.2
326.8,169.0
326.0,168.2
325.0,168.2
324.8,168.0
324.0,167.2
323.8,167.0
323.0,166.2
322.8,166.0
322.8,165.0
322.0,164.2
321.8,164.0
321.0,163.2
320.8,163.0
320.8,162.0
320.0,161.2
319.0,161.2
318.2,162.0
318.2,163.0
318.0,163.2
317.0,163.2
316.0,163.2
315.0,163.2
314.0,163.2
313.2,164.0
313.0,164.2
312.2,165.0
312.0,165.2
311.0,165.2
310.8,165.0
310.0,164.2
309.8,164.0
309.0,163.2
308.0,163.2
307.8,163.0
307.0,162.2
306.8,162.0
306.0,161.2
305.0,161.2
304.0,161.2
303.8,161.0
303.0,160.2
302.8,160.0
302.0,159.2
301.0,159.2
300.8,159.0
300.0,158.2
299.8,158.0
299.0,157.2
298.0,157.2
297.8,157.0
298.0,156.8
298.8,156.0
298.0,155.2
297.0,155.2
296.8,155.0
296.0,154.2
295.0,154.2
294.8,154.0
294.0,153.2
293.2,154.0
293.0,154.2
292.8,154.0
292.0,153.2
291.2,154.0
291.0,154.2
290.8,154.0
290.0,153.2
289.0,153.2
288.0,153.2
287.8,153.0
287.8,152.0
287.0,151.2
286.0,151.2
285.0,151.2
284.8,151.0
284.8,150.0
284.0,149.2
283.8,149.0
283.8,148.0
283.0,147.2
282.8,147.0
282.0,146.2
281.8,146.0
281.0,145.2
280.8,145.0
280.0,144.2
279.0,144.2
278.8,144.0
278.0,143.2
277.8,143.0
277.0,142.2
276.8,142.0
276.8,141.0
276.0,140.2
275.8,140.0
275.0,139.2
274.0,139.2
273.8,139.0
274.0,138.8
274.8,138.0
274.0,137.2
273.2,138.0
273.0,138.2
272.8,138.0
272.0,137.2
271.8,137.0
271.8,136.0
271.0,135.2
270.8,135.0
270.8,134.0
270.8,133.0
270.8,132.0
270.8,131.0
