x,y
212.2,0.0
212.2,1.0
212.0,1.2
211.2,2.0
211.2,3.0
211.0,3.2
210.2,4.0
210.0,4.2
209.2,5.0
209.0,5.2
208.2,6.0
208.2,7.0
208.0,7.2
207.2,8.0
207.0,8.2
206.2,9.0
206.2,10.0
206.0,10.2
205.2,11.0
205.0,11.2
204.2,12.0
204.2,13.0
204.2,14.0
204.0,14.2
203.2,15.0
203.2,16.0
203.2,17.0
203.0,17.2
202.2,18.0
202.2,19.0
202.0,19.2
201.2,20.0
201.2,21.0
201.0,21.2
200.2,22.0
200.2,23.0
200.2,24.0
200.2,25.0
200.0,25.2
199.2,26.0
199.2,27.0
199.2,28.0
199.0,28.2
198.2,29.0
198.2,30.0
198.2,31.0
198.2,32.0
198.2,33.0
198.2,34.0
198.2,35.0
198.2,36.0
198.2,37.0
198.2,38.0
198.2,39.0
198.2,40.0
198.2,41.0
198.2,42.0
198.2,43.0
198.2,44.0
198.2,45.0
198.2,46.0
198.2,47.0
198.2,48.0
198.2,49.0
198.2,50.0
198.2,51.0
198.2,52.0
198.2,53.0
198.2,54.0
198.2,55.0
198.2,56.0
199.0,56.8
199.2,57.0
199.2,58.0
199.2,59.0
200.0,59.8
200.2,60.0
200.2,61.0
200.2,62.0
201.0,62.8
202.0,62.8
202.2,63.0
202.2,64.0
202.2,65.0
203.0,65.8
203.2,66.0
203.2,67.0
204.0,67.8
205.0,67.8
205.8,67.0
205.8,66.0
205.8,65.0
206.0,64.8
206.8,64.0
206.8,63.0
207.0,62.8
207.8,62.0
207.8,61.0
207.8,60.0
208.0,59.8
208.8,59.0
208.8,58.0
209.0,57.8
209.8,57.0
209.8,56.0
209.8,55.0
210.0,54.8
210.8,54.0
210.8,53.0
210.8,52.0
211.0,51.8
211.8,51.0
212.0,50.8
212.8,50.0
212.8,49.0
213.0,48.8
213.8,48.0
213.8,47.0
214.0,46.8
214.8,46.0
214.8,45.0
215.0,44.8
215.8,44.0
216.0,43.8
216.8,43.0
217.0,42.8
217.8,42.0
218.0,41.8
218.8,41.0
219.0,40.8
219.8,40.0
219.8,39.0
220.0,38.8
220.8,38.0
221.0,37.8
221.8,37.0
221.8,36.0
222.0,35.8
222.8,35.0
223.0,34.8
223.8,34.0
223.8,33.0
224.0,32.8
224.8,32.0
224.8,31.0
224.8,30.0
225.0,29.8
225.8,29.0
225.8,28.0
226.0,27.8
226.8,27.0
226.8,26.0
227.0,25.8
227.8,25.0
228.0,24.8
228.8,24.0
229.0,23.8
230.0,23.8
230.8,23.0
230.8,22.0
230.0,21.2
229.8,21.0
229.8,20.0
229.8,19.0
230.0,18.8
231.0,18.8
231.2,19.0
232.0,19.8
232.2,20.0
233.0,20.8
234.0,20.8
235.0,20.8
235.8,20.0
236.0,19.8
236.8,19.0
236.8,18.0
236.8,17.0
236.0,16.2
235.8,16.0
235.8,15.0
235.8,14.0
235.0,13.2
234.8,13.0
234.8,12.0
234.8,11.0
234.8,10.0
234.0,9.2
233.8,9.0
233.8,8.0
233.8,7.0
233.8,6.0
233.8,5.0
233.8,4.0
233.8,3.0
234.0,2.8
234.8,2.0
234.8,1.0
235.0,0.8
236.0,0.8
237.0,0.8
237.8,0.0
