x,y
81.8,265.0
81.8,264.0
82.0,263.8
83.0,263.8
84.0,263.8
84.8,263.0
85.0,262.8
85.8,262.0
86.0,261.8
87.0,261.8
87.8,261.0
87.8,260.0
88.0,259.8
88.8,259.0
89.0,258.8
89.8,258.0
90.0,257.8
90.8,257.0
91.0,256.8
91.8,256.0
92.0,255.8
92.8,255.0
93.0,254.8
93.8,254.0
94.0,253.8
94.8,253.0
95.0,252.8
95.8,252.0
96.0,251.8
97.0,251.8
97.8,251.0
97.8,250.0
97.8,249.0
97.8,248.0
97.8,247.0
97.8,246.0
97.8,245.0
97.8,244.0
97.8,243.0
97.8,242.0
97.8,241.0
97.8,240.0
98.0,239.8
99.0,239.8
99.8,239.0
99.8,238.0
100.0,237.8
101.0,237.8
102.0,237.8
102.8,237.0
103.0,236.8
103.8,236.0
104.0,235.8
105.0,235.8
105.8,235.0
105.8,234.0
105.8,233.0
105.8,232.0
106.0,231.8
107.0,231.8
107.8,231.0
107.8,230.0
107.8,229.0
107.8,228.0
108.0,227.8
109.0,227.8
109.8,227.0
109.8,226.0
109.8,225.0
109.8,224.0
110.0,223.8
111.0,223.8
111.8,223.0
111.8,222.0
111.8,221.0
111.8,220.0
111.8,219.0
111.8,218.0
112.0,217.8
113.0,217.8
113.8,217.0
113.8,216.0
114.0,215.8
115.0,215.8
116.0,215.8
117.0,215.8
118.0,215.8
119.0,215.8
119.2,216.0
120.0,216.8
120.2,217.0
121.0,217.8
121.2,218.0
122.0,218.8
122.2,219.0
123.0,219.8
124.0,219.8
125.0,219.8
125.2,220.0
126.0,220.8
126.2,221.0
127.0,221.8
127.2,222.0
128.0,222.8
128.2,223.0
129.0,223.8
130.0,223.8
131.0,223.8
131.2,224.0
132.0,224.8
132.2,225.0
133.0,225.8
134.0,225.8
135.0,225.8
136.0,225.8
137.0,225.8
138.0,225.8
139.0,225.8
140.0,225.8
141.0,225.8
141.8,225.0
141.8,224.0
142.0,223.8
143.0,223.8
143.8,223.0
143.8,222.0
144.0,221.8
145.0,221.8
145.8,221.0
145.8,220.0
146.0,219.8
147.0,219.8
147.8,219.0
147.8,218.0
147.8,217.0
147.8,216.0
147.8,215.0
147.8,214.0
147.8,213.0
147.8,212.0
147.8,211.0
147.8,210.0
147.8,209.0
147.8,208.0
147.8,207.0
147.8,206.0
147.8,205.0
147.8,204.0
147.8,203.0
147.8,202.0
147.0,201.2
146.8,201.0
147.0,200.8
147.8,200.0
147.8,199.0
147.0,198.2
146.8,198.0
146.0,197.2
145.8,197.0
145.8,196.0
145.0,195.2
144.0,195.2
143.8,195.0
143.8,194.0
143.8,193.0
143.8,192.0
144.0,191.8
144.8,191.0
144.8,190.0
144.8,189.0
144.0,188.2
143.8,188.0
143.8,187.0
143.8,186.0
143.8,185.0
143.8,184.0
143.8,183.0
143.8,182.0
143.0,181.2
142.0,181.2
141.0,181.2
140.8,181.0
140.8,180.0
140.8,179.0
140.8,178.0
140.8,177.0
140.8,176.0
140.0,175.2
139.8,175.0
139.8,174.0
139.8,173.0
139.8,172.0
139.8,171.0
139.8,170.0
139.8,169.0
139.8,168.0
139.0,167.2
138.0,167.2
137.0,167.2
136.0,167.2
135.0,167.2
134.0,167.2
133.0,167.2
132.0,167.2
131.8,167.0
131.8,166.0
131.0,165.2
130.8,165.0
130.0,164.2
129.8,164.0
129.8,163.0
129.0,162.2
128.8,162.0
128.8,161.0
128.8,160.0
128.0,159.2
127.0,159.2
126.0,159.2
125.0,159.2
124.8,159.0
124.8,158.0
124.0,157.2
123.0,157.2
122.0,157.2
121.0,157.2
120.0,157.2
119.0,157.2
118.0,157.2
117.8,157.0
117.0,156.2
116.0,156.2
115.8,156.0
115.8,155.0
115.8,154.0
115.0,153.2
114.0,153.2
113.0,153.2
112.0,153.2
111.0,153.2
110.0,153.2
109.0,153.2
108.0,153.2
107.0,153.2
106.0,153.2
105.0,153.2
104.0,153.2
103.0,153.2
102.0,153.2
101.0,153.2
100.0,153.2
99.0,153.2
98.0,153.2
97.0,153.2
96.0,153.2
95.0,153.2
94.0,153.2
93.0,153.2
92.0,153.2
91.0,153.2
90.0,153.2
89.2,154.0
89.2,155.0
89.0,155.2
88.0,155.2
87.0,155.2
86.0,155.2
85.0,155.2
84.2,156.0
84.0,156.2
83.2,157.0
83.0,157.2
82.0,157.2
81.0,157.2
80.0,157.2
79.2,158.0
79.2,159.0
79.2,160.0
79.2,161.0
79.0,161.2
78.0,161.2
77.2,162.0
77.2,163.0
77.0,163.2
76.0,163.2
75.2,164.0
75.2,165.0
75.0,165.2
74.0,165.2
73.2,166.0
73.2,167.0
73.0,167.2
72.2,168.0
72.0,168.2
71.2,169.0
71.0,169.2
70.0,169.2
69.2,170.0
69.2,171.0
69.0,171.2
68.2,172.0
68.0,172.2
67.2,173.0
67.0,173.2
66.0,173.2
65.2,174.0
65.2,175.0
65.0,175.2
64.0,175.2
63.2,176.0
63.2,177.0
63.2,178.0
63.2,179.0
63.2,180.0
63.2,181.0
63.2,182.0
63.2,183.0
63.2,184.0
63.2,185.0
63.0,185.2
62.0,185.2
61.2,186.0
61.2,187.0
61.2,188.0
61.2,189.0
61.2,190.0
61.2,191.0
61.2,192.0
61.2,193.0
62.0,193.8
63.0,193.8
63.2,194.0
63.2,195.0
64.0,195.8
65.0,195.8
66.0,195.8
67.0,195.8
68.0,195.8
69.0,195.8
70.0,195.8
71.0,195.8
71.2,196.0
71.2,197.0
72.0,197.8
73.0,197.8
74.0,197.8
75.0,197.8
76.0,197.8
77.0,197.8
78.0,197.8
79.0,197.8
80.0,197.8
81.0,197.8
81.2,198.0
81.2,199.0
82.0,199.8
83.0,199.8
84.0,199.8
85.0,199.8
85.2,200.0
85.2,201.0
85.2,202.0
85.2,203.0
85.0,203.2
84.0,203.2
83.2,204.0
83.2,205.0
83.0,205.2
82.2,206.0
82.0,206.2
81.2,207.0
81.2,208.0
81.2,209.0
81.2,210.0
81.2,211.0
81.0,211.2
80.0,211.2
79.2,212.0
79.2,213.0
79.0,213.2
78.2,214.0
78.0,214.2
77.2,215.0
77.2,216.0
77.2,217.0
77.2,218.0
77.2,219.0
77.2,220.0
77.2,221.0
77.2,222.0
77.2,223.0
77.2,224.0
77.2,225.0
77.2,226.0
77.2,227.0
77.2,228.0
77.2,229.0
77.0,229.2
76.0,229.2
75.0,229.2
74.0,229.2
73.0,229.2
72.0,229.2
71.2,230.0
71.2,231.0
71.2,232.0
71.2,233.0
71.2,234.0
71.2,235.0
71.0,235.2
70.0,235.2
69.2,236.0
69.2,237.0
69.2,238.0
69.2,239.0
69.2,240.0
69.2,241.0
69.0,241.2
68.0,241.2
67.2,242.0
67.2,243.0
67.2,244.0
67.2,245.0
67.2,246.0
67.2,247.0
67.2,248.0
67.2,249.0
67.2,250.0
67.2,251.0
67.2,252.0
67.2,253.0
67.2,254.0
67.2,255.0
67.2,256.0
67.2,257.0
67.2,258.0
67.2,259.0
67.2,260.0
67.2,261.0
67.2,262.0
67.2,263.0
68.0,263.8
69.0,263.8
69.2,264.0
69.2,265.0
70.0,265.8
71.0,265.8
72.0,265.8
73.0,265.8
74.0,265.8
75.0,265.8
76.0,265.8
77.0,265.8
78.0,265.8
79.0,265.8
80.0,265.8
81.0,265.8
81.8,265.0
