x,y
118.8,417.0
118.8,416.0
119.0,415.8
120.0,415.8
120.8,415.0
120.8,414.0
120.8,413.0
120.8,412.0
120.0,411.2
119.0,411.2
118.8,411.0
118.8,410.0
118.8,409.0
118.8,408.0
118.0,407.2
117.0,407.2
116.8,407.0
116.8,406.0
116.8,405.0
116.8,404.0
116.8,403.0
116.8,402.0
116.8,401.0
116.8,400.0
117.0,399.8
117.8,399.0
118.0,398.8
118.8,398.0
118.8,397.0
118.8,396.0
118.8,395.0
118.8,394.0
118.8,393.0
118.8,392.0
118.8,391.0
118.8,390.0
118.8,389.0
118.8,388.0
118.8,387.0
118.8,386.0
118.8,385.0
118.8,384.0
118.8,383.0
118.8,382.0
118.8,381.0
118.8,380.0
119.0,379.8
120.0,379.8
120.8,379.0
120.8,378.0
121.0,377.8
121.8,377.0
122.0,376.8
122.8,376.0
122.8,375.0
122.8,374.0
123.0,373.8
123.8,373.0
124.0,372.8
124.8,372.0
124.8,371.0
124.8,370.0
125.0,369.8
125.8,369.0
126.0,368.8
126.8,368.0
126.8,367.0
126.8,366.0
126.8,365.0
126.8,364.0
127.0,363.8
128.0,363.8
128.8,363.0
128.8,362.0
128.8,361.0
128.8,360.0
129.0,359.8
130.0,359.8
130.8,359.0
130.8,358.0
130.8,357.0
130.8,356.0
130.0,355.2
129.0,355.2
128.8,355.0
128.8,354.0
129.0,353.8
129.8,353.0
130.0,352.8
130.8,352.0
131.0,351.8
132.0,351.8
132.8,351.0
132.8,350.0
132.8,349.0
132.8,348.0
132.8,347.0
132.8,346.0
132.8,345.0
132.8,344.0
132.8,343.0
132.8,342.0
132.8,341.0
132.8,340.0
132.8,339.0
132.8,338.0
132.8,337.0
132.8,336.0
133.0,335.8
134.0,335.8
134.8,335.0
134.8,334.0
134.8,333.0
134.8,332.0
134.8,331.0
134.8,330.0
134.8,329.0
134.8,328.0
134.8,327.0
134.8,326.0
134.8,325.0
134.8,324.0
134.8,323.0
134.8,322.0
134.8,321.0
134.8,320.0
134.8,319.0
134.8,318.0
134.8,317.0
134.8,316.0
134.8,315.0
134.8,314.0
134.8,313.0
134.8,312.0
134.8,311.0
134.8,310.0
134.8,309.0
134.8,308.0
134.8,307.0
134.8,306.0
134.8,305.0
134.8,304.0
134.8,303.0
134.8,302.0
134.8,301.0
134.8,300.0
134.8,299.0
134.8,298.0
134.8,297.0
134.8,296.0
134.8,295.0
134.8,294.0
134.8,293.0
134.8,292.0
134.8,291.0
134.8,290.0
134.8,289.0
134.8,288.0
134.8,287.0
134.8,286.0
134.8,285.0
134.8,284.0
134.8,283.0
134.8,282.0
134.0,281.2
133.0,281.2
132.8,281.0
132.8,280.0
132.8,279.0
132.8,278.0
132.8,277.0
132.8,276.0
132.8,275.0
132.8,274.0
132.0,273.2
131.0,273.2
130.8,273.0
130.8,272.0
130.8,271.0
130.8,270.0
130.8,269.0
130.0,268.2
129.8,268.0
129.0,267.2
128.8,267.0
128.8,266.0
128.8,265.0
128.8,264.0
128.0,263.2
127.0,263.2
126.8,263.0
126.8,262.0
126.8,261.0
126.8,260.0
126.8,259.0
126.0,258.2
125.8,258.0
125.0,257.2
124.8,257.0
124.8,256.0
124.0,255.2
123.0,255.2
122.8,255.0
122.0,254.2
