x,y
305.8,294.0
306.0,293.8
306.8,293.0
307.0,292.8
307.8,292.0
308.0,291.8
308.8,291.0
309.0,290.8
310.0,290.8
310.8,290.0
311.0,289.8
311.8,289.0
312.0,288.8
313.0,288.8
313.8,288.0
314.0,287.8
314.8,287.0
315.0,286.8
316.0,286.8
316.8,286.0
317.0,285.8
317.8,285.0
318.0,284.8
318.8,284.0
318.8,283.0
319.0,282.8
319.8,282.0
320.0,281.8
320.8,281.0
321.0,280.8
321.8,280.0
322.0,279.8
322.8,279.0
322.8,278.0
323.0,277.8
323.8,277.0
324.0,276.8
324.8,276.0
324.8,275.0
325.0,274.8
325.8,274.0
326.0,273.8
326.8,273.0
327.0,272.8
327.8,272.0
327.8,271.0
327.8,270.0
328.0,269.8
328.8,269.0
328.8,268.0
329.0,267.8
329.8,267.0
330.0,266.8
330.8,266.0
331.0,265.8
331.8,265.0
332.0,264.8
332.8,264.0
332.8,263.0
332.8,262.0
333.0,261.8
333.8,261.0
333.8,260.0
333.8,259.0
333.8,258.0
333.8,257.0
333.0,256.2
332.8,256.0
332.8,255.0
332.8,254.0
332.0,253.2
331.8,253.0
331.8,252.0
331.8,251.0
331.0,250.2
330.8,250.0
330.0,249.2
329.8,249.0
329.8,248.0
329.0,247.2
328.8,247.0
328.8,246.0
328.0,245.2
327.8,245.0
327.0,244.2
326.2,245.0
326.0,245.2
325.2,246.0
325.0,246.2
324.2,247.0
324.0,247.2
323.2,248.0
323.0,248.2
322.2,249.0
322.0,249.2
321.2,250.0
321.0,250.2
320.0,250.2
319.0,250.2
318.0,250.2
317.0,250.2
316.0,250.2
315.0,250.2
314.2,251.0
314.0,251.2
313.0,251.2
312.0,251.2
311.0,251.2
310.2,252.0
310.0,252.2
309.0,252.2
308.0,252.2
307.2,253.0
307.0,253.2
306.2,254.0
306.0,254.2
305.2,255.0
305.0,255.2
304.2,256.0
304.0,256.2
303.2,257.0
303.0,257.2
302.2,258.0
302.0,258.2
301.2,259.0
301.0,259.2
300.2,260.0
300.0,260.2
299.2,261.0
299.0,261.2
298.2,262.0
298.0,262.2
297.2,263.0
297.2,264.0
297.0,264.2
296.2,265.0
296.2,266.0
296.0,266.2
295.2,267.0
295.2,268.0
295.2,269.0
295.2,270.0
295.2,271.0
295.2,272.0
295.2,273.0
295.0,273.2
294.2,274.0
294.2,275.0
294.2,276.0
294.2,277.0
294.2,278.0
294.2,279.0
294.2,280.0
294.2,281.0
294.2,282.0
294.2,283.0
294.2,284.0
294.2,285.0
294.2,286.0
294.2,287.0
294.2,288.0
294.2,289.0
295.0,289.8
296.0,289.8
296.2,290.0
297.0,290.8
297.2,291.0
298.0,291.8
299.0,291.8
299.2,292.0
300.0,292.8
300.2,293.0
301.0,293.8
302.0,293.8
302.2,294.0
303.0,294.8
304.0,294.8
305.0,294.8
305.8,294.0
