x,y
456.8,440.0
457.0,439.8
457.8,439.0
458.0,438.8
458.8,438.0
459.0,437.8
459.8,437.0
460.0,436.8
461.0,436.8
462.0,436.8
462.8,436.0
463.0,435.8
463.8,435.0
464.0,434.8
464.8,434.0
465.0,433.8
465.8,433.0
466.0,432.8
466.8,432.0
466.8,431.0
467.0,430.8
467.8,430.0
467.8,429.0
468.0,428.8
468.8,428.0
468.8,427.0
469.0,426.8
470.0,426.8
470.8,426.0
470.8,425.0
470.8,424.0
471.0,423.8
471.8,423.0
471.8,422.0
471.8,421.0
471.8,420.0
471.8,419.0
471.8,418.0
471.8,417.0
471.8,416.0
471.8,415.0
472.0,414.8
472.8,414.0
473.0,413.8
473.8,413.0
473.8,412.0
473.8,411.0
473.8,410.0
473.8,409.0
473.8,408.0
473.8,407.0
473.8,406.0
473.8,405.0
473.8,404.0
473.8,403.0
473.8,402.0
473.8,401.0
473.0,400.2
472.8,400.0
472.8,399.0
473.0,398.8
473.8,398.0
473.0,397.2
472.8,397.0
472.8,396.0
472.0,395.2
471.8,395.0
471.8,394.0
471.8,393.0
471.8,392.0
471.0,391.2
470.8,391.0
470.0,390.2
469.8,390.0
469.8,389.0
469.0,388.2
468.8,388.0
468.0,387.2
467.0,387.2
466.0,387.2
465.0,387.2
464.0,387.2
463.0,387.2
462.2,388.0
462.0,388.2
461.2,389.0
461.0,389.2
460.0,389.2
459.2,390.0
459.0,390.2
458.2,391.0
458.0,391.2
457.2,392.0
457.0,392.2
456.2,393.0
456.0,393.2
455.0,393.2
454.0,393.2
453.0,393.2
452.2,394.0
452.0,394.2
451.2,395.0
451.0,395.2
450.0,395.2
449.0,395.2
448.0,395.2
447.2,396.0
447.0,396.2
446.2,397.0
446.0,397.2
445.0,397.2
444.0,397.2
443.0,397.2
442.2,398.0
442.2,399.0
442.0,399.2
441.0,399.2
440.0,399.2
439.0,399.2
438.0,399.2
437.2,400.0
437.0,400.2
436.2,401.0
436.0,401.2
435.0,401.2
434.0,401.2
433.2,402.0
433.0,402.2
432.0,402.2
431.2,403.0
431.0,403.2
430.0,403.2
429.0,403.2
428.0,403.2
427.0,403.2
426.0,403.2
425.0,403.2
424.0,403.2
423.0,403.2
422.0,403.2
421.0,403.2
420.0,403.2
419.0,403.2
418.0,403.2
417.0,403.2
416.0,403.2
415.0,403.2
414.0,403.2
413.2,404.0
413.0,404.2
412.2,405.0
412.0,405.2
411.2,406.0
411.0,406.2
410.2,407.0
410.2,408.0
410.0,408.2
409.2,409.0
409.0,409.2
408.2,410.0
408.2,411.0
408.2,412.0
408.2,413.0
408.2,414.0
408.2,415.0
408.2,416.0
409.0,416.8
409.2,417.0
410.0,417.8
411.0,417.8
412.0,417.8
413.0,417.8
413.2,418.0
414.0,418.8
415.0,418.8
416.0,418.8
416.2,419.0
417.0,419.8
418.0,419.8
419.0,419.8
420.0,419.8
421.0,419.8
422.0,419.8
423.0,419.8
424.0,419.8
425.0,419.8
426.0,419.8
427.0,419.8
428.0,419.8
429.0,419.8
430.0,419.8
431.0,419.8
432.0,419.8
433.0,419.8
434.0,419.8
434.2,420.0
435.0,420.8
435.2,421.0
436.0,421.8
436.2,422.0
437.0,422.8
437.2,423.0
438.0,423.8
438.2,424.0
439.0,424.8
440.0,424.8
440.2,425.0
440.2,426.0
441.0,426.8
442.0,426.8
442.2,427.0
443.0,427.8
443.2,428.0
444.0,428.8
444.2,429.0
445.0,429.8
445.2,430.0
446.0,430.8
446.2,431.0
447.0,431.8
447.2,432.0
448.0,432.8
448.2,433.0
449.0,433.8
449.2,434.0
450.0,434.8
450.2,435.0
450.2,436.0
451.0,436.8
451.2,437.0
451.2,438.0
452.0,438.8
453.0,438.8
453.2,439.0
454.0,439.8
454.2,440.0
455.0,440.8
456.0,440.8
456.8,440.0
