x,y
627.8,94.0
628.0,93.8
629.0,93.8
630.0,93.8
631.0,93.8
632.0,93.8
632.8,93.0
633.0,92.8
634.0,92.8
634.8,92.0
635.0,91.8
635.8,91.0
636.0,90.8
637.0,90.8
638.0,90.8
638.8,90.0
639.0,89.8
639.8,89.0
640.0,88.8
640.8,88.0
640.8,87.0
641.0,86.8
641.8,86.0
641.8,85.0
642.0,84.8
642.8,84.0
643.0,83.8
643.8,83.0
644.0,82.8
644.8,82.0
644.8,81.0
645.0,80.8
645.8,80.0
645.8,79.0
645.8,78.0
645.8,77.0
645.8,76.0
645.8,75.0
645.8,74.0
645.8,73.0
645.8,72.0
645.8,71.0
646.0,70.8
646.8,70.0
646.8,69.0
646.8,68.0
646.8,67.0
646.8,66.0
646.8,65.0
646.8,64.0
647.0,63.8
647.8,63.0
647.8,62.0
647.8,61.0
648.0,60.8
649.0,60.8
650.0,60.8
650.8,60.0
651.0,59.8
652.0,59.8
653.0,59.8
654.0,59.8
655.0,59.8
655.2,60.0
656.0,60.8
657.0,60.8
658.0,60.8
659.0,60.8
660.0,60.8
661.0,60.8
662.0,60.8
663.0,60.8
664.0,60.8
665.0,60.8
666.0,60.8
667.0,60.8
668.0,60.8
669.0,60.8
670.0,60.8
671.0,60.8
672.0,60.8
673.0,60.8
674.0,60.8
675.0,60.8
676.0,60.8
677.0,60.8
678.0,60.8
679.0,60.8
680.0,60.8
681.0,60.8
682.0,60.8
683.0,60.8
684.0,60.8
685.0,60.8
686.0,60.8
687.0,60.8
688.0,60.8
689.0,60.8
690.0,60.8
691.0,60.8
692.0,60.8
693.0,60.8
694.0,60.8
695.0,60.8
696.0,60.8
697.0,60.8
698.0,60.8
699.0,60.8
700.0,60.8
701.0,60.8
702.0,60.8
703.0,60.8
704.0,60.8
705.0,60.8
706.0,60.8
707.0,60.8
708.0,60.8
709.0,60.8
709.8,60.0
710.0,59.8
711.0,59.8
712.0,59.8
713.0,59.8
714.0,59.8
714.8,59.0
715.0,58.8
716.0,58.8
716.8,58.0
717.0,57.8
718.0,57.8
719.0,57.8
720.0,57.8
720.8,57.0
721.0,56.8
722.0,56.8
723.0,56.8
724.0,56.8
725.0,56.8
725.8,56.0
726.0,55.8
727.0,55.8
728.0,55.8
729.0,55.8
730.0,55.8
731.0,55.8
732.0,55.8
732.8,55.0
732.8,54.0
732.8,53.0
732.8,52.0
732.8,51.0
732.8,50.0
732.8,49.0
732.8,48.0
732.8,47.0
732.8,46.0
732.8,45.0
732.8,44.0
732.8,43.0
732.8,42.0
732.8,41.0
732.8,40.0
732.8,39.0
732.8,38.0
732.8,37.0
732.8,36.0
732.8,35.0
732.8,34.0
732.8,33.0
732.8,32.0
732.8,31.0
732.0,30.2
731.0,30.2
730.2,31.0
730.0,31.2
729.0,31.2
728.2,32.0
728.0,32.2
727.2,33.0
727.0,33.2
726.2,34.0
726.0,34.2
725.0,34.2
724.0,34.2
723.2,35.0
723.0,35.2
722.0,35.2
721.0,35.2
720.0,35.2
719.0,35.2
718.0,35.2
717.0,35.2
716.0,35.2
715.0,35.2
714.0,35.2
713.0,35.2
712.0,35.2
711.0,35.2
710.0,35.2
709.0,35.2
708.0,35.2
707.0,35.2
706.0,35.2
705.0,35.2
704.0,35.2
703.0,35.2
702.0,35.2
701.0,35.2
700.0,35.2
699.8,35.0
699.0,34.2
698.0,34.2
697.0,34.2
696.8,34.0
696.0,33.2
695.8,33.0
695.0,32.2
694.8,32.0
694.0,31.2
693.0,31.2
692.8,31.0
692.0,30.2
691.8,30.0
691.0,29.2
690.8,29.0
690.0,28.2
689.0,28.2
688.8,28.0
688.8,27.0
688.0,26.2
687.8,26.0
687.8,25.0
687.8,24.0
687.8,23.0
687.8,22.0
687.0,21.2
686.8,21.0
686.0,20.2
685.8,20.0
685.0,19.2
684.0,19.2
683.0,19.2
682.8,19.0
682.0,18.2
681.0,18.2
680.8,18.0
680.0,17.2
679.8,17.0
679.0,16.2
678.0,16.2
677.8,16.0
677.0,15.2
676.0,15.2
675.0,15.2
674.8,15.0
674.0,14.2
673.2,15.0
673.2,16.0
673.0,16.2
672.2,17.0
672.0,17.2
671.2,18.0
671.2,19.0
671.0,19.2
670.2,20.0
670.2,21.0
670.0,21.2
669.2,22.0
669.2,23.0
669.2,24.0
669.2,25.0
669.0,25.2
668.2,26.0
668.2,27.0
668.2,28.0
668.2,29.0
668.0,29.2
667.2,30.0
667.0,30.2
666.0,30.2
665.0,30.2
664.0,30.2
663.0,30.2
662.8,30.0
662.0,29.2
661.0,29.2
660.0,29.2
659.0,29.2
658.0,29.2
657.0,29.2
656.0,29.2
655.0,29.2
654.0,29.2
653.2,30.0
653.0,30.2
652.2,31.0
652.0,31.2
651.2,32.0
651.0,32.2
650.2,33.0
650.0,33.2
649.2,34.0
649.0,34.2
648.2,35.0
648.0,35.2
647.2,36.0
647.0,36.2
646.2,37.0
646.0,37.2
645.0,37.2
644.0,37.2
643.2,38.0
643.0,38.2
642.0,38.2
641.0,38.2
640.2,39.0
640.0,39.2
639.2,40.0
639.2,41.0
639.0,41.2
638.2,42.0
638.0,42.2
637.2,43.0
637.0,43.2
636.2,44.0
636.0,44.2
635.0,44.2
634.2,45.0
634.0,45.2
633.0,45.2
632.2,46.0
632.0,46.2
631.2,47.0
631.0,47.2
630.2,48.0
630.0,48.2
629.2,49.0
629.0,49.2
628.2,50.0
628.0,50.2
627.2,51.0
627.0,51.2
626.2,52.0
626.2,53.0
626.0,53.2
625.2,54.0
625.0,54.2
624.2,55.0
624.0,55.2
623.2,56.0
623.0,56.2
622.2,57.0
622.0,57.2
621.2,58.0
621.0,58.2
620.2,59.0
620.2,60.0
620.0,60.2
619.2,61.0
619.0,61.2
618.2,62.0
618.2,63.0
618.0,63.2
617.2,64.0
617.0,64.2
616.2,65.0
616.2,66.0
616.2,67.0
616.0,67.2
615.2,68.0
615.2,69.0
615.2,70.0
615.0,70.2
614.2,71.0
614.2,72.0
614.0,72.2
613.2,73.0
613.0,73.2
612.2,74.0
612.2,75.0
612.2,76.0
612.0,76.2
611.2,77.0
611.2,78.0
611.0,78.2
610.2,79.0
610.2,80.0
610.2,81.0
610.0,81.2
609.2,82.0
609.2,83.0
609.2,84.0
609.2,85.0
609.0,85.2
608.2,86.0
608.2,87.0
608.0,87.2
607.2,88.0
607.2,89.0
607.2,90.0
607.2,91.0
607.0,91.2
606.2,92.0
606.2,93.0
606.2,94.0
607.0,94.8
608.0,94.8
609.0,94.8
610.0,94.8
611.0,94.8
612.0,94.8
613.0,94.8
614.0,94.8
615.0,94.8
616.0,94.8
617.0,94.8
618.0,94.8
619.0,94.8
620.0,94.8
621.0,94.8
622.0,94.8
623.0,94.8
624.0,94.8
625.0,94.8
626.0,94.8
627.0,94.8
627.8,94.0
