x,y
230.8,548.0
230.8,547.0
231.0,546.8
232.0,546.8
233.0,546.8
234.0,546.8
235.0,546.8
236.0,546.8
237.0,546.8
238.0,546.8
238.8,546.0
238.8,545.0
238.8,544.0
238.8,543.0
238.8,542.0
239.0,541.8
239.8,541.0
239.8,540.0
239.8,539.0
239.0,538.2
238.8,538.0
238.8,537.0
238.8,536.0
238.8,535.0
238.8,534.0
238.8,533.0
238.8,532.0
238.8,531.0
238.8,530.0
238.0,529.2
237.8,529.0
237.0,528.2
236.8,528.0
236.8,527.0
236.0,526.2
235.0,526.2
234.0,526.2
233.0,526.2
232.0,526.2
231.0,526.2
230.0,526.2
229.0,526.2
228.0,526.2
227.0,526.2
226.0,526.2
225.0,526.2
224.0,526.2
223.0,526.2
222.0,526.2
221.0,526.2
220.0,526.2
219.2,527.0
219.0,527.2
218.2,528.0
218.0,528.2
217.0,528.2
216.0,528.2
215.0,528.2
214.2,529.0
214.0,529.2
213.0,529.2
212.2,530.0
212.0,530.2
211.0,530.2
210.2,531.0
210.2,532.0
210.0,532.2
209.0,532.2
208.0,532.2
207.0,532.2
206.2,533.0
206.2,534.0
206.0,534.2
205.0,534.2
204.0,534.2
203.0,534.2
202.0,534.2
201.0,534.2
200.0,534.2
199.2,535.0
199.2,536.0
199.0,536.2
198.2,537.0
198.2,538.0
198.2,539.0
198.2,540.0
199.0,540.8
200.0,540.8
200.2,541.0
200.2,542.0
201.0,542.8
202.0,542.8
202.2,543.0
202.2,544.0
203.0,544.8
204.0,544.8
205.0,544.8
206.0,544.8
207.0,544.8
208.0,544.8
208.2,545.0
208.2,546.0
209.0,546.8
210.0,546.8
211.0,546.8
212.0,546.8
213.0,546.8
214.0,546.8
215.0,546.8
216.0,546.8
217.0,546.8
218.0,546.8
219.0,546.8
220.0,546.8
221.0,546.8
222.0,546.8
222.2,547.0
222.2,548.0
223.0,548.8
224.0,548.8
225.0,548.8
226.0,548.8
227.0,548.8
228.0,548.8
229.0,548.8
230.0,548.8
230.8,548.0
