x,y
196.8,455.0
197.0,454.8
197.8,454.0
197.8,453.0
197.8,452.0
198.0,451.8
198.8,451.0
199.0,450.8
199.8,450.0
200.0,449.8
201.0,449.8
202.0,449.8
203.0,449.8
203.8,449.0
204.0,448.8
205.0,448.8
206.0,448.8
206.8,448.0
207.0,447.8
207.8,447.0
208.0,446.8
208.8,446.0
209.0,445.8
209.8,445.0
210.0,444.8
211.0,444.8
212.0,444.8
213.0,444.8
214.0,444.8
215.0,444.8
216.0,444.8
217.0,444.8
217.8,444.0
218.0,443.8
219.0,443.8
219.8,443.0
219.8,442.0
219.8,441.0
219.8,440.0
219.8,439.0
219.8,438.0
219.8,437.0
219.8,436.0
219.0,435.2
218.8,435.0
218.0,434.2
217.0,434.2
216.0,434.2
215.0,434.2
214.8,434.0
214.0,433.2
213.8,433.0
213.0,432.2
212.0,432.2
211.8,432.0
212.0,431.8
213.0,431.8
214.0,431.8
215.0,431.8
216.0,431.8
217.0,431.8
218.0,431.8
219.0,431.8
220.0,431.8
221.0,431.8
222.0,431.8
223.0,431.8
224.0,431.8
225.0,431.8
226.0,431.8
226.8,431.0
227.0,430.8
228.0,430.8
228.8,430.0
229.0,429.8
230.0,429.8
230.8,429.0
231.0,428.8
232.0,428.8
232.8,428.0
233.0,427.8
233.8,427.0
234.0,426.8
234.8,426.0
235.0,425.8
235.8,425.0
236.0,424.8
236.8,424.0
236.8,423.0
236.8,422.0
236.8,421.0
236.8,420.0
236.8,419.0
236.8,418.0
236.8,417.0
236.8,416.0
236.8,415.0
236.8,414.0
236.8,413.0
236.8,412.0
237.0,411.8
238.0,411.8
239.0,411.8
240.0,411.8
241.0,411.8
242.0,411.8
243.0,411.8
243.8,411.0
243.8,410.0
243.0,409.2
242.8,409.0
242.8,408.0
242.8,407.0
242.0,406.2
241.8,406.0
241.8,405.0
241.0,404.2
240.8,404.0
240.8,403.0
240.8,402.0
240.0,401.2
239.8,401.0
239.8,400.0
239.0,399.2
238.0,399.2
237.0,399.2
236.0,399.2
235.0,399.2
234.8,399.0
234.8,398.0
234.8,397.0
234.0,396.2
233.0,396.2
232.8,396.0
232.8,395.0
232.8,394.0
232.0,393.2
231.8,393.0
231.0,392.2
230.8,392.0
230.8,391.0
230.0,390.2
229.0,390.2
228.8,390.0
228.0,389.2
227.8,389.0
227.0,388.2
226.8,388.0
226.0,387.2
225.0,387.2
224.8,387.0
224.0,386.2
223.0,386.2
222.0,386.2
221.0,386.2
220.0,386.2
219.0,386.2
218.0,386.2
217.0,386.2
216.0,386.2
215.0,386.2
214.0,386.2
213.0,386.2
212.0,386.2
211.0,386.2
210.0,386.2
209.0,386.2
208.0,386.2
207.0,386.2
206.0,386.2
205.0,386.2
204.0,386.2
203.8,386.0
204.0,385.8
204.8,385.0
205.0,384.8
205.8,384.0
206.0,383.8
206.8,383.0
207.0,382.8
207.8,382.0
208.0,381.8
208.8,381.0
208.8,380.0
208.8,379.0
208.8,378.0
208.8,377.0
208.8,376.0
208.8,375.0
208.8,374.0
208.0,373.2
207.0,373.2
206.8,373.0
206.0,372.2
205.0,372.2
204.0,372.2
203.0,372.2
202.0,372.2
201.0,372.2
200.0,372.2
199.0,372.2
198.0,372.2
197.0,372.2
196.2,373.0
196.0,373.2
195.2,374.0
195.0,374.2
194.8,374.0
194.8,373.0
194.8,372.0
194.8,371.0
194.8,370.0
194.8,369.0
194.8,368.0
194.8,367.0
194.8,366.0
194.8,365.0
194.0,364.2
193.0,364.2
192.8,364.0
192.0,363.2
191.2,364.0
191.0,364.2
190.8,364.0
190.0,363.2
189.0,363.2
188.2,364.0
188.0,364.2
187.2,365.0
187.0,365.2
186.0,365.2
185.2,366.0
185.2,367.0
185.0,367.2
184.2,368.0
184.0,368.2
183.2,369.0
183.0,369.2
182.2,370.0
182.0,370.2
181.0,370.2
180.8,370.0
180.8,369.0
180.0,368.2
179.8,368.0
179.8,367.0
179.0,366.2
178.8,366.0
178.8,365.0
178.0,364.2
177.8,364.0
177.0,363.2
176.0,363.2
175.0,363.2
174.0,363.2
173.0,363.2
172.0,363.2
171.0,363.2
170.2,364.0
170.0,364.2
169.2,365.0
169.0,365.2
168.0,365.2
167.2,366.0
167.0,366.2
166.2,367.0
166.0,367.2
165.2,368.0
165.2,369.0
165.0,369.2
164.2,370.0
164.0,370.2
163.2,371.0
163.0,371.2
162.0,371.2
161.0,371.2
160.0,371.2
159.0,371.2
158.0,371.2
157.0,371.2
156.2,372.0
156.0,372.2
155.2,373.0
155.2,374.0
155.2,375.0
155.2,376.0
156.0,376.8
156.2,377.0
156.2,378.0
157.0,378.8
157.2,379.0
157.2,380.0
157.2,381.0
157.2,382.0
157.0,382.2
156.8,382.0
156.0,381.2
155.8,381.0
155.0,380.2
154.0,380.2
153.0,380.2
152.0,380.2
151.0,380.2
150.0,380.2
149.0,380.2
148.2,381.0
148.0,381.2
147.2,382.0
147.0,382.2
146.2,383.0
146.2,384.0
146.2,385.0
146.2,386.0
146.2,387.0
146.2,388.0
147.0,388.8
147.2,389.0
147.2,390.0
147.2,391.0
147.2,392.0
148.0,392.8
148.2,393.0
148.0,393.2
147.0,393.2
146.0,393.2
145.0,393.2
144.0,393.2
143.0,393.2
142.0,393.2
141.0,393.2
140.0,393.2
139.2,394.0
139.0,394.2
138.2,395.0
138.2,396.0
138.2,397.0
138.2,398.0
138.2,399.0
138.2,400.0
138.2,401.0
139.0,401.8
140.0,401.8
140.2,402.0
141.0,402.8
141.2,403.0
141.2,404.0
141.0,404.2
140.2,405.0
140.2,406.0
140.2,407.0
140.2,408.0
140.2,409.0
140.2,410.0
140.2,411.0
140.2,412.0
140.2,413.0
140.2,414.0
141.0,414.8
142.0,414.8
143.0,414.8
