x,y
383.8,532.0
384.0,531.8
384.8,531.0
384.8,530.0
384.8,529.0
385.0,528.8
385.8,528.0
386.0,527.8
386.8,527.0
386.8,526.0
386.8,525.0
386.8,524.0
387.0,523.8
388.0,523.8
388.8,523.0
388.8,522.0
388.8,521.0
388.8,520.0
388.8,519.0
388.8,518.0
388.8,517.0
388.8,516.0
388.8,515.0
388.8,514.0
388.0,513.2
387.0,513.2
386.8,513.0
386.0,512.2
385.8,512.0
385.0,511.2
384.8,511.0
384.8,510.0
384.0,509.2
383.8,509.0
383.0,508.2
382.8,508.0
382.0,507.2
381.0,507.2
380.8,507.0
380.0,506.2
379.8,506.0
379.0,505.2
378.0,505.2
377.8,505.0
377.0,504.2
376.0,504.2
375.0,504.2
374.0,504.2
373.0,504.2
372.8,504.0
372.8,503.0
372.0,502.2
371.0,502.2
370.8,502.0
370.8,501.0
370.0,500.2
369.0,500.2
368.0,500.2
367.0,500.2
366.8,500.0
366.0,499.2
365.8,499.0
365.0,498.2
364.8,498.0
364.0,497.2
363.8,497.0
363.0,496.2
362.0,496.2
361.0,496.2
360.0,496.2
359.0,496.2
358.8,496.0
358.8,495.0
358.0,494.2
357.0,494.2
356.0,494.2
355.0,494.2
354.0,494.2
353.0,494.2
352.0,494.2
351.0,494.2
350.0,494.2
349.0,494.2
348.0,494.2
347.0,494.2
346.0,494.2
345.0,494.2
344.0,494.2
343.0,494.2
342.0,494.2
341.0,494.2
340.0,494.2
339.0,494.2
338.0,494.2
337.0,494.2
336.0,494.2
335.0,494.2
334.0,494.2
333.0,494.2
332.0,494.2
331.0,494.2
330.0,494.2
329.0,494.2
328.0,494.2
327.0,494.2
326.0,494.2
325.0,494.2
324.2,495.0
324.0,495.2
323.0,495.2
322.2,496.0
322.0,496.2
321.0,496.2
320.0,496.2
319.0,496.2
318.0,496.2
317.2,497.0
317.0,497.2
316.2,498.0
316.0,498.2
315.0,498.2
314.0,498.2
313.0,498.2
312.0,498.2
311.2,499.0
311.0,499.2
310.2,500.0
310.0,500.2
309.0,500.2
308.0,500.2
307.2,501.0
307.0,501.2
306.2,502.0
306.0,502.2
305.0,502.2
304.0,502.2
303.2,503.0
303.0,503.2
302.2,504.0
302.0,504.2
301.0,504.2
300.0,504.2
299.0,504.2
298.2,505.0
298.2,506.0
298.0,506.2
297.0,506.2
296.0,506.2
295.0,506.2
294.2,507.0
294.2,508.0
294.2,509.0
295.0,509.8
295.2,510.0
296.0,510.8
296.2,511.0
296.2,512.0
297.0,512.8
298.0,512.8
299.0,512.8
300.0,512.8
301.0,512.8
302.0,512.8
303.0,512.8
304.0,512.8
305.0,512.8
306.0,512.8
307.0,512.8
307.8,512.0
308.0,511.8
308.8,511.0
309.0,510.8
310.0,510.8
311.0,510.8
312.0,510.8
313.0,510.8
314.0,510.8
315.0,510.8
316.0,510.8
316.2,511.0
317.0,511.8
317.2,512.0
318.0,512.8
319.0,512.8
320.0,512.8
320.2,513.0
321.0,513.8
321.2,514.0
322.0,514.8
323.0,514.8
324.0,514.8
325.0,514.8
326.0,514.8
327.0,514.8
328.0,514.8
329.0,514.8
330.0,514.8
331.0,514.8
332.0,514.8
333.0,514.8
333.8,514.0
334.0,513.8
334.8,513.0
335.0,512.8
336.0,512.8
337.0,512.8
338.0,512.8
338.2,513.0
339.0,513.8
339.2,514.0
340.0,514.8
341.0,514.8
342.0,514.8
343.0,514.8
344.0,514.8
344.2,515.0
345.0,515.8
345.2,516.0
346.0,516.8
347.0,516.8
347.2,517.0
347.2,518.0
348.0,518.8
349.0,518.8
350.0,518.8
351.0,518.8
352.0,518.8
353.0,518.8
354.0,518.8
354.8,518.0
354.8,517.0
354.8,516.0
354.8,515.0
354.8,514.0
355.0,513.8
355.2,514.0
356.0,514.8
356.2,515.0
357.0,515.8
357.2,516.0
358.0,516.8
359.0,516.8
360.0,516.8
361.0,516.8
361.2,517.0
362.0,517.8
362.2,518.0
363.0,518.8
364.0,518.8
365.0,518.8
366.0,518.8
367.0,518.8
367.8,518.0
368.0,517.8
368.8,517.0
369.0,516.8
370.0,516.8
370.2,517.0
371.0,517.8
371.2,518.0
372.0,518.8
373.0,518.8
373.2,519.0
374.0,519.8
374.2,520.0
375.0,520.8
375.2,521.0
376.0,521.8
376.2,522.0
376.2,523.0
377.0,523.8
377.2,524.0
378.0,524.8
378.2,525.0
378.2,526.0
378.2,527.0
378.2,528.0
378.2,529.0
378.2,530.0
379.0,530.8
380.0,530.8
380.2,531.0
381.0,531.8
381.2,532.0
382.0,532.8
383.0,532.8
383.8,532.0
