x,y
255.8,264.0
256.0,263.8
256.8,263.0
257.0,262.8
257.8,262.0
258.0,261.8
258.8,261.0
259.0,260.8
259.8,260.0
260.0,259.8
260.8,259.0
260.8,258.0
260.8,257.0
261.0,256.8
261.8,256.0
262.0,255.8
262.8,255.0
263.0,254.8
264.0,254.8
265.0,254.8
266.0,254.8
267.0,254.8
268.0,254.8
269.0,254.8
269.8,254.0
269.8,253.0
270.0,252.8
270.8,252.0
271.0,251.8
272.0,251.8
272.8,251.0
272.8,250.0
272.8,249.0
272.8,248.0
272.8,247.0
272.8,246.0
272.8,245.0
273.0,244.8
274.0,244.8
275.0,244.8
276.0,244.8
276.8,244.0
276.8,243.0
277.0,242.8
277.8,242.0
278.0,241.8
278.8,241.0
278.8,240.0
278.0,239.2
277.8,239.0
277.0,238.2
276.0,238.2
275.0,238.2
274.8,238.0
274.0,237.2
273.8,237.0
273.0,236.2
272.8,236.0
272.8,235.0
272.8,234.0
272.8,233.0
272.8,232.0
272.8,231.0
272.8,230.0
272.8,229.0
272.8,228.0
272.0,227.2
271.8,227.0
271.0,226.2
270.8,226.0
270.8,225.0
270.8,224.0
270.0,223.2
269.8,223.0
269.0,222.2
268.0,222.2
267.0,222.2
266.0,222.2
265.0,222.2
264.0,222.2
263.0,222.2
262.0,222.2
261.0,222.2
260.8,222.0
260.8,221.0
260.8,220.0
260.8,219.0
260.8,218.0
260.8,217.0
260.8,216.0
260.0,215.2
259.8,215.0
259.0,214.2
258.0,214.2
257.0,214.2
256.2,215.0
256.0,215.2
255.8,215.0
255.8,214.0
255.8,213.0
255.0,212.2
254.0,212.2
253.8,212.0
253.8,211.0
253.0,210.2
252.0,210.2
251.0,210.2
250.2,211.0
250.0,211.2
249.8,211.0
249.0,210.2
248.0,210.2
247.0,210.2
246.0,210.2
245.0,210.2
244.0,210.2
243.0,210.2
242.0,210.2
241.0,210.2
240.0,210.2
239.0,210.2
238.0,210.2
237.0,210.2
236.0,210.2
235.0,210.2
234.0,210.2
233.0,210.2
232.0,210.2
231.2,211.0
231.2,212.0
231.0,212.2
230.2,213.0
230.2,214.0
230.0,214.2
229.0,214.2
228.0,214.2
227.0,214.2
226.2,215.0
226.2,216.0
226.0,216.2
225.2,217.0
225.0,217.2
224.2,218.0
224.2,219.0
224.2,220.0
224.0,220.2
223.2,221.0
223.0,221.2
222.2,222.0
222.2,223.0
222.2,224.0
222.0,224.2
221.2,225.0
221.0,225.2
220.2,226.0
220.2,227.0
220.0,227.2
219.2,228.0
219.0,228.2
218.2,229.0
218.2,230.0
218.2,231.0
218.2,232.0
218.2,233.0
218.2,234.0
218.2,235.0
218.2,236.0
218.2,237.0
218.2,238.0
218.0,238.2
217.2,239.0
217.0,239.2
216.2,240.0
216.2,241.0
216.2,242.0
216.0,242.2
215.2,243.0
215.0,243.2
214.2,244.0
214.2,245.0
214.0,245.2
213.2,246.0
213.2,247.0
213.2,248.0
213.2,249.0
214.0,249.8
214.2,250.0
215.0,250.8
216.0,250.8
217.0,250.8
218.0,250.8
219.0,250.8
220.0,250.8
221.0,250.8
221.8,250.0
222.0,249.8
222.2,250.0
222.2,251.0
222.2,252.0
222.2,253.0
222.2,254.0
222.2,255.0
222.2,256.0
223.0,256.8
224.0,256.8
224.2,257.0
224.2,258.0
225.0,258.8
226.0,258.8
226.2,259.0
227.0,259.8
227.2,260.0
228.0,260.8
228.8,260.0
229.0,259.8
230.0,259.8
231.0,259.8
231.2,260.0
232.0,260.8
232.2,261.0
233.0,261.8
233.2,262.0
234.0,262.8
235.0,262.8
236.0,262.8
237.0,262.8
238.0,262.8
238.2,263.0
239.0,263.8
239.2,264.0
240.0,264.8
241.0,264.8
242.0,264.8
243.0,264.8
244.0,264.8
245.0,264.8
246.0,264.8
247.0,264.8
248.0,264.8
249.0,264.8
250.0,264.8
251.0,264.8
252.0,264.8
253.0,264.8
254.0,264.8
255.0,264.8
255.8,264.0
