x,y
462.8,223.0
462.8,222.0
462.8,221.0
462.0,220.2
461.8,220.0
461.0,219.2
460.8,219.0
460.0,218.2
459.8,218.0
460.0,217.8
460.8,217.0
460.0,216.2
459.8,216.0
459.0,215.2
458.8,215.0
458.8,214.0
458.8,213.0
458.8,212.0
458.8,211.0
459.0,210.8
460.0,210.8
461.0,210.8
462.0,210.8
462.8,210.0
462.8,209.0
463.0,208.8
464.0,208.8
464.8,208.0
464.0,207.2
463.8,207.0
464.0,206.8
464.8,206.0
464.8,205.0
464.8,204.0
464.8,203.0
464.8,202.0
464.8,201.0
464.8,200.0
464.8,199.0
464.8,198.0
464.8,197.0
464.8,196.0
464.8,195.0
464.8,194.0
464.8,193.0
464.8,192.0
464.8,191.0
464.8,190.0
464.8,189.0
464.8,188.0
464.8,187.0
464.8,186.0
464.8,185.0
464.8,184.0
464.0,183.2
463.8,183.0
463.0,182.2
462.8,182.0
462.8,181.0
462.0,180.2
461.8,180.0
461.0,179.2
460.8,179.0
460.8,178.0
460.8,177.0
460.0,176.2
459.8,176.0
459.0,175.2
458.8,175.0
458.0,174.2
457.8,174.0
457.0,173.2
456.8,173.0
456.0,172.2
455.8,172.0
455.0,171.2
454.8,171.0
454.8,170.0
454.0,169.2
453.0,169.2
452.8,169.0
452.0,168.2
451.8,168.0
451.0,167.2
450.8,167.0
450.0,166.2
449.8,166.0
449.0,165.2
448.8,165.0
448.0,164.2
447.8,164.0
447.0,163.2
446.0,163.2
445.8,163.0
445.0,162.2
444.8,162.0
444.0,161.2
443.0,161.2
442.8,161.0
442.0,160.2
441.8,160.0
441.0,159.2
440.8,159.0
440.0,158.2
439.8,158.0
439.0,157.2
438.8,157.0
438.0,156.2
437.8,156.0
437.0,155.2
436.0,155.2
435.8,155.0
435.0,154.2
434.0,154.2
433.8,154.0
433.8,153.0
433.0,152.2
432.0,152.2
431.0,152.2
430.8,152.0
430.8,151.0
430.0,150.2
429.0,150.2
428.0,150.2
427.0,150.2
426.0,150.2
425.0,150.2
424.8,150.0
424.8,149.0
424.0,148.2
423.0,148.2
422.8,148.0
422.8,147.0
422.0,146.2
421.0,146.2
420.0,146.2
419.0,146.2
418.8,146.0
418.0,145.2
417.8,145.0
417.0,144.2
416.0,144.2
415.0,144.2
414.8,144.0
414.0,143.2
413.8,143.0
413.0,142.2
412.0,142.2
411.8,142.0
411.0,141.2
410.8,141.0
410.0,140.2
409.0,140.2
408.8,140.0
408.0,139.2
407.8,139.0
407.0,138.2
406.0,138.2
405.0,138.2
404.8,138.0
404.0,137.2
403.8,137.0
403.0,136.2
402.0,136.2
401.8,136.0
401.0,135.2
400.8,135.0
400.0,134.2
399.8,134.0
399.0,133.2
398.8,133.0
398.0,132.2
397.8,132.0
397.0,131.2
396.8,131.0
396.0,130.2
395.8,130.0
395.0,129.2
394.8,129.0
394.0,128.2
393.8,128.0
393.0,127.2
392.0,127.2
391.0,127.2
390.8,127.0
390.8,126.0
390.8,125.0
390.8,124.0
390.8,123.0
390.8,122.0
390.8,121.0
390.8,120.0
390.0,119.2
389.8,119.0
389.0,118.2
388.0,118.2
387.0,118.2
386.2,119.0
386.2,120.0
386.2,121.0
386.2,122.0
386.2,123.0
386.2,124.0
386.2,125.0
386.2,126.0
387.0,126.8
388.0,126.8
388.2,127.0
388.2,128.0
388.2,129.0
388.2,130.0
388.2,131.0
388.2,132.0
388.2,133.0
388.2,134.0
388.2,135.0
388.2,136.0
388.0,136.2
387.0,136.2
386.8,136.0
386.8,135.0
386.0,134.2
385.2,135.0
385.0,135.2
384.8,135.0
384.0,134.2
383.8,134.0
383.8,133.0
383.0,132.2
382.0,132.2
381.0,132.2
380.8,132.0
380.0,131.2
379.8,131.0
379.0,130.2
378.0,130.2
377.8,130.0
377.8,129.0
377.0,128.2
376.0,128.2
375.8,128.0
375.0,127.2
374.8,127.0
374.0,126.2
373.8,126.0
373.0,125.2
372.8,125.0
372.0,124.2
371.8,124.0
371.0,123.2
370.8,123.0
370.0,122.2
369.2,123.0
369.0,123.2
368.2,124.0
368.0,124.2
367.2,125.0
367.0,125.2
366.2,126.0
366.2,127.0
367.0,127.8
367.2,128.0
367.2,129.0
368.0,129.8
368.2,130.0
368.2,131.0
369.0,131.8
370.0,131.8
370.2,132.0
371.0,132.8
371.2,133.0
372.0,133.8
372.2,134.0
373.0,134.8
374.0,134.8
374.2,135.0
375.0,135.8
375.2,136.0
375.0,136.2
374.0,136.2
373.0,136.2
372.0,136.2
371.0,136.2
370.0,136.2
369.0,136.2
368.0,136.2
367.0,136.2
366.0,136.2
365.0,136.2
364.0,136.2
363.0,136.2
362.0,136.2
361.2,137.0
361.0,137.2
360.2,138.0
360.2,139.0
360.2,140.0
361.0,140.8
362.0,140.8
363.0,140.8
364.0,140.8
365.0,140.8
365.2,141.0
366.0,141.8
366.2,142.0
367.0,142.8
368.0,142.8
369.0,142.8
370.0,142.8
370.2,143.0
371.0,143.8
372.0,143.8
372.2,144.0
373.0,144.8
374.0,144.8
375.0,144.8
376.0,144.8
376.2,145.0
377.0,145.8
378.0,145.8
378.2,146.0
379.0,146.8
380.0,146.8
381.0,146.8
381.2,147.0
381.2,148.0
382.0,148.8
383.0,148.8
384.0,148.8
385.0,148.8
385.2,149.0
385.2,150.0
386.0,150.8
387.0,150.8
387.2,151.0
388.0,151.8
388.2,152.0
389.0,152.8
389.2,153.0
390.0,153.8
390.2,154.0
390.0,154.2
389.0,154.2
388.8,154.0
388.0,153.2
387.8,153.0
387.0,152.2
386.0,152.2
385.0,152.2
384.8,152.0
384.0,151.2
383.8,151.0
383.0,150.2
382.0,150.2
381.0,150.2
380.0,150.2
379.0,150.2
378.0,150.2
377.0,150.2
376.0,150.2
375.0,150.2
374.0,150.2
373.0,150.2
372.0,150.2
371.2,151.0
371.0,151.2
370.2,152.0
370.2,153.0
371.0,153.8
371.2,154.0
372.0,154.8
373.0,154.8
374.0,154.8
375.0,154.8
