x,y
400.8,42.0
401.0,41.8
402.0,41.8
402.8,41.0
403.0,40.8
403.8,40.0
404.0,39.8
404.8,39.0
405.0,38.8
405.8,38.0
406.0,37.8
406.8,37.0
406.8,36.0
406.8,35.0
407.0,34.8
407.8,34.0
407.8,33.0
407.8,32.0
408.0,31.8
408.8,31.0
408.8,30.0
409.0,29.8
409.8,29.0
409.8,28.0
409.8,27.0
409.8,26.0
410.0,25.8
410.8,25.0
410.8,24.0
410.8,23.0
410.8,22.0
410.8,21.0
410.8,20.0
411.0,19.8
411.8,19.0
411.8,18.0
411.8,17.0
411.0,16.2
410.8,16.0
410.0,15.2
409.8,15.0
409.0,14.2
408.2,15.0
408.0,15.2
407.2,16.0
407.0,16.2
406.0,16.2
405.8,16.0
405.0,15.2
404.8,15.0
404.0,14.2
403.0,14.2
402.2,15.0
402.2,16.0
402.0,16.2
401.2,17.0
401.2,18.0
401.0,18.2
400.2,19.0
400.2,20.0
400.0,20.2
399.2,21.0
399.2,22.0
399.0,22.2
398.2,23.0
398.2,24.0
398.0,24.2
397.2,25.0
397.0,25.2
396.2,26.0
396.2,27.0
396.0,27.2
395.2,28.0
395.2,29.0
395.0,29.2
394.2,30.0
394.2,31.0
394.0,31.2
393.2,32.0
393.2,33.0
393.2,34.0
393.2,35.0
393.2,36.0
393.2,37.0
393.2,38.0
393.0,38.2
392.2,39.0
393.0,39.8
393.2,40.0
394.0,40.8
395.0,40.8
395.2,41.0
396.0,41.8
397.0,41.8
398.0,41.8
398.2,42.0
399.0,42.8
400.0,42.8
400.8,42.0
