x,y
198.8,517.0
198.8,516.0
198.8,515.0
198.8,514.0
199.0,513.8
199.8,513.0
200.0,512.8
201.0,512.8
202.0,512.8
203.0,512.8
204.0,512.8
205.0,512.8
206.0,512.8
207.0,512.8
208.0,512.8
209.0,512.8
210.0,512.8
210.8,512.0
210.8,511.0
210.0,510.2
209.8,510.0
210.0,509.8
210.8,509.0
211.0,508.8
211.8,508.0
212.0,507.8
212.2,508.0
213.0,508.8
213.8,508.0
214.0,507.8
214.2,508.0
215.0,508.8
215.8,508.0
216.0,507.8
216.8,507.0
216.0,506.2
215.8,506.0
216.0,505.8
216.8,505.0
216.8,504.0
217.0,503.8
218.0,503.8
219.0,503.8
220.0,503.8
220.8,503.0
221.0,502.8
222.0,502.8
222.2,503.0
223.0,503.8
224.0,503.8
224.8,503.0
225.0,502.8
225.8,502.0
225.8,501.0
225.0,500.2
224.8,500.0
225.0,499.8
226.0,499.8
227.0,499.8
227.8,499.0
228.0,498.8
229.0,498.8
230.0,498.8
230.8,498.0
230.0,497.2
229.8,497.0
230.0,496.8
231.0,496.8
232.0,496.8
232.2,497.0
232.0,497.2
231.2,498.0
232.0,498.8
232.2,499.0
233.0,499.8
233.8,499.0
233.0,498.2
232.8,498.0
233.0,497.8
233.8,497.0
234.0,496.8
234.8,496.0
234.0,495.2
233.8,495.0
234.0,494.8
235.0,494.8
236.0,494.8
237.0,494.8
237.8,494.0
237.0,493.2
236.8,493.0
237.0,492.8
237.8,492.0
238.0,491.8
238.8,491.0
238.8,490.0
238.0,489.2
237.8,489.0
238.0,488.8
238.8,488.0
238.8,487.0
238.8,486.0
239.0,485.8
239.2,486.0
240.0,486.8
241.0,486.8
241.8,486.0
241.8,485.0
241.8,484.0
242.0,483.8
242.8,483.0
242.8,482.0
242.8,481.0
242.0,480.2
241.8,480.0
242.0,479.8
242.8,479.0
242.8,478.0
242.8,477.0
242.8,476.0
242.8,475.0
242.0,474.2
241.8,474.0
241.8,473.0
241.0,472.2
240.8,472.0
241.0,471.8
242.0,471.8
242.8,471.0
242.8,470.0
242.0,469.2
241.8,469.0
241.0,468.2
240.0,468.2
239.2,469.0
239.0,469.2
238.0,469.2
237.0,469.2
236.8,469.0
236.0,468.2
235.0,468.2
234.0,468.2
233.8,468.0
233.0,467.2
232.8,467.0
233.0,466.8
233.8,466.0
233.0,465.2
232.2,466.0
232.0,466.2
231.8,466.0
231.8,465.0
231.8,464.0
231.0,463.2
230.2,464.0
230.0,464.2
229.0,464.2
228.0,464.2
227.2,465.0
227.0,465.2
226.0,465.2
225.8,465.0
225.0,464.2
224.0,464.2
223.0,464.2
222.0,464.2
221.2,465.0
221.0,465.2
220.8,465.0
220.0,464.2
219.2,465.0
219.0,465.2
218.8,465.0
218.0,464.2
217.2,465.0
217.2,466.0
217.2,467.0
217.0,467.2
216.0,467.2
215.2,468.0
215.0,468.2
214.0,468.2
213.2,469.0
213.0,469.2
212.8,469.0
212.0,468.2
211.2,469.0
212.0,469.8
212.2,470.0
212.0,470.2
211.2,471.0
211.2,472.0
211.2,473.0
211.0,473.2
210.8,473.0
210.0,472.2
209.2,473.0
209.2,474.0
209.0,474.2
208.8,474.0
208.0,473.2
207.2,474.0
207.2,475.0
207.2,476.0
207.0,476.2
206.2,477.0
206.0,477.2
205.2,478.0
205.0,478.2
204.8,478.0
204.0,477.2
203.0,477.2
202.0,477.2
201.2,478.0
202.0,478.8
202.2,479.0
202.0,479.2
201.2,480.0
201.0,480.2
200.0,480.2
199.2,481.0
199.2,482.0
199.0,482.2
198.2,483.0
198.0,483.2
197.2,484.0
197.0,484.2
196.8,484.0
196.0,483.2
195.2,484.0
195.2,485.0
195.0,485.2
194.2,486.0
194.0,486.2
193.0,486.2
192.0,486.2
191.2,487.0
192.0,487.8
192.2,488.0
192.0,488.2
191.0,488.2
190.8,488.0
190.0,487.2
189.2,488.0
190.0,488.8
190.2,489.0
190.0,489.2
189.2,490.0
189.2,491.0
189.2,492.0
189.0,492.2
188.0,492.2
187.8,492.0
188.0,491.8
188.8,491.0
188.0,490.2
187.2,491.0
187.0,491.2
186.8,491.0
186.0,490.2
185.2,491.0
186.0,491.8
186.2,492.0
187.0,492.8
187.2,493.0
187.2,494.0
187.0,494.2
186.8,494.0
186.0,493.2
185.2,494.0
185.2,495.0
185.2,496.0
186.0,496.8
186.2,497.0
186.0,497.2
185.2,498.0
185.2,499.0
185.0,499.2
184.2,500.0
184.2,501.0
184.0,501.2
183.0,501.2
182.2,502.0
182.0,502.2
181.8,502.0
181.0,501.2
180.2,502.0
181.0,502.8
181.2,503.0
182.0,503.8
182.8,503.0
183.0,502.8
184.0,502.8
184.2,503.0
184.2,504.0
185.0,504.8
185.2,505.0
185.2,506.0
185.2,507.0
185.2,508.0
186.0,508.8
186.2,509.0
187.0,509.8
188.0,509.8
189.0,509.8
189.2,510.0
189.0,510.2
188.0,510.2
187.2,511.0
187.2,512.0
187.0,512.2
186.0,512.2
185.2,513.0
186.0,513.8
186.2,514.0
186.2,515.0
187.0,515.8
188.0,515.8
189.0,515.8
189.2,516.0
190.0,516.8
191.0,516.8
192.0,516.8
193.0,516.8
194.0,516.8
195.0,516.8
195.2,517.0
196.0,517.8
196.8,517.0
197.0,516.8
197.2,517.0
198.0,517.8
198.8,517.0
