x,y
345.8,302.0
346.0,301.8
347.0,301.8
348.0,301.8
349.0,301.8
350.0,301.8
351.0,301.8
352.0,301.8
353.0,301.8
354.0,301.8
354.8,301.0
355.0,300.8
355.8,300.0
355.8,299.0
356.0,298.8
356.8,298.0
356.8,297.0
356.8,296.0
356.8,295.0
356.8,294.0
356.8,293.0
356.8,292.0
356.0,291.2
355.8,291.0
355.8,290.0
355.8,289.0
355.8,288.0
355.0,287.2
354.8,287.0
354.8,286.0
354.8,285.0
354.8,284.0
354.8,283.0
354.8,282.0
354.8,281.0
355.0,280.8
355.2,281.0
355.2,282.0
355.2,283.0
356.0,283.8
356.2,284.0
356.2,285.0
356.2,286.0
357.0,286.8
357.2,287.0
357.2,288.0
357.2,289.0
358.0,289.8
358.2,290.0
358.2,291.0
359.0,291.8
359.2,292.0
359.2,293.0
360.0,293.8
360.2,294.0
360.2,295.0
361.0,295.8
361.2,296.0
362.0,296.8
362.2,297.0
363.0,297.8
364.0,297.8
364.2,298.0
365.0,298.8
366.0,298.8
367.0,298.8
367.2,299.0
368.0,299.8
369.0,299.8
370.0,299.8
371.0,299.8
371.2,300.0
372.0,300.8
373.0,300.8
374.0,300.8
375.0,300.8
376.0,300.8
377.0,300.8
377.8,300.0
378.0,299.8
378.8,299.0
379.0,298.8
379.8,298.0
380.0,297.8
380.8,297.0
380.8,296.0
381.0,295.8
381.8,295.0
382.0,294.8
383.0,294.8
384.0,294.8
385.0,294.8
386.0,294.8
387.0,294.8
387.8,294.0
387.8,293.0
387.8,292.0
387.8,291.0
387.0,290.2
386.8,290.0
387.0,289.8
388.0,289.8
388.8,289.0
388.8,288.0
389.0,287.8
389.8,287.0
389.8,286.0
390.0,285.8
390.8,285.0
390.8,284.0
391.0,283.8
391.8,283.0
391.8,282.0
391.8,281.0
392.0,280.8
392.8,280.0
392.8,279.0
393.0,278.8
393.8,278.0
393.8,277.0
394.0,276.8
394.8,276.0
395.0,275.8
395.8,275.0
395.8,274.0
396.0,273.8
396.8,273.0
397.0,272.8
397.8,272.0
397.8,271.0
398.0,270.8
398.8,270.0
398.8,269.0
398.8,268.0
398.8,267.0
398.8,266.0
398.0,265.2
397.8,265.0
397.8,264.0
397.8,263.0
397.8,262.0
397.0,261.2
396.8,261.0
396.8,260.0
396.0,259.2
395.8,259.0
395.0,258.2
394.8,258.0
394.8,257.0
394.0,256.2
393.0,256.2
392.8,256.0
392.0,255.2
391.0,255.2
390.8,255.0
390.0,254.2
389.0,254.2
388.0,254.2
387.0,254.2
386.8,254.0
386.0,253.2
385.0,253.2
384.0,253.2
383.0,253.2
382.0,253.2
381.0,253.2
380.0,253.2
379.0,253.2
378.8,253.0
378.0,252.2
377.0,252.2
376.8,252.0
376.8,251.0
377.0,250.8
378.0,250.8
379.0,250.8
380.0,250.8
381.0,250.8
382.0,250.8
383.0,250.8
384.0,250.8
385.0,250.8
386.0,250.8
387.0,250.8
388.0,250.8
389.0,250.8
390.0,250.8
391.0,250.8
392.0,250.8
393.0,250.8
394.0,250.8
395.0,250.8
396.0,250.8
396.8,250.0
397.0,249.8
397.8,249.0
398.0,248.8
398.8,248.0
398.8,247.0
398.8,246.0
398.8,245.0
398.8,244.0
398.0,243.2
397.8,243.0
397.8,242.0
397.8,241.0
397.8,240.0
397.8,239.0
397.0,238.2
396.8,238.0
396.0,237.2
395.0,237.2
394.8,237.0
394.0,236.2
393.8,236.0
393.0,235.2
392.8,235.0
392.8,234.0
392.8,233.0
392.8,232.0
392.0,231.2
391.8,231.0
391.8,230.0
391.0,229.2
390.0,229.2
389.8,229.0
389.0,228.2
388.0,228.2
387.8,228.0
387.0,227.2
386.0,227.2
385.8,227.0
385.0,226.2
384.8,226.0
384.8,225.0
385.0,224.8
385.8,224.0
385.8,223.0
385.8,222.0
385.0,221.2
384.8,221.0
384.8,220.0
384.8,219.0
384.0,218.2
383.8,218.0
383.0,217.2
382.8,217.0
382.0,216.2
