x,y
85.2,0.0
85.2,1.0
85.0,1.2
84.0,1.2
83.0,1.2
82.0,1.2
81.0,1.2
80.2,2.0
80.2,3.0
80.2,4.0
80.0,4.2
79.0,4.2
78.0,4.2
77.2,5.0
77.2,6.0
77.0,6.2
76.0,6.2
75.2,7.0
76.0,7.8
76.2,8.0
76.0,8.2
75.2,9.0
75.2,10.0
75.2,11.0
75.2,12.0
75.2,13.0
75.2,14.0
75.0,14.2
74.0,14.2
73.2,15.0
73.0,15.2
72.0,15.2
71.8,15.0
71.0,14.2
70.2,15.0
71.0,15.8
71.2,16.0
71.2,17.0
71.2,18.0
71.0,18.2
70.2,19.0
71.0,19.8
71.2,20.0
72.0,20.8
72.2,21.0
72.0,21.2
71.0,21.2
70.2,22.0
71.0,22.8
71.2,23.0
71.2,24.0
71.2,25.0
71.2,26.0
71.2,27.0
71.2,28.0
71.2,29.0
71.2,30.0
71.2,31.0
71.0,31.2
70.2,32.0
71.0,32.8
71.2,33.0
71.0,33.2
70.2,34.0
70.2,35.0
71.0,35.8
71.8,35.0
72.0,34.8
72.2,35.0
73.0,35.8
73.8,35.0
74.0,34.8
75.0,34.8
76.0,34.8
76.2,35.0
77.0,35.8
78.0,35.8
79.0,35.8
80.0,35.8
81.0,35.8
82.0,35.8
83.0,35.8
84.0,35.8
85.0,35.8
86.0,35.8
87.0,35.8
87.8,35.0
88.0,34.8
89.0,34.8
90.0,34.8
91.0,34.8
92.0,34.8
93.0,34.8
94.0,34.8
95.0,34.8
96.0,34.8
96.8,34.0
97.0,33.8
98.0,33.8
99.0,33.8
100.0,33.8
100.2,34.0
101.0,34.8
102.0,34.8
102.8,34.0
102.8,33.0
103.0,32.8
104.0,32.8
104.2,33.0
104.0,33.2
103.2,34.0
104.0,34.8
104.8,34.0
105.0,33.8
105.8,33.0
106.0,32.8
107.0,32.8
107.8,32.0
107.8,31.0
108.0,30.8
109.0,30.8
110.0,30.8
111.0,30.8
112.0,30.8
113.0,30.8
114.0,30.8
115.0,30.8
115.8,30.0
116.0,29.8
117.0,29.8
118.0,29.8
119.0,29.8
120.0,29.8
120.2,30.0
120.2,31.0
121.0,31.8
121.2,32.0
121.0,32.2
120.2,33.0
121.0,33.8
121.2,34.0
122.0,34.8
122.8,34.0
123.0,33.8
124.0,33.8
124.2,34.0
125.0,34.8
125.2,35.0
126.0,35.8
126.2,36.0
126.2,37.0
126.2,38.0
126.2,39.0
126.0,39.2
125.2,40.0
126.0,40.8
127.0,40.8
128.0,40.8
128.2,41.0
128.2,42.0
128.2,43.0
128.2,44.0
128.0,44.2
127.2,45.0
127.2,46.0
127.0,46.2
126.2,47.0
126.0,47.2
125.2,48.0
126.0,48.8
126.8,48.0
127.0,47.8
127.2,48.0
127.2,49.0
127.0,49.2
126.2,50.0
126.0,50.2
125.2,51.0
126.0,51.8
126.2,52.0
126.2,53.0
126.0,53.2
125.2,54.0
126.0,54.8
126.2,55.0
126.2,56.0
126.2,57.0
126.2,58.0
126.2,59.0
126.0,59.2
125.2,60.0
125.2,61.0
125.2,62.0
125.2,63.0
125.2,64.0
126.0,64.8
126.2,65.0
127.0,65.8
127.8,65.0
128.0,64.8
128.2,65.0
129.0,65.8
129.8,65.0
130.0,64.8
130.2,65.0
131.0,65.8
132.0,65.8
132.2,66.0
133.0,66.8
134.0,66.8
135.0,66.8
136.0,66.8
137.0,66.8
138.0,66.8
138.8,66.0
139.0,65.8
140.0,65.8
141.0,65.8
142.0,65.8
142.8,65.0
143.0,64.8
144.0,64.8
144.2,65.0
145.0,65.8
145.8,65.0
146.0,64.8
147.0,64.8
148.0,64.8
149.0,64.8
150.0,64.8
150.8,64.0
151.0,63.8
152.0,63.8
153.0,63.8
154.0,63.8
154.2,64.0
155.0,64.8
155.8,64.0
156.0,63.8
156.8,63.0
157.0,62.8
157.2,63.0
158.0,63.8
158.2,64.0
159.0,64.8
160.0,64.8
160.8,64.0
161.0,63.8
161.8,63.0
161.0,62.2
160.2,63.0
160.0,63.2
159.0,63.2
158.8,63.0
159.0,62.8
159.8,62.0
159.8,61.0
160.0,60.8
160.2,61.0
161.0,61.8
161.8,61.0
161.8,60.0
162.0,59.8
162.2,60.0
163.0,60.8
163.8,60.0
163.0,59.2
162.8,59.0
163.0,58.8
163.8,58.0
164.0,57.8
164.2,58.0
165.0,58.8
165.8,58.0
165.0,57.2
164.8,57.0
164.8,56.0
165.0,55.8
165.2,56.0
166.0,56.8
166.8,56.0
166.0,55.2
165.8,55.0
166.0,54.8
166.8,54.0
166.0,53.2
165.8,53.0
166.0,52.8
166.8,52.0
166.8,51.0
167.0,50.8
168.0,50.8
168.8,50.0
169.0,49.8
170.0,49.8
171.0,49.8
172.0,49.8
172.8,49.0
172.0,48.2
171.0,48.2
170.0,48.2
169.8,48.0
170.0,47.8
171.0,47.8
171.8,47.0
172.0,46.8
172.2,47.0
173.0,47.8
173.8,47.0
174.0,46.8
174.8,46.0
174.0,45.2
173.8,45.0
174.0,44.8
174.8,44.0
175.0,43.8
176.0,43.8
176.8,43.0
176.8,42.0
176.8,41.0
177.0,40.8
178.0,40.8
178.8,40.0
178.8,39.0
179.0,38.8
179.8,38.0
179.0,37.2
178.8,37.0
178.8,36.0
178.8,35.0
178.8,34.0
178.8,33.0
178.8,32.0
178.8,31.0
178.8,30.0
179.0,29.8
179.2,30.0
180.0,30.8
181.0,30.8
181.8,30.0
181.8,29.0
181.0,28.2
180.8,28.0
181.0,27.8
181.8,27.0
181.0,26.2
180.2,27.0
180.0,27.2
179.0,27.2
178.8,27.0
179.0,26.8
179.8,26.0
180.0,25.8
180.8,25.0
180.8,24.0
180.8,23.0
181.0,22.8
181.8,22.0
181.8,21.0
181.8,20.0
182.0,19.8
183.0,19.8
183.8,19.0
183.0,18.2
182.8,18.0
182.8,17.0
182.8,16.0
182.8,15.0
182.0,14.2
181.8,14.0
181.8,13.0
181.8,12.0
181.8,11.0
181.8,10.0
181.0,9.2
180.8,9.0
180.8,8.0
180.0,7.2
179.8,7.0
179.8,6.0
179.8,5.0
180.0,4.8
181.0,4.8
181.8,4.0
181.8,3.0
181.0,2.2
180.2,3.0
180.0,3.2
179.8,3.0
179.8,2.0
180.0,1.8
180.8,1.0
180.8,0.0
