x,y
394.8,545.0
394.0,544.2
393.0,544.2
392.8,544.0
392.0,543.2
391.8,543.0
392.0,542.8
393.0,542.8
393.8,542.0
394.0,541.8
394.8,541.0
395.0,540.8
396.0,540.8
396.8,540.0
397.0,539.8
397.8,539.0
397.0,538.2
396.8,538.0
397.0,537.8
397.8,537.0
398.0,536.8
398.8,536.0
398.0,535.2
397.2,536.0
397.0,536.2
396.8,536.0
396.8,535.0
396.8,534.0
396.8,533.0
396.8,532.0
396.8,531.0
397.0,530.8
397.2,531.0
397.2,532.0
398.0,532.8
398.8,532.0
398.8,531.0
398.8,530.0
398.8,529.0
398.0,528.2
397.8,528.0
397.8,527.0
398.0,526.8
398.8,526.0
398.8,525.0
398.8,524.0
399.0,523.8
399.8,523.0
399.8,522.0
399.8,521.0
399.8,520.0
399.8,519.0
400.0,518.8
400.8,518.0
400.8,517.0
400.8,516.0
401.0,515.8
402.0,515.8
402.8,515.0
402.0,514.2
401.8,514.0
401.0,513.2
400.8,513.0
400.8,512.0
400.8,511.0
401.0,510.8
402.0,510.8
402.2,511.0
403.0,511.8
403.2,512.0
403.0,512.2
402.2,513.0
403.0,513.8
403.8,513.0
404.0,512.8
404.2,513.0
404.2,514.0
404.2,515.0
404.2,516.0
405.0,516.8
405.2,517.0
405.2,518.0
405.2,519.0
405.2,520.0
406.0,520.8
407.0,520.8
407.2,521.0
407.2,522.0
408.0,522.8
408.2,523.0
409.0,523.8
409.2,524.0
409.2,525.0
410.0,525.8
411.0,525.8
412.0,525.8
413.0,525.8
414.0,525.8
415.0,525.8
416.0,525.8
417.0,525.8
418.0,525.8
419.0,525.8
420.0,525.8
421.0,525.8
421.8,525.0
421.0,524.2
420.8,524.0
421.0,523.8
422.0,523.8
422.8,523.0
423.0,522.8
423.2,523.0
424.0,523.8
424.8,523.0
424.0,522.2
423.8,522.0
423.8,521.0
423.8,520.0
423.8,519.0
423.8,518.0
423.8,517.0
423.8,516.0
424.0,515.8
424.8,515.0
424.0,514.2
423.8,514.0
423.8,513.0
423.0,512.2
422.8,512.0
422.8,511.0
422.8,510.0
422.0,509.2
421.8,509.0
421.8,508.0
421.8,507.0
421.8,506.0
422.0,505.8
422.8,505.0
422.8,504.0
422.8,503.0
422.8,502.0
423.0,501.8
423.2,502.0
424.0,502.8
424.8,502.0
424.0,501.2
423.8,501.0
423.0,500.2
422.8,500.0
422.8,499.0
422.8,498.0
422.8,497.0
422.8,496.0
423.0,495.8
423.8,495.0
423.8,494.0
423.0,493.2
422.8,493.0
422.8,492.0
422.8,491.0
422.8,490.0
422.8,489.0
422.8,488.0
422.8,487.0
423.0,486.8
423.8,486.0
423.8,485.0
424.0,484.8
424.8,484.0
424.0,483.2
423.8,483.0
424.0,482.8
424.8,482.0
424.8,481.0
425.0,480.8
426.0,480.8
427.0,480.8
427.8,480.0
427.8,479.0
427.8,478.0
427.0,477.2
426.8,477.0
426.8,476.0
427.0,475.8
428.0,475.8
429.0,475.8
429.8,475.0
429.0,474.2
428.0,474.2
427.8,474.0
428.0,473.8
429.0,473.8
429.8,473.0
429.0,472.2
428.0,472.2
427.8,472.0
428.0,471.8
428.8,471.0
428.8,470.0
429.0,469.8
429.8,469.0
429.8,468.0
429.8,467.0
430.0,466.8
430.8,466.0
431.0,465.8
431.8,465.0
431.8,464.0
431.0,463.2
430.8,463.0
430.8,462.0
430.8,461.0
431.0,460.8
431.2,461.0
431.2,462.0
432.0,462.8
432.8,462.0
432.8,461.0
432.8,460.0
432.0,459.2
431.8,459.0
432.0,458.8
433.0,458.8
433.8,458.0
434.0,457.8
434.8,457.0
434.8,456.0
434.0,455.2
433.2,456.0
433.0,456.2
432.8,456.0
432.8,455.0
433.0,454.8
433.8,454.0
433.8,453.0
434.0,452.8
434.8,452.0
434.8,451.0
434.8,450.0
435.0,449.8
435.8,449.0
435.8,448.0
435.8,447.0
436.0,446.8
436.8,446.0
437.0,445.8
437.2,446.0
437.2,447.0
437.0,447.2
436.2,448.0
437.0,448.8
437.8,448.0
438.0,447.8
438.2,448.0
439.0,448.8
439.8,448.0
439.0,447.2
438.8,447.0
438.8,446.0
438.0,445.2
437.8,445.0
437.8,444.0
437.8,443.0
438.0,442.8
438.2,443.0
439.0,443.8
439.8,443.0
439.0,442.2
438.8,442.0
439.0,441.8
439.8,441.0
439.8,440.0
439.8,439.0
439.8,438.0
439.8,437.0
439.8,436.0
439.8,435.0
439.8,434.0
439.8,433.0
439.8,432.0
439.8,431.0
439.0,430.2
438.8,430.0
438.0,429.2
437.8,429.0
437.8,428.0
437.8,427.0
438.0,426.8
439.0,426.8
439.8,426.0
439.8,425.0
439.0,424.2
438.0,424.2
437.0,424.2
436.0,424.2
435.0,424.2
434.0,424.2
433.8,424.0
433.0,423.2
432.2,424.0
432.0,424.2
431.0,424.2
430.8,424.0
430.0,423.2
429.8,423.0
429.0,422.2
428.0,422.2
427.8,422.0
428.0,421.8
428.8,421.0
428.0,420.2
427.8,420.0
427.0,419.2
426.2,420.0
426.0,420.2
425.2,421.0
426.0,421.8
426.2,422.0
426.0,422.2
425.2,423.0
425.0,423.2
424.2,424.0
424.2,425.0
424.0,425.2
423.2,426.0
423.0,426.2
422.8,426.0
422.0,425.2
421.2,426.0
421.0,426.2
420.2,427.0
420.2,428.0
421.0,428.8
421.2,429.0
421.0,429.2
420.0,429.2
419.2,430.0
419.2,431.0
419.2,432.0
419.0,432.2
418.8,432.0
418.0,431.2
417.2,432.0
417.0,432.2
416.0,432.2
415.2,433.0
416.0,433.8
416.2,434.0
416.0,434.2
415.0,434.2
414.2,435.0
415.0,435.8
415.2,436.0
415.0,436.2
414.2,437.0
414.2,438.0
414.2,439.0
414.2,440.0
414.0,440.2
413.0,440.2
412.2,441.0
413.0,441.8
413.2,442.0
413.0,442.2
412.2,443.0
412.0,443.2
411.2,444.0
411.2,445.0
411.2,446.0
411.0,446.2
410.0,446.2
409.2,447.0
410.0,447.8
410.2,448.0
410.0,448.2
409.0,448.2
408.2,449.0
408.0,449.2
407.2,450.0
407.2,451.0
407.0,451.2
406.8,451.0
406.8,450.0
406.0,449.2
405.2,450.0
405.0,450.2
404.2,451.0
404.2,452.0
405.0,452.8
405.2,453.0
405.0,453.2
404.2,454.0
404.0,454.2
403.0,454.2
402.2,455.0
402.0,455.2
401.2,456.0
401.0,456.2
400.8,456.0
400.0,455.2
399.0,455.2
398.0,455.2
397.8,455.0
397.0,454.2
396.2,455.0
397.0,455.8
397.2,456.0
397.0,456.2
396.2,457.0
396.0,457.2
395.0,457.2
394.2,458.0
395.0,458.8
395.2,459.0
395.0,459.2
394.2,460.0
394.0,460.2
393.0,460.2
392.8,460.0
392.0,459.2
391.2,460.0
391.0,460.2
390.0,460.2
389.0,460.2
388.2,461.0
388.0,461.2
387.2,462.0
387.2,463.0
387.0,463.2
386.8,463.0
386.0,462.2
385.0,462.2
384.0,462.2
383.2,463.0
384.0,463.8
385.0,463.8
386.0,463.8
386.2,464.0
386.0,464.2
385.0,464.2
384.2,465.0
384.0,465.2
383.0,465.2
382.0,465.2
381.0,465.2
380.2,466.0
380.0,466.2
379.0,466.2
378.8,466.0
378.0,465.2
377.0,465.2
376.8,465.0
376.0,464.2
375.2,465.0
375.0,465.2
374.0,465.2
373.0,465.2
372.8,465.0
372.8,464.0
372.0,463.2
371.2,464.0
371.0,464.2
370.8,464.0
370.0,463.2
369.0,463.2
368.0,463.2
367.8,463.0
367.0,462.2
366.2,463.0
366.0,463.2
365.0,463.2
364.8,463.0
364.0,462.2
363.2,463.0
364.0,463.8
364.2,464.0
364.0,464.2
363.0,464.2
362.2,465.0
362.0,465.2
361.0,465.2
360.0,465.2
359.2,466.0
360.0,466.8
360.2,467.0
360.2,468.0
360.2,469.0
360.2,470.0
360.2,471.0
360.0,471.2
359.2,472.0
359.0,472.2
358.2,473.0
359.0,473.8
359.8,473.0
360.0,472.8
360.2,473.0
360.2,474.0
361.0,474.8
361.8,474.0
361.8,473.0
362.0,472.8
362.2,473.0
363.0,473.8
363.2,474.0
363.2,475.0
364.0,475.8
364.2,476.0
364.2,477.0
365.0,477.8
365.2,478.0
365.2,479.0
365.0,479.2
364.8,479.0
364.0,478.2
363.2,479.0
364.0,479.8
364.2,480.0
365.0,480.8
365.2,481.0
365.0,481.2
364.0,481.2
363.2,482.0
364.0,482.8
365.0,482.8
365.2,483.0
365.0,483.2
364.0,483.2
363.0,483.2
362.0,483.2
361.2,484.0
361.0,484.2
360.0,484.2
359.0,484.2
358.0,484.2
357.0,484.2
356.2,485.0
356.0,485.2
355.0,485.2
354.0,485.2
353.0,485.2
352.2,486.0
352.0,486.2
351.0,486.2
350.2,487.0
350.0,487.2
349.8,487.0
349.0,486.2
348.2,487.0
349.0,487.8
349.2,488.0
349.0,488.2
348.2,489.0
348.0,489.2
