x,y
679.8,196.0
680.0,195.8
680.8,195.0
680.8,194.0
681.0,193.8
681.8,193.0
682.0,192.8
682.8,192.0
682.8,191.0
682.8,190.0
683.0,189.8
683.8,189.0
684.0,188.8
684.8,188.0
685.0,187.8
685.8,187.0
686.0,186.8
686.8,186.0
686.8,185.0
687.0,184.8
687.8,184.0
687.8,183.0
688.0,182.8
688.8,182.0
688.8,181.0
688.8,180.0
689.0,179.8
689.8,179.0
690.0,178.8
690.8,178.0
690.8,177.0
691.0,176.8
691.8,176.0
692.0,175.8
692.8,175.0
693.0,174.8
694.0,174.8
695.0,174.8
695.2,175.0
696.0,175.8
696.2,176.0
697.0,176.8
697.2,177.0
698.0,177.8
699.0,177.8
700.0,177.8
701.0,177.8
702.0,177.8
702.8,177.0
703.0,176.8
704.0,176.8
704.8,176.0
705.0,175.8
705.8,175.0
706.0,174.8
706.8,174.0
707.0,173.8
707.8,173.0
708.0,172.8
708.8,172.0
709.0,171.8
709.8,171.0
709.8,170.0
710.0,169.8
710.8,169.0
711.0,168.8
711.8,168.0
712.0,167.8
712.8,167.0
712.8,166.0
713.0,165.8
714.0,165.8
715.0,165.8
716.0,165.8
716.8,165.0
717.0,164.8
718.0,164.8
718.8,164.0
719.0,163.8
720.0,163.8
720.8,163.0
721.0,162.8
722.0,162.8
722.8,162.0
723.0,161.8
724.0,161.8
725.0,161.8
726.0,161.8
726.8,161.0
727.0,160.8
728.0,160.8
728.8,160.0
729.0,159.8
730.0,159.8
730.8,159.0
731.0,158.8
732.0,158.8
732.8,158.0
733.0,157.8
733.8,157.0
734.0,156.8
734.8,156.0
735.0,155.8
735.8,155.0
735.8,154.0
735.8,153.0
736.0,152.8
736.8,152.0
736.8,151.0
736.8,150.0
737.0,149.8
737.8,149.0
738.0,148.8
738.8,148.0
738.8,147.0
739.0,146.8
739.8,146.0
739.8,145.0
740.0,144.8
740.8,144.0
741.0,143.8
741.8,143.0
742.0,142.8
742.8,142.0
742.8,141.0
743.0,140.8
743.8,140.0
744.0,139.8
744.8,139.0
745.0,138.8
745.8,138.0
745.8,137.0
746.0,136.8
746.8,136.0
747.0,135.8
747.8,135.0
748.0,134.8
748.8,134.0
749.0,133.8
749.8,133.0
750.0,132.8
750.8,132.0
751.0,131.8
751.8,131.0
751.8,130.0
752.0,129.8
753.0,129.8
753.8,129.0
754.0,128.8
754.8,128.0
755.0,127.8
755.8,127.0
756.0,126.8
756.8,126.0
756.8,125.0
757.0,124.8
757.8,124.0
758.0,123.8
758.8,123.0
758.8,122.0
759.0,121.8
759.8,121.0
759.8,120.0
760.0,119.8
760.8,119.0
761.0,118.8
761.8,118.0
761.8,117.0
762.0,116.8
762.8,116.0
763.0,115.8
763.8,115.0
763.8,114.0
764.0,113.8
764.8,113.0
765.0,112.8
766.0,112.8
766.8,112.0
766.8,111.0
767.0,110.8
768.0,110.8
768.8,110.0
769.0,109.8
770.0,109.8
770.8,109.0
770.8,108.0
770.8,107.0
770.8,106.0
770.8,105.0
770.8,104.0
770.8,103.0
770.8,102.0
770.8,101.0
770.8,100.0
770.8,99.0
770.8,98.0
770.8,97.0
770.8,96.0
770.8,95.0
770.8,94.0
770.8,93.0
770.8,92.0
770.8,91.0
770.8,90.0
770.8,89.0
770.8,88.0
770.8,87.0
770.8,86.0
770.8,85.0
770.8,84.0
770.8,83.0
770.8,82.0
770.8,81.0
770.8,80.0
770.8,79.0
770.8,78.0
770.8,77.0
770.8,76.0
770.8,75.0
770.8,74.0
770.8,73.0
770.8,72.0
770.0,71.2
769.8,71.0
769.0,70.2
768.2,71.0
768.0,71.2
767.0,71.2
766.0,71.2
765.2,72.0
765.0,72.2
764.0,72.2
763.2,73.0
763.0,73.2
762.0,73.2
761.0,73.2
760.0,73.2
759.0,73.2
758.2,74.0
758.0,74.2
757.0,74.2
756.2,75.0
756.0,75.2
755.0,75.2
754.2,76.0
754.0,76.2
753.0,76.2
752.2,77.0
752.0,77.2
751.0,77.2
750.0,77.2
749.2,78.0
749.0,78.2
748.2,79.0
748.0,79.2
747.0,79.2
746.0,79.2
745.2,80.0
745.0,80.2
744.0,80.2
743.2,81.0
743.0,81.2
742.0,81.2
741.2,82.0
741.0,82.2
740.0,82.2
739.2,83.0
739.0,83.2
738.0,83.2
737.2,84.0
737.0,84.2
736.0,84.2
735.2,85.0
735.0,85.2
734.0,85.2
733.2,86.0
733.0,86.2
732.2,87.0
732.0,87.2
731.0,87.2
730.2,88.0
730.0,88.2
729.2,89.0
729.0,89.2
728.0,89.2
727.2,90.0
727.0,90.2
726.0,90.2
725.2,91.0
725.0,91.2
724.0,91.2
723.2,92.0
723.0,92.2
722.2,93.0
722.0,93.2
721.0,93.2
720.2,94.0
720.0,94.2
719.2,95.0
719.0,95.2
718.0,95.2
717.2,96.0
717.0,96.2
716.2,97.0
716.0,97.2
715.0,97.2
714.2,98.0
714.0,98.2
713.0,98.2
712.2,99.0
712.0,99.2
711.2,100.0
711.0,100.2
710.2,101.0
710.0,101.2
709.0,101.2
708.2,102.0
708.0,102.2
707.0,102.2
706.2,103.0
706.2,104.0
706.0,104.2
705.2,105.0
705.0,105.2
704.2,106.0
704.0,106.2
703.2,107.0
703.0,107.2
702.0,107.2
701.2,108.0
701.2,109.0
701.2,110.0
702.0,110.8
702.2,111.0
702.2,112.0
702.2,113.0
702.0,113.2
701.2,114.0
701.2,115.0
701.0,115.2
700.0,115.2
699.2,116.0
699.0,116.2
698.2,117.0
698.2,118.0
698.0,118.2
697.0,118.2
696.2,119.0
696.0,119.2
695.2,120.0
695.0,120.2
694.2,121.0
694.0,121.2
693.2,122.0
693.0,122.2
692.2,123.0
692.0,123.2
691.0,123.2
690.2,124.0
690.0,124.2
689.2,125.0
689.0,125.2
688.2,126.0
688.0,126.2
687.2,127.0
