x,y
259.8,78.0
260.0,77.8
261.0,77.8
262.0,77.8
263.0,77.8
263.8,77.0
264.0,76.8
265.0,76.8
265.8,76.0
266.0,75.8
267.0,75.8
267.8,75.0
268.0,74.8
268.8,74.0
269.0,73.8
270.0,73.8
271.0,73.8
271.8,73.0
272.0,72.8
272.8,72.0
273.0,71.8
274.0,71.8
274.8,71.0
275.0,70.8
275.8,70.0
276.0,69.8
276.8,69.0
277.0,68.8
278.0,68.8
278.8,68.0
278.8,67.0
278.8,66.0
278.8,65.0
278.8,64.0
278.8,63.0
278.8,62.0
278.8,61.0
278.0,60.2
277.0,60.2
276.8,60.0
276.0,59.2
275.8,59.0
275.0,58.2
274.8,58.0
274.0,57.2
273.0,57.2
272.8,57.0
272.0,56.2
271.8,56.0
271.0,55.2
270.0,55.2
269.0,55.2
268.0,55.2
267.8,55.0
267.0,54.2
266.0,54.2
265.8,54.0
265.0,53.2
264.0,53.2
263.0,53.2
262.8,53.0
262.0,52.2
261.0,52.2
260.0,52.2
259.0,52.2
258.0,52.2
257.0,52.2
256.0,52.2
255.8,52.0
255.0,51.2
254.0,51.2
253.0,51.2
252.0,51.2
251.0,51.2
250.0,51.2
249.2,52.0
249.0,52.2
248.2,53.0
248.0,53.2
247.2,54.0
247.0,54.2
246.2,55.0
246.0,55.2
245.0,55.2
244.0,55.2
243.0,55.2
242.2,56.0
242.0,56.2
241.0,56.2
240.0,56.2
239.2,57.0
239.0,57.2
238.2,58.0
238.2,59.0
238.2,60.0
238.2,61.0
238.2,62.0
238.0,62.2
237.0,62.2
236.0,62.2
235.0,62.2
234.0,62.2
233.0,62.2
232.0,62.2
231.0,62.2
230.0,62.2
229.8,62.0
229.0,61.2
228.0,61.2
227.8,61.0
227.0,60.2
226.8,60.0
226.0,59.2
225.0,59.2
224.2,60.0
224.0,60.2
223.2,61.0
223.2,62.0
223.2,63.0
224.0,63.8
224.2,64.0
225.0,64.8
225.2,65.0
225.2,66.0
226.0,66.8
226.2,67.0
227.0,67.8
227.2,68.0
228.0,68.8
229.0,68.8
229.2,69.0
230.0,69.8
231.0,69.8
231.2,70.0
232.0,70.8
232.2,71.0
233.0,71.8
234.0,71.8
234.2,72.0
235.0,72.8
236.0,72.8
236.2,73.0
237.0,73.8
237.2,74.0
238.0,74.8
238.2,75.0
239.0,75.8
240.0,75.8
240.2,76.0
241.0,76.8
242.0,76.8
243.0,76.8
244.0,76.8
245.0,76.8
246.0,76.8
247.0,76.8
248.0,76.8
248.2,77.0
249.0,77.8
250.0,77.8
250.2,78.0
251.0,78.8
252.0,78.8
253.0,78.8
254.0,78.8
255.0,78.8
256.0,78.8
257.0,78.8
258.0,78.8
259.0,78.8
259.8,78.0
