x,y
517.8,327.0
517.8,326.0
517.8,325.0
517.8,324.0
517.8,323.0
517.8,322.0
517.8,321.0
518.0,320.8
519.0,320.8
520.0,320.8
521.0,320.8
522.0,320.8
522.8,320.0
523.0,319.8
524.0,319.8
524.8,319.0
525.0,318.8
526.0,318.8
526.8,318.0
526.8,317.0
527.0,316.8
527.8,316.0
528.0,315.8
528.8,315.0
529.0,314.8
529.8,314.0
530.0,313.8
530.8,313.0
530.8,312.0
531.0,311.8
531.8,311.0
532.0,310.8
532.8,310.0
532.8,309.0
533.0,308.8
533.8,308.0
533.8,307.0
534.0,306.8
534.8,306.0
534.8,305.0
535.0,304.8
535.8,304.0
536.0,303.8
536.8,303.0
536.8,302.0
536.8,301.0
536.8,300.0
536.8,299.0
536.8,298.0
536.8,297.0
536.8,296.0
536.8,295.0
536.8,294.0
536.8,293.0
536.8,292.0
536.8,291.0
536.8,290.0
536.8,289.0
536.8,288.0
536.8,287.0
536.8,286.0
536.8,285.0
536.8,284.0
536.8,283.0
536.8,282.0
536.8,281.0
536.8,280.0
536.0,279.2
535.8,279.0
535.0,278.2
534.8,278.0
534.8,277.0
534.8,276.0
534.0,275.2
533.8,275.0
533.8,274.0
533.8,273.0
533.0,272.2
532.8,272.0
532.0,271.2
531.8,271.0
531.0,270.2
530.8,270.0
530.0,269.2
529.8,269.0
529.0,268.2
528.8,268.0
528.0,267.2
527.8,267.0
527.0,266.2
526.8,266.0
526.0,265.2
525.0,265.2
524.8,265.0
524.0,264.2
523.8,264.0
523.0,263.2
522.0,263.2
521.0,263.2
520.8,263.0
520.0,262.2
519.8,262.0
519.0,261.2
518.8,261.0
518.0,260.2
517.0,260.2
516.8,260.0
516.0,259.2
515.0,259.2
514.0,259.2
513.0,259.2
512.8,259.0
512.0,258.2
511.8,258.0
511.0,257.2
510.0,257.2
509.0,257.2
508.8,257.0
508.0,256.2
507.8,256.0
507.0,255.2
506.8,255.0
506.0,254.2
505.0,254.2
504.0,254.2
503.0,254.2
502.0,254.2
501.0,254.2
500.8,254.0
500.0,253.2
499.0,253.2
498.8,253.0
498.8,252.0
498.0,251.2
497.8,251.0
497.0,250.2
496.0,250.2
495.0,250.2
494.8,250.0
494.0,249.2
493.8,249.0
493.0,248.2
492.8,248.0
492.0,247.2
491.8,247.0
491.0,246.2
490.8,246.0
490.0,245.2
489.8,245.0
489.0,244.2
488.8,244.0
488.0,243.2
487.8,243.0
487.0,242.2
486.8,242.0
486.0,241.2
485.8,241.0
485.0,240.2
484.8,240.0
484.8,239.0
484.8,238.0
484.8,237.0
484.8,236.0
484.0,235.2
483.8,235.0
483.0,234.2
482.2,235.0
482.0,235.2
481.0,235.2
480.0,235.2
479.0,235.2
478.0,235.2
477.0,235.2
476.2,236.0
476.0,236.2
475.2,237.0
475.2,238.0
475.0,238.2
474.2,239.0
474.2,240.0
474.2,241.0
474.2,242.0
474.2,243.0
474.2,244.0
474.2,245.0
474.0,245.2
473.8,245.0
473.0,244.2
472.8,244.0
472.0,243.2
471.8,243.0
471.0,242.2
470.8,242.0
470.8,241.0
470.8,240.0
470.0,239.2
469.0,239.2
468.0,239.2
467.2,240.0
467.0,240.2
466.2,241.0
466.0,241.2
465.2,242.0
465.2,243.0
465.0,243.2
464.2,244.0
464.0,244.2
463.2,245.0
463.2,246.0
463.2,247.0
463.2,248.0
463.2,249.0
463.2,250.0
463.2,251.0
463.2,252.0
464.0,252.8
465.0,252.8
465.2,253.0
465.0,253.2
464.0,253.2
463.0,253.2
462.0,253.2
461.0,253.2
460.0,253.2
459.0,253.2
458.0,253.2
457.0,253.2
456.2,254.0
456.0,254.2
455.2,255.0
455.0,255.2
454.2,256.0
454.2,257.0
454.0,257.2
453.2,258.0
453.2,259.0
453.2,260.0
454.0,260.8
454.2,261.0
455.0,261.8
456.0,261.8
457.0,261.8
458.0,261.8
459.0,261.8
460.0,261.8
461.0,261.8
462.0,261.8
462.2,262.0
463.0,262.8
463.2,263.0
463.0,263.2
462.2,264.0
462.0,264.2
461.0,264.2
460.2,265.0
460.0,265.2
459.0,265.2
458.2,266.0
458.0,266.2
457.0,266.2
456.0,266.2
455.0,266.2
454.2,267.0
454.2,268.0
454.0,268.2
453.2,269.0
453.2,270.0
453.2,271.0
453.0,271.2
452.2,272.0
452.0,272.2
451.2,273.0
451.2,274.0
451.2,275.0
452.0,275.8
453.0,275.8
454.0,275.8
455.0,275.8
456.0,275.8
457.0,275.8
458.0,275.8
459.0,275.8
460.0,275.8
460.2,276.0
461.0,276.8
461.2,277.0
462.0,277.8
462.2,278.0
463.0,278.8
463.2,279.0
464.0,279.8
464.2,280.0
465.0,280.8
465.2,281.0
466.0,281.8
466.2,282.0
467.0,282.8
467.2,283.0
468.0,283.8
468.2,284.0
469.0,284.8
469.2,285.0
470.0,285.8
470.2,286.0
470.2,287.0
470.2,288.0
470.2,289.0
471.0,289.8
471.2,290.0
471.2,291.0
472.0,291.8
472.2,292.0
473.0,292.8
473.2,293.0
473.2,294.0
473.2,295.0
474.0,295.8
474.2,296.0
474.2,297.0
475.0,297.8
475.2,298.0
475.2,299.0
476.0,299.8
476.2,300.0
477.0,300.8
477.2,301.0
477.2,302.0
477.2,303.0
478.0,303.8
478.2,304.0
478.2,305.0
479.0,305.8
479.2,306.0
479.2,307.0
480.0,307.8
480.2,308.0
481.0,308.8
481.2,309.0
482.0,309.8
482.2,310.0
482.2,311.0
483.0,311.8
483.2,312.0
484.0,312.8
484.2,313.0
484.2,314.0
485.0,314.8
486.0,314.8
486.2,315.0
486.2,316.0
487.0,316.8
487.2,317.0
488.0,317.8
489.0,317.8
489.2,318.0
489.2,319.0
489.2,320.0
490.0,320.8
491.0,320.8
491.2,321.0
492.0,321.8
493.0,321.8
494.0,321.8
494.2,322.0
495.0,322.8
495.2,323.0
496.0,323.8
497.0,323.8
498.0,323.8
499.0,323.8
500.0,323.8
501.0,323.8
502.0,323.8
503.0,323.8
504.0,323.8
505.0,323.8
506.0,323.8
507.0,323.8
508.0,323.8
509.0,323.8
510.0,323.8
511.0,323.8
512.0,323.8
513.0,323.8
513.8,323.0
514.0,322.8
514.8,322.0
515.0,321.8
515.2,322.0
515.2,323.0
515.2,324.0
515.2,325.0
515.2,326.0
515.2,327.0
516.0,327.8
517.0,327.8
517.8,327.0
