x,y
678.8,426.0
679.0,425.8
680.0,425.8
680.8,425.0
681.0,424.8
681.8,424.0
682.0,423.8
682.8,423.0
683.0,422.8
683.8,422.0
683.8,421.0
684.0,420.8
684.8,420.0
684.8,419.0
685.0,418.8
685.8,418.0
685.8,417.0
685.8,416.0
685.8,415.0
685.8,414.0
686.0,413.8
686.8,413.0
686.8,412.0
686.8,411.0
686.8,410.0
686.8,409.0
686.8,408.0
686.8,407.0
686.8,406.0
686.8,405.0
687.0,404.8
688.0,404.8
689.0,404.8
690.0,404.8
690.8,404.0
691.0,403.8
691.8,403.0
692.0,402.8
692.8,402.0
692.8,401.0
692.8,400.0
692.8,399.0
693.0,398.8
693.8,398.0
693.8,397.0
693.8,396.0
693.8,395.0
693.8,394.0
693.8,393.0
693.8,392.0
693.8,391.0
693.8,390.0
693.8,389.0
693.8,388.0
693.8,387.0
693.8,386.0
693.8,385.0
693.8,384.0
693.8,383.0
694.0,382.8
695.0,382.8
696.0,382.8
696.8,382.0
697.0,381.8
697.8,381.0
697.8,380.0
697.8,379.0
697.8,378.0
697.8,377.0
697.8,376.0
697.8,375.0
697.8,374.0
697.8,373.0
697.8,372.0
697.8,371.0
697.0,370.2
696.8,370.0
696.8,369.0
696.0,368.2
695.8,368.0
695.8,367.0
695.0,366.2
694.8,366.0
694.0,365.2
693.8,365.0
693.0,364.2
692.8,364.0
692.8,363.0
692.8,362.0
692.8,361.0
692.8,360.0
692.8,359.0
692.8,358.0
692.8,357.0
692.0,356.2
691.0,356.2
690.0,356.2
689.8,356.0
689.0,355.2
688.8,355.0
688.8,354.0
688.8,353.0
688.8,352.0
688.8,351.0
688.8,350.0
688.8,349.0
688.8,348.0
688.0,347.2
687.8,347.0
687.8,346.0
687.0,345.2
686.8,345.0
686.0,344.2
685.8,344.0
685.0,343.2
684.0,343.2
683.0,343.2
682.0,343.2
681.0,343.2
680.0,343.2
679.0,343.2
678.0,343.2
677.2,344.0
677.0,344.2
676.8,344.0
676.8,343.0
676.8,342.0
676.8,341.0
676.8,340.0
676.0,339.2
675.0,339.2
674.0,339.2
673.0,339.2
672.8,339.0
672.0,338.2
671.0,338.2
670.0,338.2
669.0,338.2
668.0,338.2
667.0,338.2
666.0,338.2
665.0,338.2
664.0,338.2
663.0,338.2
662.2,339.0
662.2,340.0
662.2,341.0
662.2,342.0
662.2,343.0
662.2,344.0
662.0,344.2
661.0,344.2
660.0,344.2
659.0,344.2
658.0,344.2
657.0,344.2
656.2,345.0
656.0,345.2
655.2,346.0
655.2,347.0
655.0,347.2
654.2,348.0
654.2,349.0
654.2,350.0
654.0,350.2
653.2,351.0
653.2,352.0
653.0,352.2
652.2,353.0
652.0,353.2
651.0,353.2
650.2,354.0
650.0,354.2
649.2,355.0
649.0,355.2
648.2,356.0
648.0,356.2
647.2,357.0
647.0,357.2
646.2,358.0
646.0,358.2
645.2,359.0
645.0,359.2
644.2,360.0
644.2,361.0
644.0,361.2
643.2,362.0
643.2,363.0
643.2,364.0
643.2,365.0
643.2,366.0
644.0,366.8
644.2,367.0
645.0,367.8
645.2,368.0
645.2,369.0
645.0,369.2
644.2,370.0
644.2,371.0
644.0,371.2
643.2,372.0
643.2,373.0
643.2,374.0
643.2,375.0
643.2,376.0
644.0,376.8
644.2,377.0
644.2,378.0
645.0,378.8
645.2,379.0
645.2,380.0
645.2,381.0
645.2,382.0
645.2,383.0
645.2,384.0
645.0,384.2
644.2,385.0
644.2,386.0
645.0,386.8
645.2,387.0
645.2,388.0
645.2,389.0
646.0,389.8
646.2,390.0
646.2,391.0
646.2,392.0
647.0,392.8
647.2,393.0
648.0,393.8
648.2,394.0
649.0,394.8
649.2,395.0
650.0,395.8
650.2,396.0
651.0,396.8
651.2,397.0
651.2,398.0
651.0,398.2
650.2,399.0
650.2,400.0
650.0,400.2
649.2,401.0
649.2,402.0
649.0,402.2
648.2,403.0
648.2,404.0
648.2,405.0
648.2,406.0
648.2,407.0
648.2,408.0
648.2,409.0
648.2,410.0
648.2,411.0
648.2,412.0
649.0,412.8
649.2,413.0
649.2,414.0
649.2,415.0
650.0,415.8
650.2,416.0
650.2,417.0
651.0,417.8
651.2,418.0
652.0,418.8
652.2,419.0
653.0,419.8
653.2,420.0
654.0,420.8
654.2,421.0
655.0,421.8
656.0,421.8
656.2,422.0
657.0,422.8
658.0,422.8
659.0,422.8
660.0,422.8
661.0,422.8
661.2,423.0
662.0,423.8
663.0,423.8
663.2,424.0
664.0,424.8
664.8,424.0
665.0,423.8
665.2,424.0
666.0,424.8
667.0,424.8
668.0,424.8
669.0,424.8
669.2,425.0
670.0,425.8
671.0,425.8
671.2,426.0
672.0,426.8
673.0,426.8
674.0,426.8
675.0,426.8
676.0,426.8
677.0,426.8
678.0,426.8
678.8,426.0
