x,y
0.0,76.8
1.0,76.8
1.2,77.0
1.0,77.2
0.19999999999999996,78.0
1.0,78.8
1.8,78.0
2.0,77.8
3.0,77.8
3.2,78.0
4.0,78.8
4.2,79.0
5.0,79.8
6.0,79.8
6.2,80.0
7.0,80.8
8.0,80.8
8.2,81.0
9.0,81.8
9.2,82.0
10.0,82.8
11.0,82.8
12.0,82.8
12.2,83.0
12.0,83.2
11.2,84.0
12.0,84.8
12.8,84.0
13.0,83.8
13.2,84.0
14.0,84.8
14.8,84.0
15.0,83.8
16.0,83.8
16.2,84.0
16.0,84.2
15.2,85.0
16.0,85.8
16.8,85.0
17.0,84.8
17.2,85.0
18.0,85.8
18.2,86.0
19.0,86.8
19.2,87.0
19.0,87.2
18.2,88.0
19.0,88.8
19.8,88.0
20.0,87.8
20.2,88.0
21.0,88.8
21.2,89.0
22.0,89.8
22.2,90.0
23.0,90.8
24.0,90.8
24.2,91.0
25.0,91.8
26.0,91.8
27.0,91.8
27.2,92.0
27.2,93.0
28.0,93.8
29.0,93.8
29.2,94.0
29.2,95.0
29.2,96.0
29.2,97.0
30.0,97.8
30.8,97.0
30.8,96.0
31.0,95.8
31.2,96.0
32.0,96.8
32.2,97.0
32.2,98.0
33.0,98.8
34.0,98.8
34.2,99.0
34.2,100.0
35.0,100.8
36.0,100.8
36.2,101.0
37.0,101.8
37.2,102.0
37.2,103.0
38.0,103.8
38.2,104.0
39.0,104.8
39.2,105.0
40.0,105.8
41.0,105.8
41.2,106.0
42.0,106.8
42.2,107.0
43.0,107.8
43.2,108.0
44.0,108.8
44.2,109.0
45.0,109.8
45.2,110.0
46.0,110.8
46.2,111.0
46.2,112.0
47.0,112.8
48.0,112.8
48.2,113.0
48.2,114.0
48.0,114.2
47.2,115.0
48.0,115.8
48.2,116.0
49.0,116.8
49.2,117.0
49.2,118.0
49.0,118.2
48.2,119.0
49.0,119.8
50.0,119.8
50.2,120.0
51.0,120.8
51.2,121.0
51.2,122.0
52.0,122.8
52.2,123.0
52.2,124.0
52.2,125.0
52.2,126.0
52.2,127.0
52.2,128.0
52.2,129.0
53.0,129.8
54.0,129.8
54.2,130.0
54.2,131.0
54.2,132.0
54.2,133.0
54.2,134.0
54.2,135.0
54.2,136.0
54.0,136.2
53.2,137.0
53.0,137.2
52.2,138.0
52.0,138.2
51.2,139.0
52.0,139.8
52.2,140.0
52.0,140.2
51.2,141.0
51.2,142.0
51.2,143.0
51.0,143.2
50.2,144.0
50.0,144.2
49.0,144.2
48.2,145.0
48.0,145.2
47.2,146.0
47.2,147.0
47.2,148.0
48.0,148.8
49.0,148.8
49.2,149.0
49.0,149.2
48.0,149.2
47.2,150.0
48.0,150.8
48.2,151.0
48.0,151.2
47.2,152.0
47.0,152.2
46.0,152.2
45.2,153.0
45.2,154.0
45.2,155.0
45.0,155.2
44.2,156.0
45.0,156.8
45.2,157.0
45.2,158.0
45.2,159.0
46.0,159.8
46.2,160.0
46.2,161.0
47.0,161.8
47.2,162.0
48.0,162.8
48.2,163.0
49.0,163.8
50.0,163.8
50.2,164.0
51.0,164.8
51.2,165.0
51.0,165.2
50.2,166.0
51.0,166.8
51.8,166.0
52.0,165.8
52.2,166.0
53.0,166.8
53.8,166.0
54.0,165.8
55.0,165.8
55.2,166.0
56.0,166.8
57.0,166.8
58.0,166.8
59.0,166.8
60.0,166.8
61.0,166.8
62.0,166.8
62.2,167.0
63.0,167.8
64.0,167.8
65.0,167.8
66.0,167.8
67.0,167.8
68.0,167.8
69.0,167.8
70.0,167.8
71.0,167.8
72.0,167.8
72.8,167.0
73.0,166.8
74.0,166.8
75.0,166.8
76.0,166.8
77.0,166.8
78.0,166.8
79.0,166.8
80.0,166.8
81.0,166.8
82.0,166.8
82.2,167.0
83.0,167.8
84.0,167.8
84.2,168.0
85.0,168.8
85.8,168.0
86.0,167.8
87.0,167.8
88.0,167.8
89.0,167.8
90.0,167.8
91.0,167.8
92.0,167.8
92.2,168.0
93.0,168.8
94.0,168.8
95.0,168.8
95.2,169.0
95.0,169.2
94.0,169.2
93.0,169.2
92.2,170.0
93.0,170.8
94.0,170.8
95.0,170.8
95.8,170.0
96.0,169.8
96.8,169.0
97.0,168.8
98.0,168.8
99.0,168.8
100.0,168.8
101.0,168.8
102.0,168.8
103.0,168.8
104.0,168.8
105.0,168.8
106.0,168.8
107.0,168.8
108.0,168.8
109.0,168.8
110.0,168.8
111.0,168.8
112.0,168.8
113.0,168.8
113.2,169.0
114.0,169.8
114.8,169.0
114.8,168.0
115.0,167.8
116.0,167.8
117.0,167.8
117.8,167.0
118.0,166.8
119.0,166.8
120.0,166.8
121.0,166.8
122.0,166.8
123.0,166.8
123.8,166.0
123.8,165.0
123.8,164.0
124.0,163.8
125.0,163.8
126.0,163.8
126.8,163.0
127.0,162.8
127.8,162.0
128.0,161.8
128.8,161.0
129.0,160.8
129.8,160.0
130.0,159.8
130.2,160.0
131.0,160.8
131.8,160.0
131.0,159.2
130.8,159.0
131.0,158.8
132.0,158.8
132.8,158.0
133.0,157.8
133.2,158.0
134.0,158.8
134.8,158.0
135.0,157.8
136.0,157.8
136.8,157.0
137.0,156.8
138.0,156.8
139.0,156.8
140.0,156.8
141.0,156.8
142.0,156.8
142.2,157.0
143.0,157.8
143.8,157.0
143.0,156.2
142.8,156.0
143.0,155.8
144.0,155.8
144.2,156.0
145.0,156.8
145.8,156.0
145.0,155.2
144.8,155.0
145.0,154.8
146.0,154.8
146.8,154.0
147.0,153.8
147.8,153.0
148.0,152.8
148.8,152.0
148.8,151.0
149.0,150.8
150.0,150.8
150.8,150.0
150.8,149.0
150.8,148.0
150.8,147.0
150.8,146.0
151.0,145.8
152.0,145.8
152.8,145.0
152.0,144.2
151.8,144.0
152.0,143.8
152.8,143.0
153.0,142.8
154.0,142.8
155.0,142.8
156.0,142.8
157.0,142.8
158.0,142.8
158.8,142.0
158.8,141.0
159.0,140.8
160.0,140.8
160.8,140.0
160.8,139.0
161.0,138.8
162.0,138.8
162.8,138.0
163.0,137.8
163.8,137.0
164.0,136.8
164.8,136.0
165.0,135.8
165.8,135.0
165.0,134.2
164.8,134.0
164.8,133.0
165.0,132.8
165.8,132.0
165.8,131.0
165.8,130.0
165.8,129.0
165.8,128.0
165.8,127.0
166.0,126.8
166.8,126.0
166.0,125.2
165.2,126.0
165.0,126.2
164.8,126.0
164.8,125.0
165.0,124.8
165.8,124.0
166.0,123.8
166.8,123.0
167.0,122.8
168.0,122.8
168.8,122.0
169.0,121.8
170.0,121.8
170.8,121.0
171.0,120.8
171.8,120.0
172.0,119.8
172.8,119.0
173.0,118.8
173.8,118.0
174.0,117.8
174.8,117.0
174.8,116.0
174.0,115.2
173.8,115.0
174.0,114.8
174.8,114.0
174.8,113.0
174.8,112.0
174.8,111.0
174.8,110.0
174.8,109.0
174.0,108.2
173.8,108.0
173.8,107.0
173.8,106.0
173.8,105.0
173.0,104.2
172.8,104.0
172.8,103.0
172.0,102.2
171.8,102.0
171.8,101.0
171.8,100.0
171.8,99.0
172.0,98.8
172.2,99.0
173.0,99.8
173.8,99.0
173.0,98.2
172.8,98.0
173.0,97.8
173.8,97.0
173.0,96.2
172.8,96.0
173.0,95.8
174.0,95.8
174.8,95.0
174.0,94.2
173.8,94.0
173.8,93.0
174.0,92.8
174.2,93.0
175.0,93.8
175.8,93.0
175.0,92.2
174.8,92.0
174.8,91.0
174.8,90.0
175.0,89.8
175.2,90.0
175.2,91.0
176.0,91.8
176.8,91.0
176.8,90.0
176.0,89.2
175.8,89.0
176.0,88.8
176.8,88.0
176.0,87.2
175.2,88.0
175.0,88.2
174.0,88.2
173.8,88.0
174.0,87.8
174.8,87.0
175.0,86.8
175.8,86.0
175.0,85.2
174.2,86.0
174.0,86.2
173.8,86.0
173.0,85.2
172.0,85.2
171.8,85.0
171.0,84.2
170.8,84.0
170.8,83.0
171.0,82.8
171.8,82.0
171.0,81.2
170.8,81.0
170.0,80.2
169.0,80.2
168.0,80.2
167.8,80.0
167.0,79.2
166.8,79.0
167.0,78.8
168.0,78.8
168.8,78.0
168.0,77.2
167.0,77.2
166.2,78.0
166.0,78.2
165.8,78.0
165.8,77.0
165.0,76.2
164.0,76.2
163.8,76.0
163.0,75.2
162.0,75.2
161.8,75.0
161.0,74.2
160.8,74.0
160.0,73.2
159.8,73.0
159.0,72.2
158.8,72.0
158.8,71.0
158.8,70.0
159.0,69.8
159.8,69.0
159.0,68.2
158.2,69.0
158.0,69.2
157.8,69.0
157.8,68.0
157.8,67.0
157.8,66.0
157.0,65.2
156.8,65.0
156.8,64.0
156.8,63.0
157.0,62.8
157.8,62.0
157.0,61.2
156.2,62.0
156.0,62.2
155.8,62.0
155.8,61.0
155.0,60.2
154.0,60.2
153.8,60.0
153.0,59.2
152.8,59.0
152.0,58.2
151.8,58.0
151.0,57.2
150.0,57.2
149.8,57.0
149.0,56.2
148.0,56.2
147.8,56.0
147.0,55.2
146.8,55.0
146.0,54.2
145.0,54.2
144.8,54.0
144.0,53.2
143.0,53.2
142.0,53.2
141.0,53.2
140.0,53.2
139.0,53.2
138.8,53.0
138.0,52.2
137.0,52.2
136.2,53.0
136.0,53.2
135.0,53.2
134.8,53.0
134.0,52.2
133.0,52.2
132.2,53.0
133.0,53.8
133.2,54.0
133.0,54.2
132.0,54.2
131.2,55.0
131.0,55.2
130.0,55.2
129.2,56.0
129.0,56.2
128.2,57.0
128.0,57.2
127.2,58.0
127.0,58.2
126.0,58.2
125.0,58.2
124.8,58.0
124.0,57.2
123.2,58.0
124.0,58.8
124.2,59.0
124.0,59.2
123.0,59.2
122.2,60.0
122.0,60.2
121.0,60.2
120.0,60.2
119.0,60.2
118.0,60.2
117.0,60.2
116.0,60.2
115.0,60.2
114.2,61.0
114.0,61.2
113.2,62.0
113.0,62.2
112.8,62.0
112.0,61.2
111.2,62.0
111.0,62.2
110.0,62.2
109.0,62.2
108.0,62.2
107.8,62.0
107.0,61.2
106.2,62.0
106.0,62.2
105.0,62.2
104.2,63.0
104.0,63.2
103.0,63.2
102.0,63.2
101.0,63.2
100.0,63.2
99.0,63.2
98.0,63.2
97.0,63.2
96.0,63.2
95.0,63.2
94.0,63.2
93.0,63.2
92.0,63.2
91.0,63.2
90.8,63.0
90.0,62.2
89.0,62.2
88.2,63.0
88.0,63.2
87.0,63.2
86.8,63.0
86.0,62.2
85.2,63.0
85.0,63.2
84.0,63.2
83.8,63.0
83.0,62.2
82.8,62.0
82.0,61.2
81.2,62.0
81.0,62.2
80.0,62.2
79.0,62.2
78.0,62.2
77.8,62.0
77.0,61.2
76.0,61.2
75.0,61.2
74.0,61.2
73.0,61.2
72.0,61.2
71.0,61.2
70.8,61.0
71.0,60.8
71.8,60.0
71.0,59.2
70.2,60.0
70.0,60.2
69.8,60.0
69.0,59.2
68.2,60.0
68.0,60.2
67.0,60.2
66.8,60.0
66.0,59.2
65.0,59.2
64.8,59.0
64.8,58.0
64.0,57.2
63.0,57.2
62.0,57.2
61.8,57.0
61.0,56.2
60.2,57.0
60.0,57.2
59.0,57.2
58.0,57.2
57.0,57.2
56.0,57.2
55.0,57.2
54.0,57.2
53.8,57.0
53.0,56.2
52.0,56.2
51.2,57.0
51.0,57.2
50.0,57.2
49.8,57.0
49.0,56.2
48.8,56.0
48.0,55.2
47.0,55.2
46.0,55.2
45.0,55.2
44.0,55.2
43.8,55.0
43.0,54.2
42.0,54.2
41.0,54.2
40.0,54.2
39.0,54.2
38.0,54.2
37.8,54.0
37.8,53.0
37.0,52.2
36.0,52.2
35.0,52.2
34.0,52.2
33.0,52.2
32.8,52.0
32.0,51.2
31.0,51.2
30.0,51.2
29.0,51.2
28.0,51.2
27.8,51.0
27.0,50.2
26.0,50.2
25.8,50.0
26.0,49.8
27.0,49.8
28.0,49.8
28.8,49.0
28.0,48.2
27.0,48.2
26.0,48.2
25.2,49.0
25.0,49.2
24.0,49.2
23.0,49.2
22.0,49.2
21.8,49.0
