x,y
157.8,686.0
158.0,685.8
158.8,685.0
158.8,684.0
159.0,683.8
159.8,683.0
160.0,682.8
161.0,682.8
161.8,682.0
162.0,681.8
162.2,682.0
162.2,683.0
163.0,683.8
164.0,683.8
164.8,683.0
164.8,682.0
164.8,681.0
165.0,680.8
165.8,680.0
166.0,679.8
167.0,679.8
168.0,679.8
169.0,679.8
170.0,679.8
171.0,679.8
171.8,679.0
171.8,678.0
172.0,677.8
172.8,677.0
173.0,676.8
173.2,677.0
173.2,678.0
174.0,678.8
175.0,678.8
175.8,678.0
176.0,677.8
176.8,677.0
177.0,676.8
177.8,676.0
177.8,675.0
178.0,674.8
178.8,674.0
179.0,673.8
180.0,673.8
181.0,673.8
181.8,673.0
182.0,672.8
182.2,673.0
183.0,673.8
183.8,673.0
184.0,672.8
184.8,672.0
184.8,671.0
185.0,670.8
185.8,670.0
186.0,669.8
187.0,669.8
187.2,670.0
188.0,670.8
189.0,670.8
190.0,670.8
191.0,670.8
191.8,670.0
191.8,669.0
191.8,668.0
191.8,667.0
192.0,666.8
193.0,666.8
194.0,666.8
195.0,666.8
195.8,666.0
196.0,665.8
196.2,666.0
197.0,666.8
197.8,666.0
197.8,665.0
197.8,664.0
198.0,663.8
199.0,663.8
199.2,664.0
200.0,664.8
200.8,664.0
201.0,663.8
201.8,663.0
201.8,662.0
202.0,661.8
202.2,662.0
203.0,662.8
203.2,663.0
204.0,663.8
204.8,663.0
204.8,662.0
204.8,661.0
204.8,660.0
205.0,659.8
205.2,660.0
206.0,660.8
207.0,660.8
207.8,660.0
207.8,659.0
207.8,658.0
208.0,657.8
209.0,657.8
210.0,657.8
210.8,657.0
211.0,656.8
212.0,656.8
213.0,656.8
213.8,656.0
214.0,655.8
214.8,655.0
214.8,654.0
215.0,653.8
216.0,653.8
217.0,653.8
218.0,653.8
219.0,653.8
220.0,653.8
220.8,653.0
220.0,652.2
219.8,652.0
219.0,651.2
218.8,651.0
219.0,650.8
220.0,650.8
221.0,650.8
221.8,650.0
222.0,649.8
222.2,650.0
223.0,650.8
223.8,650.0
224.0,649.8
224.8,649.0
224.8,648.0
225.0,647.8
225.8,647.0
226.0,646.8
226.2,647.0
227.0,647.8
228.0,647.8
228.8,647.0
228.8,646.0
228.0,645.2
227.8,645.0
228.0,644.8
229.0,644.8
229.2,645.0
230.0,645.8
230.8,645.0
230.8,644.0
231.0,643.8
232.0,643.8
233.0,643.8
233.8,643.0
233.0,642.2
232.8,642.0
233.0,641.8
233.8,641.0
234.0,640.8
235.0,640.8
236.0,640.8
237.0,640.8
237.8,640.0
237.8,639.0
237.8,638.0
238.0,637.8
239.0,637.8
240.0,637.8
240.8,637.0
240.8,636.0
240.8,635.0
240.8,634.0
241.0,633.8
242.0,633.8
243.0,633.8
244.0,633.8
244.8,633.0
244.8,632.0
244.8,631.0
245.0,630.8
246.0,630.8
247.0,630.8
248.0,630.8
248.8,630.0
248.8,629.0
248.8,628.0
249.0,627.8
250.0,627.8
251.0,627.8
251.8,627.0
251.8,626.0
252.0,625.8
253.0,625.8
254.0,625.8
255.0,625.8
255.8,625.0
255.8,624.0
256.0,623.8
256.8,623.0
256.0,622.2
255.8,622.0
256.0,621.8
257.0,621.8
257.8,621.0
258.0,620.8
259.0,620.8
260.0,620.8
260.8,620.0
260.8,619.0
261.0,618.8
261.8,618.0
262.0,617.8
262.8,617.0
263.0,616.8
263.8,616.0
263.8,615.0
263.8,614.0
263.8,613.0
263.8,612.0
264.0,611.8
264.8,611.0
265.0,610.8
266.0,610.8
267.0,610.8
267.8,610.0
267.8,609.0
267.0,608.2
266.8,608.0
267.0,607.8
267.8,607.0
267.8,606.0
267.8,605.0
268.0,604.8
269.0,604.8
269.2,605.0
270.0,605.8
270.8,605.0
270.8,604.0
270.8,603.0
270.8,602.0
270.0,601.2
269.8,601.0
270.0,600.8
270.8,600.0
270.8,599.0
270.8,598.0
270.0,597.2
269.0,597.2
268.0,597.2
267.0,597.2
266.0,597.2
265.0,597.2
264.8,597.0
264.0,596.2
263.0,596.2
262.2,597.0
262.0,597.2
261.0,597.2
