x,y
427.8,443.0
428.0,442.8
429.0,442.8
430.0,442.8
431.0,442.8
431.8,442.0
432.0,441.8
433.0,441.8
434.0,441.8
434.8,441.0
434.8,440.0
434.8,439.0
434.8,438.0
434.8,437.0
435.0,436.8
435.8,436.0
435.8,435.0
435.8,434.0
436.0,433.8
436.8,433.0
436.8,432.0
437.0,431.8
437.8,431.0
438.0,430.8
438.8,430.0
438.8,429.0
439.0,428.8
439.8,428.0
440.0,427.8
440.8,427.0
440.8,426.0
440.8,425.0
441.0,424.8
441.8,424.0
441.8,423.0
442.0,422.8
442.8,422.0
443.0,421.8
443.2,422.0
443.2,423.0
443.2,424.0
443.2,425.0
443.2,426.0
443.2,427.0
443.2,428.0
443.2,429.0
443.2,430.0
444.0,430.8
444.2,431.0
444.2,432.0
445.0,432.8
445.2,433.0
445.0,433.2
444.2,434.0
444.2,435.0
444.2,436.0
444.2,437.0
445.0,437.8
445.2,438.0
446.0,438.8
446.8,438.0
447.0,437.8
448.0,437.8
448.2,438.0
449.0,438.8
449.8,438.0
450.0,437.8
450.8,437.0
450.0,436.2
449.8,436.0
450.0,435.8
450.8,435.0
451.0,434.8
451.8,434.0
451.8,433.0
451.8,432.0
452.0,431.8
452.8,431.0
453.0,430.8
453.8,430.0
454.0,429.8
454.8,429.0
454.8,428.0
454.8,427.0
454.8,426.0
455.0,425.8
455.8,425.0
456.0,424.8
456.8,424.0
456.8,423.0
457.0,422.8
457.8,422.0
457.8,421.0
458.0,420.8
458.8,420.0
458.8,419.0
458.8,418.0
459.0,417.8
460.0,417.8
460.8,417.0
460.8,416.0
460.8,415.0
460.8,414.0
460.8,413.0
460.8,412.0
461.0,411.8
461.8,411.0
461.8,410.0
461.8,409.0
462.0,408.8
462.8,408.0
462.8,407.0
462.8,406.0
462.8,405.0
463.0,404.8
463.8,404.0
463.8,403.0
464.0,402.8
465.0,402.8
465.8,402.0
465.0,401.2
464.8,401.0
465.0,400.8
465.8,400.0
466.0,399.8
467.0,399.8
467.8,399.0
468.0,398.8
468.2,399.0
469.0,399.8
469.2,400.0
469.2,401.0
469.0,401.2
468.2,402.0
469.0,402.8
469.2,403.0
470.0,403.8
470.2,404.0
470.2,405.0
470.2,406.0
470.2,407.0
471.0,407.8
471.2,408.0
471.2,409.0
471.0,409.2
470.2,410.0
