x,y
694.8,354.0
695.0,353.8
695.8,353.0
696.0,352.8
696.8,352.0
697.0,351.8
697.8,351.0
697.8,350.0
698.0,349.8
698.8,349.0
698.8,348.0
699.0,347.8
699.8,347.0
699.8,346.0
699.8,345.0
699.8,344.0
699.8,343.0
700.0,342.8
700.8,342.0
701.0,341.8
701.8,341.0
701.8,340.0
701.8,339.0
701.8,338.0
702.0,337.8
702.8,337.0
702.8,336.0
702.8,335.0
702.8,334.0
702.8,333.0
702.0,332.2
701.8,332.0
701.8,331.0
701.8,330.0
701.8,329.0
701.8,328.0
701.8,327.0
701.8,326.0
701.8,325.0
701.8,324.0
701.8,323.0
701.8,322.0
702.0,321.8
702.8,321.0
702.8,320.0
702.8,319.0
702.8,318.0
702.8,317.0
702.8,316.0
703.0,315.8
703.8,315.0
703.8,314.0
703.8,313.0
704.0,312.8
704.8,312.0
704.8,311.0
704.8,310.0
704.0,309.2
703.0,309.2
702.0,309.2
701.0,309.2
700.8,309.0
700.8,308.0
700.8,307.0
700.8,306.0
700.8,305.0
700.8,304.0
700.8,303.0
700.8,302.0
700.8,301.0
700.0,300.2
699.8,300.0
699.0,299.2
698.8,299.0
698.0,298.2
697.0,298.2
696.2,299.0
696.0,299.2
695.2,300.0
695.2,301.0
695.2,302.0
695.2,303.0
695.2,304.0
695.0,304.2
694.2,305.0
695.0,305.8
695.2,306.0
695.0,306.2
694.2,307.0
694.2,308.0
694.2,309.0
694.2,310.0
694.0,310.2
693.2,311.0
693.2,312.0
693.0,312.2
692.2,313.0
692.2,314.0
692.0,314.2
691.2,315.0
691.0,315.2
690.2,316.0
690.2,317.0
690.0,317.2
689.2,318.0
689.2,319.0
689.0,319.2
688.2,320.0
688.0,320.2
687.2,321.0
687.0,321.2
686.2,322.0
686.2,323.0
686.2,324.0
686.2,325.0
686.0,325.2
685.2,326.0
685.0,326.2
684.2,327.0
684.2,328.0
684.0,328.2
683.2,329.0
683.2,330.0
683.2,331.0
683.2,332.0
683.0,332.2
682.2,333.0
682.2,334.0
682.2,335.0
682.2,336.0
682.0,336.2
681.2,337.0
681.2,338.0
681.2,339.0
681.2,340.0
681.2,341.0
681.2,342.0
681.2,343.0
682.0,343.8
682.2,344.0
682.2,345.0
682.2,346.0
683.0,346.8
683.2,347.0
683.2,348.0
684.0,348.8
684.2,349.0
684.2,350.0
685.0,350.8
685.2,351.0
686.0,351.8
686.2,352.0
687.0,352.8
687.2,353.0
688.0,353.8
688.2,354.0
689.0,354.8
690.0,354.8
691.0,354.8
692.0,354.8
693.0,354.8
694.0,354.8
694.8,354.0
