x,y
663.8,491.0
664.0,490.8
664.8,490.0
664.8,489.0
664.8,488.0
665.0,487.8
665.8,487.0
666.0,486.8
666.8,486.0
667.0,485.8
667.2,486.0
667.2,487.0
668.0,487.8
669.0,487.8
669.8,487.0
670.0,486.8
670.8,486.0
670.8,485.0
670.8,484.0
671.0,483.8
671.8,483.0
671.8,482.0
672.0,481.8
673.0,481.8
674.0,481.8
674.8,481.0
675.0,480.8
676.0,480.8
677.0,480.8
678.0,480.8
678.8,480.0
679.0,479.8
679.8,479.0
679.8,478.0
680.0,477.8
680.8,477.0
680.8,476.0
680.8,475.0
681.0,474.8
682.0,474.8
682.2,475.0
683.0,475.8
683.8,475.0
684.0,474.8
684.8,474.0
685.0,473.8
685.8,473.0
685.8,472.0
685.8,471.0
685.8,470.0
685.8,469.0
685.8,468.0
686.0,467.8
687.0,467.8
687.8,467.0
688.0,466.8
688.8,466.0
688.8,465.0
689.0,464.8
689.8,464.0
689.8,463.0
689.8,462.0
689.8,461.0
690.0,460.8
690.8,460.0
690.8,459.0
691.0,458.8
691.8,458.0
691.8,457.0
691.8,456.0
691.8,455.0
691.8,454.0
691.8,453.0
691.8,452.0
691.8,451.0
692.0,450.8
693.0,450.8
693.8,450.0
693.8,449.0
693.8,448.0
693.8,447.0
693.8,446.0
693.8,445.0
693.8,444.0
693.8,443.0
693.8,442.0
693.8,441.0
694.0,440.8
694.8,440.0
694.8,439.0
694.8,438.0
695.0,437.8
695.8,437.0
695.8,436.0
695.8,435.0
695.0,434.2
694.8,434.0
694.0,433.2
693.8,433.0
693.8,432.0
693.8,431.0
693.8,430.0
694.0,429.8
694.8,429.0
695.0,428.8
695.8,428.0
695.8,427.0
695.8,426.0
695.8,425.0
695.8,424.0
695.8,423.0
695.8,422.0
695.0,421.2
694.8,421.0
694.8,420.0
694.8,419.0
694.8,418.0
694.8,417.0
694.0,416.2
693.8,416.0
693.8,415.0
693.8,414.0
693.8,413.0
693.0,412.2
692.8,412.0
692.8,411.0
692.8,410.0
692.8,409.0
693.0,408.8
