x,y
402.8,661.0
402.8,660.0
402.8,659.0
402.8,658.0
402.8,657.0
402.8,656.0
402.8,655.0
402.8,654.0
402.8,653.0
402.8,652.0
402.8,651.0
403.0,650.8
403.8,650.0
403.8,649.0
403.8,648.0
403.8,647.0
403.8,646.0
404.0,645.8
404.8,645.0
404.8,644.0
404.8,643.0
404.8,642.0
404.8,641.0
404.8,640.0
404.8,639.0
404.8,638.0
404.8,637.0
404.8,636.0
404.8,635.0
404.8,634.0
404.8,633.0
404.8,632.0
404.8,631.0
404.0,630.2
403.8,630.0
403.8,629.0
403.8,628.0
403.0,627.2
402.8,627.0
402.8,626.0
402.0,625.2
401.8,625.0
401.8,624.0
401.8,623.0
401.0,622.2
400.8,622.0
400.8,621.0
400.0,620.2
399.8,620.0
399.8,619.0
399.0,618.2
398.8,618.0
398.8,617.0
398.8,616.0
398.0,615.2
397.8,615.0
397.8,614.0
397.8,613.0
397.0,612.2
396.8,612.0
396.0,611.2
395.8,611.0
395.0,610.2
394.0,610.2
393.0,610.2
392.8,610.0
392.0,609.2
391.0,609.2
390.0,609.2
389.0,609.2
388.8,609.0
388.8,608.0
388.0,607.2
387.8,607.0
387.0,606.2
386.8,606.0
386.0,605.2
385.8,605.0
385.0,604.2
384.8,604.0
384.8,603.0
384.0,602.2
383.8,602.0
383.8,601.0
383.8,600.0
383.0,599.2
382.8,599.0
382.0,598.2
381.8,598.0
381.0,597.2
380.0,597.2
379.0,597.2
378.2,598.0
378.0,598.2
377.0,598.2
376.8,598.0
376.0,597.2
375.0,597.2
374.8,597.0
374.0,596.2
373.8,596.0
373.0,595.2
372.8,595.0
372.0,594.2
371.0,594.2
370.8,594.0
370.0,593.2
369.8,593.0
369.0,592.2
368.0,592.2
367.8,592.0
367.0,591.2
366.0,591.2
365.2,592.0
365.0,592.2
364.8,592.0
364.0,591.2
363.8,591.0
363.0,590.2
362.8,590.0
362.0,589.2
361.0,589.2
360.8,589.0
360.0,588.2
359.0,588.2
358.0,588.2
357.8,588.0
357.0,587.2
356.0,587.2
355.0,587.2
354.0,587.2
353.0,587.2
352.8,587.0
352.0,586.2
351.0,586.2
350.0,586.2
349.0,586.2
348.0,586.2
347.0,586.2
346.2,587.0
346.0,587.2
345.0,587.2
344.0,587.2
343.0,587.2
342.2,588.0
342.2,589.0
343.0,589.8
343.2,590.0
344.0,590.8
345.0,590.8
345.2,591.0
346.0,591.8
346.2,592.0
347.0,592.8
348.0,592.8
348.2,593.0
349.0,593.8
349.2,594.0
350.0,594.8
350.2,595.0
351.0,595.8
352.0,595.8
352.2,596.0
353.0,596.8
353.2,597.0
354.0,597.8
354.2,598.0
354.2,599.0
355.0,599.8
355.2,600.0
355.2,601.0
355.2,602.0
355.2,603.0
356.0,603.8
356.2,604.0
356.2,605.0
357.0,605.8
357.2,606.0
358.0,606.8
358.2,607.0
358.2,608.0
358.2,609.0
359.0,609.8
359.2,610.0
359.2,611.0
359.2,612.0
360.0,612.8
360.2,613.0
361.0,613.8
361.2,614.0
362.0,614.8
363.0,614.8
363.2,615.0
364.0,615.8
364.2,616.0
365.0,616.8
365.2,617.0
365.2,618.0
365.2,619.0
365.2,620.0
365.2,621.0
365.2,622.0
366.0,622.8
366.2,623.0
367.0,623.8
367.2,624.0
368.0,624.8
368.2,625.0
369.0,625.8
369.2,626.0
370.0,626.8
370.2,627.0
371.0,627.8
371.2,628.0
372.0,628.8
372.2,629.0
373.0,629.8
374.0,629.8
374.2,630.0
375.0,630.8
375.2,631.0
375.2,632.0
375.2,633.0
375.2,634.0
376.0,634.8
376.2,635.0
377.0,635.8
377.2,636.0
378.0,636.8
378.2,637.0
379.0,637.8
379.2,638.0
380.0,638.8
380.2,639.0
381.0,639.8
381.2,640.0
382.0,640.8
382.2,641.0
383.0,641.8
383.2,642.0
384.0,642.8
384.2,643.0
385.0,643.8
386.0,643.8
386.2,644.0
387.0,644.8
387.2,645.0
388.0,645.8
388.2,646.0
389.0,646.8
389.2,647.0
390.0,647.8
390.2,648.0
390.2,649.0
391.0,649.8
391.2,650.0
392.0,650.8
392.2,651.0
393.0,651.8
393.2,652.0
394.0,652.8
394.2,653.0
395.0,653.8
395.2,654.0
395.2,655.0
396.0,655.8
396.2,656.0
397.0,656.8
397.2,657.0
397.2,658.0
398.0,658.8
398.2,659.0
399.0,659.8
399.2,660.0
400.0,660.8
400.2,661.0
401.0,661.8
402.0,661.8
402.8,661.0
