x,y
177.8,253.0
177.8,252.0
177.8,251.0
177.8,250.0
177.8,249.0
177.8,248.0
177.8,247.0
177.8,246.0
177.8,245.0
177.8,244.0
177.8,243.0
178.0,242.8
178.8,242.0
178.8,241.0
178.8,240.0
178.8,239.0
178.8,238.0
178.8,237.0
178.8,236.0
179.0,235.8
179.8,235.0
179.8,234.0
179.8,233.0
179.8,232.0
180.0,231.8
180.8,231.0
180.8,230.0
181.0,229.8
181.8,229.0
181.8,228.0
182.0,227.8
182.8,227.0
182.8,226.0
182.8,225.0
182.8,224.0
182.8,223.0
182.0,222.2
181.8,222.0
181.8,221.0
181.0,220.2
180.8,220.0
180.8,219.0
180.8,218.0
180.0,217.2
179.8,217.0
179.8,216.0
179.8,215.0
179.0,214.2
178.8,214.0
178.8,213.0
178.0,212.2
177.8,212.0
177.8,211.0
177.8,210.0
177.0,209.2
176.8,209.0
176.8,208.0
176.8,207.0
176.0,206.2
175.8,206.0
175.8,205.0
175.0,204.2
174.8,204.0
174.0,203.2
173.8,203.0
173.8,202.0
173.8,201.0
173.0,200.2
172.8,200.0
172.8,199.0
172.8,198.0
172.0,197.2
171.8,197.0
171.8,196.0
171.8,195.0
171.8,194.0
171.0,193.2
170.8,193.0
170.8,192.0
170.8,191.0
170.0,190.2
169.8,190.0
169.8,189.0
169.0,188.2
168.8,188.0
168.0,187.2
167.8,187.0
167.8,186.0
167.0,185.2
166.8,185.0
166.8,184.0
166.8,183.0
166.0,182.2
165.8,182.0
165.8,181.0
165.0,180.2
164.8,180.0
164.0,179.2
163.8,179.0
163.8,178.0
163.0,177.2
162.8,177.0
162.0,176.2
161.8,176.0
161.8,175.0
161.0,174.2
160.8,174.0
160.0,173.2
159.8,173.0
159.0,172.2
158.8,172.0
158.8,171.0
158.8,170.0
158.0,169.2
157.8,169.0
157.0,168.2
156.8,168.0
156.8,167.0
156.0,166.2
155.8,166.0
155.8,165.0
155.0,164.2
154.8,164.0
154.8,163.0
154.8,162.0
154.0,161.2
153.8,161.0
153.8,160.0
153.0,159.2
152.8,159.0
152.0,158.2
151.8,158.0
151.0,157.2
150.8,157.0
150.8,156.0
150.0,155.2
149.8,155.0
149.0,154.2
148.8,154.0
148.8,153.0
148.0,152.2
147.8,152.0
147.8,151.0
147.0,150.2
146.8,150.0
146.0,149.2
145.8,149.0
145.0,148.2
144.8,148.0
144.0,147.2
143.8,147.0
143.0,146.2
142.8,146.0
142.0,145.2
141.8,145.0
141.0,144.2
140.0,144.2
139.8,144.0
139.0,143.2
138.8,143.0
138.0,142.2
137.8,142.0
137.0,141.2
136.0,141.2
135.8,141.0
135.0,140.2
134.0,140.2
133.8,140.0
133.0,139.2
132.8,139.0
132.0,138.2
131.0,138.2
130.0,138.2
129.8,138.0
129.0,137.2
128.8,137.0
128.0,136.2
127.0,136.2
126.8,136.0
126.0,135.2
125.2,136.0
125.0,136.2
124.0,136.2
123.0,136.2
122.8,136.0
122.0,135.2
121.0,135.2
120.0,135.2
119.8,135.0
119.0,134.2
118.8,134.0
118.0,133.2
117.0,133.2
116.8,133.0
116.0,132.2
115.0,132.2
114.8,132.0
114.0,131.2
113.0,131.2
112.0,131.2
111.8,131.0
111.0,130.2
110.0,130.2
109.0,130.2
108.0,130.2
107.0,130.2
106.0,130.2
105.0,130.2
104.0,130.2
103.0,130.2
102.0,130.2
101.8,130.0
101.0,129.2
100.0,129.2
99.0,129.2
98.0,129.2
97.0,129.2
96.0,129.2
95.8,129.0
95.0,128.2
94.8,128.0
94.0,127.2
93.0,127.2
92.8,127.0
92.0,126.2
91.8,126.0
91.0,125.2
90.8,125.0
90.0,124.2
89.0,124.2
88.2,125.0
88.0,125.2
87.0,125.2
86.2,126.0
86.2,127.0
86.0,127.2
85.2,128.0
85.2,129.0
85.2,130.0
85.2,131.0
85.2,132.0
86.0,132.8
87.0,132.8
87.2,133.0
88.0,133.8
89.0,133.8
90.0,133.8
91.0,133.8
92.0,133.8
92.2,134.0
93.0,134.8
94.0,134.8
95.0,134.8
95.2,135.0
96.0,135.8
97.0,135.8
98.0,135.8
99.0,135.8
100.0,135.8
101.0,135.8
101.2,136.0
102.0,136.8
102.2,137.0
103.0,137.8
103.2,138.0
104.0,138.8
104.2,139.0
105.0,139.8
105.2,140.0
106.0,140.8
106.2,141.0
107.0,141.8
107.2,142.0
108.0,142.8
108.2,143.0
109.0,143.8
109.2,144.0
109.2,145.0
110.0,145.8
110.2,146.0
110.2,147.0
111.0,147.8
111.2,148.0
112.0,148.8
112.2,149.0
112.2,150.0
112.2,151.0
112.2,152.0
112.2,153.0
113.0,153.8
113.2,154.0
114.0,154.8
114.2,155.0
115.0,155.8
115.2,156.0
116.0,156.8
116.2,157.0
116.2,158.0
117.0,158.8
117.2,159.0
118.0,159.8
118.2,160.0
119.0,160.8
119.2,161.0
120.0,161.8
120.2,162.0
121.0,162.8
121.2,163.0
122.0,163.8
122.2,164.0
123.0,164.8
123.2,165.0
124.0,165.8
124.2,166.0
125.0,166.8
125.2,167.0
125.2,168.0
126.0,168.8
126.2,169.0
127.0,169.8
127.2,170.0
127.2,171.0
128.0,171.8
128.2,172.0
128.2,173.0
129.0,173.8
129.2,174.0
129.2,175.0
129.2,176.0
130.0,176.8
130.2,177.0
130.2,178.0
130.2,179.0
131.0,179.8
131.2,180.0
131.2,181.0
132.0,181.8
132.2,182.0
132.2,183.0
133.0,183.8
133.2,184.0
134.0,184.8
134.2,185.0
134.2,186.0
135.0,186.8
135.2,187.0
135.2,188.0
136.0,188.8
136.2,189.0
137.0,189.8
137.2,190.0
138.0,190.8
138.2,191.0
139.0,191.8
139.2,192.0
140.0,192.8
140.2,193.0
141.0,193.8
141.2,194.0
142.0,194.8
142.2,195.0
143.0,195.8
144.0,195.8
144.2,196.0
145.0,196.8
145.2,197.0
146.0,197.8
146.2,198.0
146.2,199.0
147.0,199.8
147.2,200.0
148.0,200.8
148.2,201.0
148.2,202.0
149.0,202.8
149.2,203.0
149.2,204.0
150.0,204.8
150.2,205.0
151.0,205.8
151.2,206.0
152.0,206.8
152.2,207.0
153.0,207.8
153.2,208.0
154.0,208.8
154.2,209.0
155.0,209.8
155.2,210.0
156.0,210.8
156.2,211.0
157.0,211.8
157.2,212.0
158.0,212.8
158.2,213.0
159.0,213.8
159.2,214.0
160.0,214.8
160.2,215.0
160.2,216.0
161.0,216.8
161.2,217.0
162.0,217.8
162.2,218.0
163.0,218.8
163.2,219.0
164.0,219.8
164.2,220.0
164.2,221.0
165.0,221.8
165.2,222.0
165.2,223.0
166.0,223.8
166.2,224.0
167.0,224.8
167.2,225.0
167.2,226.0
168.0,226.8
168.2,227.0
168.2,228.0
169.0,228.8
169.2,229.0
169.2,230.0
169.2,231.0
170.0,231.8
170.2,232.0
170.2,233.0
170.2,234.0
171.0,234.8
171.2,235.0
171.2,236.0
172.0,236.8
172.2,237.0
172.2,238.0
172.2,239.0
172.2,240.0
173.0,240.8
173.2,241.0
173.2,242.0
173.2,243.0
174.0,243.8
174.2,244.0
174.2,245.0
174.2,246.0
174.2,247.0
174.2,248.0
174.2,249.0
175.0,249.8
175.2,250.0
175.2,251.0
175.2,252.0
176.0,252.8
176.2,253.0
177.0,253.8
177.8,253.0
