x,y
298.8,609.0
299.0,608.8
300.0,608.8
300.8,608.0
301.0,607.8
301.8,607.0
301.8,606.0
301.0,605.2
300.8,605.0
300.0,604.2
299.8,604.0
299.0,603.2
298.0,603.2
297.0,603.2
296.0,603.2
295.8,603.0
295.8,602.0
295.0,601.2
294.8,601.0
294.8,600.0
294.0,599.2
293.8,599.0
293.0,598.2
292.8,598.0
292.0,597.2
291.8,597.0
291.8,596.0
291.0,595.2
290.8,595.0
290.0,594.2
289.8,594.0
289.0,593.2
288.0,593.2
287.0,593.2
286.8,593.0
286.0,592.2
285.0,592.2
284.0,592.2
283.0,592.2
282.0,592.2
281.0,592.2
280.8,592.0
280.0,591.2
279.8,591.0
279.0,590.2
278.8,590.0
278.0,589.2
277.0,589.2
276.8,589.0
276.0,588.2
275.8,588.0
275.8,587.0
275.0,586.2
274.8,586.0
274.0,585.2
273.8,585.0
273.0,584.2
272.8,584.0
272.0,583.2
271.8,583.0
271.0,582.2
270.8,582.0
270.8,581.0
270.0,580.2
269.8,580.0
269.8,579.0
269.0,578.2
268.0,578.2
267.8,578.0
267.0,577.2
266.8,577.0
266.0,576.2
265.8,576.0
265.0,575.2
264.0,575.2
263.8,575.0
263.0,574.2
262.0,574.2
261.8,574.0
261.8,573.0
261.0,572.2
260.8,572.0
260.0,571.2
259.8,571.0
259.8,570.0
259.8,569.0
259.8,568.0
259.8,567.0
259.0,566.2
258.8,566.0
258.0,565.2
257.8,565.0
257.0,564.2
256.8,564.0
256.8,563.0
256.8,562.0
256.8,561.0
256.8,560.0
256.0,559.2
255.8,559.0
255.0,558.2
254.0,558.2
253.8,558.0
253.0,557.2
252.0,557.2
251.8,557.0
251.0,556.2
250.8,556.0
250.0,555.2
249.0,555.2
248.8,555.0
248.8,554.0
248.0,553.2
247.8,553.0
247.0,552.2
246.0,552.2
245.8,552.0
245.0,551.2
244.8,551.0
244.0,550.2
243.8,550.0
243.8,549.0
243.0,548.2
242.8,548.0
242.0,547.2
241.8,547.0
241.8,546.0
241.8,545.0
241.0,544.2
240.8,544.0
240.0,543.2
239.0,543.2
238.0,543.2
237.0,543.2
236.0,543.2
235.0,543.2
234.0,543.2
233.2,544.0
233.0,544.2
232.0,544.2
231.8,544.0
231.8,543.0
231.0,542.2
230.8,542.0
230.8,541.0
230.0,540.2
229.8,540.0
229.8,539.0
229.8,538.0
229.8,537.0
229.0,536.2
228.8,536.0
228.8,535.0
228.0,534.2
227.8,534.0
227.8,533.0
227.0,532.2
226.8,532.0
226.8,531.0
226.0,530.2
225.8,530.0
225.0,529.2
224.8,529.0
224.8,528.0
224.8,527.0
224.8,526.0
224.8,525.0
224.0,524.2
223.8,524.0
223.0,523.2
222.8,523.0
222.8,522.0
222.8,521.0
222.8,520.0
222.8,519.0
222.8,518.0
222.0,517.2
221.8,517.0
221.8,516.0
221.8,515.0
221.8,514.0
221.8,513.0
221.0,512.2
220.8,512.0
220.8,511.0
220.0,510.2
219.8,510.0
219.8,509.0
219.8,508.0
219.0,507.2
218.8,507.0
218.8,506.0
218.0,505.2
217.8,505.0
217.8,504.0
217.8,503.0
217.0,502.2
216.8,502.0
216.8,501.0
216.8,500.0
216.8,499.0
216.8,498.0
216.0,497.2
215.8,497.0
215.8,496.0
215.0,495.2
214.8,495.0
214.0,494.2
213.0,494.2
212.8,494.0
212.8,493.0
212.0,492.2
211.8,492.0
211.8,491.0
211.0,490.2
210.8,490.0
210.0,489.2
209.8,489.0
209.0,488.2
208.8,488.0
208.8,487.0
208.0,486.2
207.8,486.0
207.8,485.0
207.0,484.2
206.8,484.0
206.0,483.2
205.8,483.0
205.8,482.0
205.8,481.0
205.8,480.0
205.8,479.0
205.8,478.0
205.8,477.0
205.8,476.0
205.8,475.0
205.8,474.0
205.8,473.0
205.8,472.0
205.8,471.0
205.8,470.0
205.8,469.0
205.8,468.0
205.8,467.0
205.8,466.0
205.0,465.2
204.8,465.0
204.8,464.0
204.8,463.0
204.0,462.2
203.8,462.0
203.8,461.0
203.8,460.0
203.8,459.0
203.8,458.0
203.8,457.0
203.8,456.0
203.8,455.0
203.8,454.0
203.0,453.2
202.8,453.0
202.8,452.0
202.8,451.0
202.8,450.0
202.8,449.0
202.8,448.0
202.8,447.0
202.0,446.2
201.0,446.2
200.0,446.2
199.0,446.2
198.0,446.2
197.2,447.0
197.0,447.2
196.2,448.0
196.0,448.2
195.2,449.0
195.0,449.2
194.8,449.0
194.0,448.2
193.0,448.2
192.8,448.0
192.0,447.2
191.0,447.2
190.8,447.0
190.8,446.0
190.8,445.0
190.0,444.2
189.8,444.0
189.8,443.0
189.8,442.0
189.8,441.0
189.8,440.0
189.8,439.0
189.8,438.0
189.8,437.0
189.8,436.0
189.8,435.0
189.8,434.0
190.0,433.8
190.8,433.0
190.8,432.0
190.0,431.2
189.8,431.0
189.8,430.0
189.8,429.0
189.8,428.0
189.8,427.0
189.8,426.0
189.8,425.0
189.8,424.0
190.0,423.8
190.8,423.0
190.8,422.0
190.8,421.0
190.8,420.0
190.8,419.0
190.0,418.2
189.8,418.0
189.8,417.0
189.8,416.0
189.8,415.0
189.8,414.0
190.0,413.8
190.8,413.0
190.0,412.2
189.8,412.0
189.8,411.0
189.8,410.0
190.0,409.8
190.8,409.0
191.0,408.8
192.0,408.8
193.0,408.8
194.0,408.8
195.0,408.8
196.0,408.8
197.0,408.8
198.0,408.8
198.8,408.0
198.8,407.0
198.0,406.2
197.8,406.0
198.0,405.8
198.8,405.0
198.0,404.2
197.2,405.0
197.0,405.2
196.8,405.0
196.0,404.2
195.0,404.2
194.8,404.0
194.0,403.2
193.0,403.2
192.0,403.2
191.0,403.2
190.0,403.2
189.8,403.0
189.8,402.0
189.8,401.0
189.8,400.0
189.8,399.0
189.8,398.0
189.0,397.2
188.8,397.0
188.8,396.0
188.0,395.2
187.0,395.2
186.0,395.2
185.0,395.2
184.0,395.2
183.2,396.0
183.0,396.2
182.2,397.0
182.0,397.2
181.2,398.0
181.0,398.2
180.0,398.2
179.0,398.2
178.0,398.2
177.0,398.2
