x,y
287.8,231.0
287.8,230.0
288.0,229.8
288.2,230.0
289.0,230.8
289.8,230.0
289.0,229.2
288.8,229.0
289.0,228.8
290.0,228.8
291.0,228.8
292.0,228.8
293.0,228.8
294.0,228.8
295.0,228.8
295.2,229.0
296.0,229.8
296.2,230.0
297.0,230.8
297.8,230.0
298.0,229.8
299.0,229.8
299.8,229.0
300.0,228.8
300.2,229.0
301.0,229.8
301.8,229.0
302.0,228.8
302.8,228.0
303.0,227.8
304.0,227.8
305.0,227.8
306.0,227.8
307.0,227.8
307.8,227.0
308.0,226.8
309.0,226.8
309.8,226.0
310.0,225.8
311.0,225.8
311.8,225.0
312.0,224.8
313.0,224.8
314.0,224.8
315.0,224.8
315.8,224.0
316.0,223.8
316.8,223.0
317.0,222.8
317.2,223.0
318.0,223.8
319.0,223.8
319.8,223.0
319.8,222.0
320.0,221.8
321.0,221.8
322.0,221.8
322.8,221.0
323.0,220.8
324.0,220.8
324.8,220.0
325.0,219.8
325.8,219.0
326.0,218.8
326.8,218.0
327.0,217.8
328.0,217.8
328.8,217.0
329.0,216.8
330.0,216.8
330.8,216.0
331.0,215.8
332.0,215.8
333.0,215.8
333.2,216.0
334.0,216.8
334.8,216.0
334.0,215.2
333.8,215.0
334.0,214.8
335.0,214.8
335.8,214.0
336.0,213.8
337.0,213.8
338.0,213.8
338.8,213.0
339.0,212.8
339.8,212.0
340.0,211.8
341.0,211.8
342.0,211.8
342.8,211.0
343.0,210.8
344.0,210.8
344.2,211.0
345.0,211.8
346.0,211.8
347.0,211.8
347.8,211.0
347.8,210.0
348.0,209.8
348.2,210.0
349.0,210.8
350.0,210.8
350.8,210.0
350.0,209.2
349.8,209.0
350.0,208.8
351.0,208.8
352.0,208.8
352.8,208.0
353.0,207.8
354.0,207.8
355.0,207.8
356.0,207.8
357.0,207.8
358.0,207.8
359.0,207.8
360.0,207.8
361.0,207.8
361.8,207.0
362.0,206.8
362.8,206.0
363.0,205.8
364.0,205.8
364.8,205.0
364.8,204.0
364.8,203.0
364.8,202.0
364.8,201.0
364.0,200.2
363.0,200.2
362.0,200.2
361.0,200.2
360.0,200.2
359.0,200.2
358.0,200.2
357.0,200.2
356.0,200.2
355.0,200.2
354.8,200.0
354.8,199.0
355.0,198.8
356.0,198.8
357.0,198.8
358.0,198.8
359.0,198.8
359.8,198.0
359.0,197.2
358.0,197.2
357.0,197.2
356.0,197.2
355.0,197.2
354.0,197.2
353.0,197.2
352.0,197.2
351.2,198.0
351.0,198.2
350.2,199.0
350.0,199.2
349.0,199.2
348.0,199.2
347.0,199.2
346.0,199.2
345.8,199.0
345.0,198.2
344.0,198.2
343.8,198.0
343.8,197.0
343.8,196.0
344.0,195.8
345.0,195.8
345.8,195.0
346.0,194.8
347.0,194.8
347.8,194.0
348.0,193.8
349.0,193.8
350.0,193.8
350.8,193.0
351.0,192.8
351.8,192.0
352.0,191.8
353.0,191.8
353.8,191.0
354.0,190.8
354.8,190.0
354.0,189.2
353.8,189.0
354.0,188.8
354.8,188.0
354.8,187.0
354.8,186.0
354.8,185.0
354.0,184.2
353.2,185.0
353.0,185.2
352.8,185.0
352.8,184.0
352.0,183.2
351.2,184.0
351.0,184.2
350.0,184.2
349.0,184.2
348.0,184.2
347.8,184.0
347.0,183.2
346.0,183.2
345.0,183.2
344.0,183.2
343.2,184.0
343.0,184.2
342.0,184.2
341.0,184.2
340.0,184.2
339.0,184.2
338.0,184.2
337.0,184.2
336.0,184.2
335.0,184.2
334.0,184.2
333.0,184.2
332.0,184.2
331.0,184.2
330.0,184.2
329.8,184.0
329.0,183.2
328.0,183.2
327.0,183.2
326.2,184.0
326.0,184.2
325.0,184.2
324.8,184.0
324.0,183.2
323.0,183.2
322.2,184.0
322.0,184.2
321.8,184.0
321.0,183.2
320.0,183.2
319.0,183.2
318.0,183.2
317.0,183.2
316.0,183.2
315.8,183.0
315.0,182.2
314.0,182.2
313.0,182.2
312.0,182.2
311.0,182.2
310.2,183.0
310.0,183.2
309.0,183.2
308.0,183.2
307.0,183.2
306.0,183.2
305.0,183.2
304.8,183.0
304.0,182.2
303.0,182.2
302.0,182.2
301.8,182.0
301.0,181.2
300.0,181.2
299.8,181.0
299.0,180.2
298.0,180.2
297.0,180.2
296.8,180.0
296.0,179.2
295.0,179.2
294.2,180.0
294.0,180.2
293.0,180.2
292.0,180.2
291.2,181.0
291.0,181.2
290.0,181.2
289.0,181.2
288.2,182.0
288.0,182.2
287.0,182.2
286.0,182.2
285.2,183.0
285.0,183.2
284.0,183.2
283.8,183.0
283.0,182.2
282.0,182.2
281.0,182.2
280.8,182.0
280.0,181.2
279.2,182.0
279.0,182.2
278.2,183.0
278.2,184.0
278.0,184.2
277.2,185.0
277.2,186.0
277.0,186.2
276.2,187.0
276.0,187.2
275.2,188.0
275.0,188.2
274.0,188.2
273.2,189.0
273.0,189.2
272.2,190.0
272.0,190.2
271.8,190.0
271.0,189.2
270.2,190.0
271.0,190.8
271.2,191.0
271.0,191.2
270.0,191.2
269.2,192.0
269.2,193.0
269.0,193.2
268.8,193.0
268.0,192.2
267.0,192.2
266.2,193.0
267.0,193.8
267.2,194.0
267.2,195.0
267.0,195.2
266.2,196.0
266.0,196.2
265.2,197.0
265.2,198.0
265.2,199.0
265.0,199.2
264.2,200.0
264.2,201.0
264.2,202.0
264.2,203.0
264.2,204.0
264.0,204.2
263.8,204.0
263.8,203.0
263.0,202.2
262.2,203.0
262.2,204.0
262.0,204.2
261.8,204.0
261.0,203.2
260.2,204.0
260.0,204.2
259.2,205.0
259.0,205.2
258.0,205.2
257.0,205.2
256.2,206.0
257.0,206.8
257.2,207.0
257.2,208.0
257.0,208.2
256.2,209.0
257.0,209.8
258.0,209.8
258.2,210.0
258.2,211.0
258.0,211.2
257.2,212.0
257.0,212.2
256.2,213.0
256.0,213.2
255.2,214.0
255.2,215.0
255.2,216.0
256.0,216.8
256.8,216.0
256.8,215.0
257.0,214.8
257.2,215.0
258.0,215.8
259.0,215.8
259.8,215.0
259.0,214.2
258.0,214.2
257.8,214.0
258.0,213.8
258.8,213.0
259.0,212.8
260.0,212.8
260.2,213.0
260.2,214.0
261.0,214.8
261.2,215.0
262.0,215.8
262.2,216.0
263.0,216.8
263.2,217.0
264.0,217.8
264.2,218.0
264.2,219.0
265.0,219.8
265.2,220.0
266.0,220.8
267.0,220.8
267.2,221.0
268.0,221.8
268.2,222.0
269.0,222.8
270.0,222.8
270.2,223.0
270.0,223.2
269.2,224.0
270.0,224.8
270.8,224.0
271.0,223.8
271.2,224.0
272.0,224.8
273.0,224.8
273.2,225.0
274.0,225.8
274.2,226.0
275.0,226.8
275.2,227.0
276.0,227.8
276.8,227.0
276.0,226.2
275.8,226.0
276.0,225.8
277.0,225.8
278.0,225.8
278.2,226.0
279.0,226.8
280.0,226.8
281.0,226.8
281.2,227.0
281.2,228.0
281.2,229.0
281.2,230.0
282.0,230.8
283.0,230.8
283.2,231.0
284.0,231.8
285.0,231.8
285.8,231.0
286.0,230.8
286.2,231.0
287.0,231.8
287.8,231.0
