x,y
311.8,345.0
312.0,344.8
313.0,344.8
314.0,344.8
314.8,344.0
315.0,343.8
315.8,343.0
316.0,342.8
316.8,342.0
317.0,341.8
318.0,341.8
318.8,341.0
318.8,340.0
318.8,339.0
319.0,338.8
319.8,338.0
319.0,337.2
318.8,337.0
318.8,336.0
318.0,335.2
317.8,335.0
317.8,334.0
317.8,333.0
317.0,332.2
316.8,332.0
316.0,331.2
315.8,331.0
315.0,330.2
314.8,330.0
314.8,329.0
314.8,328.0
314.8,327.0
314.0,326.2
313.8,326.0
313.8,325.0
313.8,324.0
314.0,323.8
314.2,324.0
315.0,324.8
316.0,324.8
317.0,324.8
317.2,325.0
318.0,325.8
318.2,326.0
319.0,326.8
319.2,327.0
320.0,327.8
320.2,328.0
320.2,329.0
321.0,329.8
322.0,329.8
322.2,330.0
323.0,330.8
324.0,330.8
325.0,330.8
325.2,331.0
326.0,331.8
327.0,331.8
328.0,331.8
329.0,331.8
329.2,332.0
330.0,332.8
331.0,332.8
332.0,332.8
333.0,332.8
334.0,332.8
334.2,333.0
335.0,333.8
335.2,334.0
336.0,334.8
337.0,334.8
338.0,334.8
339.0,334.8
339.8,334.0
339.8,333.0
340.0,332.8
340.8,332.0
341.0,331.8
341.8,331.0
341.8,330.0
342.0,329.8
342.8,329.0
342.8,328.0
343.0,327.8
343.8,327.0
343.8,326.0
344.0,325.8
344.8,325.0
345.0,324.8
345.8,324.0
345.8,323.0
346.0,322.8
346.8,322.0
346.8,321.0
347.0,320.8
347.8,320.0
347.8,319.0
348.0,318.8
348.8,318.0
349.0,317.8
349.8,317.0
349.8,316.0
350.0,315.8
350.8,315.0
351.0,314.8
351.8,314.0
352.0,313.8
352.8,313.0
352.8,312.0
352.8,311.0
353.0,310.8
353.8,310.0
353.8,309.0
353.0,308.2
352.8,308.0
352.8,307.0
352.8,306.0
352.8,305.0
352.0,304.2
351.8,304.0
351.8,303.0
351.0,302.2
350.8,302.0
350.8,301.0
350.0,300.2
349.8,300.0
349.0,299.2
348.8,299.0
348.0,298.2
347.8,298.0
347.0,297.2
346.8,297.0
346.8,296.0
346.0,295.2
345.0,295.2
344.0,295.2
343.0,295.2
342.0,295.2
341.0,295.2
340.0,295.2
339.0,295.2
338.0,295.2
337.0,295.2
336.8,295.0
336.8,294.0
337.0,293.8
337.8,293.0
337.8,292.0
337.8,291.0
337.8,290.0
338.0,289.8
338.8,289.0
338.8,288.0
338.8,287.0
338.8,286.0
338.8,285.0
339.0,284.8
339.8,284.0
339.8,283.0
339.8,282.0
339.0,281.2
338.0,281.2
337.8,281.0
337.0,280.2
336.0,280.2
335.8,280.0
335.0,279.2
334.0,279.2
333.0,279.2
332.8,279.0
332.0,278.2
331.8,278.0
331.8,277.0
331.8,276.0
332.0,275.8
332.8,275.0
332.8,274.0
332.8,273.0
332.0,272.2
331.8,272.0
331.8,271.0
331.0,270.2
330.0,270.2
329.0,270.2
328.8,270.0
328.0,269.2
327.0,269.2
326.2,270.0
326.0,270.2
325.0,270.2
324.0,270.2
323.0,270.2
322.8,270.0
322.8,269.0
322.8,268.0
322.8,267.0
322.0,266.2
321.8,266.0
321.0,265.2
320.8,265.0
320.0,264.2
319.0,264.2
318.0,264.2
317.0,264.2
316.0,264.2
315.0,264.2
314.2,265.0
314.0,265.2
313.0,265.2
312.0,265.2
311.2,266.0
311.0,266.2
310.0,266.2
309.2,267.0
309.0,267.2
308.0,267.2
307.0,267.2
306.0,267.2
305.8,267.0
305.0,266.2
304.0,266.2
303.0,266.2
302.0,266.2
301.0,266.2
300.0,266.2
299.0,266.2
298.0,266.2
297.2,267.0
297.0,267.2
296.2,268.0
296.0,268.2
295.2,269.0
295.0,269.2
294.0,269.2
293.2,270.0
293.0,270.2
292.0,270.2
291.0,270.2
290.0,270.2
289.0,270.2
288.0,270.2
287.2,271.0
287.0,271.2
286.2,272.0
286.0,272.2
285.2,273.0
285.2,274.0
285.2,275.0
285.2,276.0
286.0,276.8
286.2,277.0
286.2,278.0
286.0,278.2
285.0,278.2
284.0,278.2
283.0,278.2
282.2,279.0
282.0,279.2
281.0,279.2
280.0,279.2
279.0,279.2
278.2,280.0
278.0,280.2
277.2,281.0
277.2,282.0
277.2,283.0
277.0,283.2
276.2,284.0
276.2,285.0
277.0,285.8
277.2,286.0
277.2,287.0
277.2,288.0
277.0,288.2
276.0,288.2
275.0,288.2
274.0,288.2
273.0,288.2
272.2,289.0
272.0,289.2
271.0,289.2
270.2,290.0
270.0,290.2
269.0,290.2
268.2,291.0
268.0,291.2
267.2,292.0
267.2,293.0
267.2,294.0
267.2,295.0
267.2,296.0
268.0,296.8
268.2,297.0
268.2,298.0
269.0,298.8
269.2,299.0
269.2,300.0
270.0,300.8
270.2,301.0
271.0,301.8
271.2,302.0
271.2,303.0
271.0,303.2
270.2,304.0
270.2,305.0
270.0,305.2
269.2,306.0
269.0,306.2
268.2,307.0
268.2,308.0
268.2,309.0
268.2,310.0
268.2,311.0
268.2,312.0
268.2,313.0
268.2,314.0
268.2,315.0
268.2,316.0
268.2,317.0
269.0,317.8
269.2,318.0
270.0,318.8
271.0,318.8
272.0,318.8
273.0,318.8
274.0,318.8
275.0,318.8
276.0,318.8
276.2,319.0
276.0,319.2
275.2,320.0
275.2,321.0
275.0,321.2
274.2,322.0
274.2,323.0
274.0,323.2
273.2,324.0
273.2,325.0
273.0,325.2
272.2,326.0
272.2,327.0
272.2,328.0
273.0,328.8
273.2,329.0
274.0,329.8
274.2,330.0
275.0,330.8
275.2,331.0
275.2,332.0
276.0,332.8
276.2,333.0
277.0,333.8
