x,y
411.8,799.0
411.8,798.0
411.8,797.0
411.8,796.0
412.0,795.8
412.8,795.0
413.0,794.8
414.0,794.8
414.2,795.0
415.0,795.8
416.0,795.8
416.8,795.0
416.0,794.2
415.0,794.2
414.8,794.0
415.0,793.8
416.0,793.8
417.0,793.8
417.8,793.0
417.0,792.2
416.8,792.0
417.0,791.8
418.0,791.8
419.0,791.8
419.8,791.0
420.0,790.8
421.0,790.8
422.0,790.8
422.8,790.0
422.0,789.2
421.8,789.0
422.0,788.8
423.0,788.8
423.8,788.0
423.8,787.0
424.0,786.8
424.8,786.0
425.0,785.8
426.0,785.8
426.2,786.0
427.0,786.8
427.8,786.0
427.8,785.0
428.0,784.8
429.0,784.8
430.0,784.8
430.2,785.0
431.0,785.8
432.0,785.8
433.0,785.8
433.8,785.0
434.0,784.8
435.0,784.8
435.8,784.0
436.0,783.8
436.8,783.0
436.0,782.2
435.0,782.2
434.8,782.0
435.0,781.8
436.0,781.8
437.0,781.8
438.0,781.8
438.8,781.0
439.0,780.8
440.0,780.8
441.0,780.8
442.0,780.8
443.0,780.8
444.0,780.8
445.0,780.8
446.0,780.8
447.0,780.8
448.0,780.8
449.0,780.8
449.8,780.0
450.0,779.8
451.0,779.8
451.2,780.0
452.0,780.8
453.0,780.8
454.0,780.8
455.0,780.8
456.0,780.8
457.0,780.8
458.0,780.8
459.0,780.8
460.0,780.8
461.0,780.8
462.0,780.8
463.0,780.8
464.0,780.8
465.0,780.8
466.0,780.8
467.0,780.8
468.0,780.8
469.0,780.8
469.8,780.0
470.0,779.8
470.2,780.0
471.0,780.8
471.8,780.0
471.8,779.0
471.8,778.0
472.0,777.8
472.8,777.0
473.0,776.8
473.8,776.0
473.8,775.0
473.0,774.2
472.8,774.0
472.0,773.2
471.8,773.0
472.0,772.8
472.8,772.0
472.8,771.0
472.8,770.0
472.8,769.0
472.8,768.0
472.8,767.0
472.8,766.0
472.8,765.0
472.8,764.0
472.8,763.0
472.8,762.0
472.8,761.0
472.8,760.0
473.0,759.8
473.8,759.0
473.8,758.0
473.0,757.2
472.8,757.0
472.8,756.0
472.8,755.0
472.8,754.0
472.8,753.0
472.8,752.0
472.8,751.0
472.0,750.2
471.8,750.0
471.8,749.0
471.8,748.0
471.8,747.0
471.8,746.0
471.8,745.0
471.8,744.0
471.8,743.0
471.8,742.0
471.8,741.0
471.8,740.0
471.8,739.0
471.8,738.0
471.8,737.0
471.0,736.2
470.8,736.0
471.0,735.8
471.8,735.0
471.8,734.0
471.8,733.0
471.8,732.0
471.8,731.0
471.8,730.0
471.8,729.0
471.8,728.0
471.8,727.0
471.0,726.2
470.0,726.2
469.8,726.0
469.0,725.2
468.8,725.0
468.0,724.2
467.8,724.0
468.0,723.8
468.8,723.0
468.0,722.2
467.8,722.0
467.0,721.2
466.0,721.2
465.0,721.2
464.8,721.0
464.0,720.2
463.0,720.2
462.0,720.2
461.0,720.2
460.8,720.0
460.0,719.2
459.0,719.2
458.8,719.0
459.0,718.8
459.8,718.0
459.0,717.2
458.8,717.0
459.0,716.8
459.8,716.0
459.0,715.2
458.0,715.2
457.0,715.2
456.0,715.2
455.0,715.2
454.0,715.2
453.0,715.2
452.0,715.2
451.2,716.0
451.0,716.2
450.8,716.0
450.0,715.2
449.0,715.2
448.0,715.2
447.0,715.2
446.0,715.2
445.0,715.2
444.8,715.0
444.0,714.2
443.8,714.0
443.0,713.2
442.8,713.0
443.0,712.8
443.8,712.0
444.0,711.8
444.8,711.0
444.0,710.2
443.2,711.0
443.0,711.2
442.0,711.2
441.8,711.0
