x,y
130.8,489.0
131.0,488.8
131.8,488.0
131.8,487.0
131.8,486.0
131.8,485.0
132.0,484.8
133.0,484.8
133.8,484.0
134.0,483.8
134.8,483.0
135.0,482.8
135.8,482.0
135.8,481.0
136.0,480.8
136.8,480.0
137.0,479.8
137.8,479.0
137.8,478.0
138.0,477.8
138.8,477.0
139.0,476.8
139.8,476.0
140.0,475.8
140.8,475.0
141.0,474.8
141.8,474.0
142.0,473.8
142.8,473.0
143.0,472.8
143.8,472.0
144.0,471.8
145.0,471.8
145.8,471.0
146.0,470.8
146.8,470.0
147.0,469.8
148.0,469.8
148.8,469.0
149.0,468.8
149.8,468.0
150.0,467.8
150.8,467.0
151.0,466.8
151.8,466.0
152.0,465.8
153.0,465.8
153.8,465.0
154.0,464.8
155.0,464.8
155.8,464.0
156.0,463.8
157.0,463.8
157.8,463.0
158.0,462.8
159.0,462.8
160.0,462.8
160.8,462.0
161.0,461.8
161.8,461.0
162.0,460.8
162.8,460.0
163.0,459.8
164.0,459.8
164.8,459.0
165.0,458.8
166.0,458.8
167.0,458.8
167.8,458.0
168.0,457.8
169.0,457.8
169.8,457.0
170.0,456.8
171.0,456.8
172.0,456.8
172.8,456.0
173.0,455.8
173.8,455.0
174.0,454.8
175.0,454.8
175.8,454.0
176.0,453.8
177.0,453.8
178.0,453.8
178.8,453.0
179.0,452.8
180.0,452.8
180.8,452.0
181.0,451.8
181.8,451.0
182.0,450.8
183.0,450.8
183.8,450.0
184.0,449.8
184.8,449.0
185.0,448.8
186.0,448.8
186.8,448.0
187.0,447.8
187.8,447.0
188.0,446.8
189.0,446.8
189.8,446.0
190.0,445.8
190.8,445.0
191.0,444.8
191.8,444.0
192.0,443.8
192.8,443.0
193.0,442.8
193.8,442.0
194.0,441.8
194.8,441.0
194.8,440.0
195.0,439.8
195.8,439.0
196.0,438.8
196.8,438.0
196.8,437.0
197.0,436.8
197.8,436.0
198.0,435.8
198.8,435.0
199.0,434.8
199.8,434.0
199.8,433.0
200.0,432.8
200.8,432.0
201.0,431.8
201.8,431.0
202.0,430.8
202.8,430.0
202.8,429.0
202.8,428.0
203.0,427.8
203.8,427.0
203.8,426.0
204.0,425.8
204.8,425.0
204.8,424.0
205.0,423.8
205.8,423.0
205.8,422.0
205.8,421.0
205.8,420.0
206.0,419.8
206.8,419.0
206.8,418.0
206.8,417.0
206.8,416.0
206.8,415.0
206.8,414.0
206.8,413.0
206.8,412.0
206.0,411.2
205.8,411.0
205.8,410.0
205.0,409.2
204.8,409.0
204.8,408.0
204.8,407.0
204.8,406.0
204.8,405.0
204.8,404.0
204.8,403.0
205.0,402.8
205.8,402.0
205.8,401.0
205.8,400.0
206.0,399.8
206.8,399.0
206.8,398.0
206.8,397.0
206.8,396.0
206.8,395.0
206.8,394.0
206.0,393.2
205.8,393.0
205.0,392.2
204.8,392.0
204.8,391.0
204.0,390.2
203.8,390.0
203.0,389.2
202.8,389.0
202.0,388.2
201.0,388.2
200.0,388.2
199.0,388.2
198.2,389.0
198.0,389.2
197.0,389.2
196.2,390.0
196.0,390.2
195.0,390.2
194.0,390.2
193.0,390.2
192.8,390.0
192.0,389.2
191.8,389.0
191.0,388.2
190.0,388.2
189.8,388.0
189.0,387.2
188.0,387.2
187.8,387.0
187.0,386.2
186.0,386.2
185.0,386.2
184.0,386.2
183.0,386.2
182.0,386.2
181.0,386.2
180.0,386.2
179.0,386.2
178.0,386.2
177.0,386.2
176.2,387.0
176.0,387.2
175.0,387.2
174.2,388.0
174.0,388.2
173.0,388.2
172.0,388.2
171.2,389.0
171.0,389.2
170.0,389.2
169.2,390.0
169.0,390.2
168.2,391.0
168.0,391.2
167.2,392.0
167.0,392.2
166.2,393.0
166.0,393.2
165.0,393.2
164.2,394.0
164.0,394.2
163.2,395.0
163.0,395.2
162.2,396.0
162.0,396.2
161.2,397.0
161.0,397.2
160.2,398.0
160.0,398.2
159.2,399.0
159.0,399.2
158.2,400.0
158.0,400.2
157.2,401.0
157.0,401.2
156.2,402.0
156.0,402.2
155.2,403.0
155.0,403.2
154.2,404.0
154.0,404.2
153.2,405.0
153.0,405.2
152.2,406.0
152.0,406.2
151.2,407.0
151.2,408.0
151.0,408.2
150.2,409.0
150.0,409.2
149.2,410.0
149.0,410.2
148.2,411.0
148.2,412.0
148.2,413.0
148.0,413.2
147.2,414.0
147.0,414.2
146.2,415.0
146.2,416.0
146.0,416.2
145.2,417.0
145.0,417.2
144.2,418.0
144.2,419.0
144.0,419.2
143.2,420.0
143.2,421.0
143.0,421.2
142.2,422.0
142.0,422.2
141.2,423.0
141.2,424.0
141.0,424.2
140.2,425.0
140.0,425.2
139.2,426.0
139.2,427.0
139.0,427.2
138.2,428.0
138.2,429.0
138.0,429.2
137.2,430.0
137.0,430.2
136.2,431.0
136.2,432.0
136.0,432.2
135.2,433.0
135.2,434.0
135.0,434.2
134.2,435.0
134.2,436.0
134.0,436.2
133.2,437.0
133.0,437.2
132.2,438.0
132.0,438.2
131.2,439.0
131.2,440.0
131.2,441.0
131.0,441.2
130.2,442.0
130.2,443.0
130.0,443.2
129.2,444.0
129.2,445.0
129.0,445.2
128.2,446.0
128.0,446.2
127.2,447.0
127.2,448.0
127.0,448.2
126.2,449.0
126.2,450.0
126.0,450.2
125.2,451.0
125.2,452.0
125.0,452.2
124.0,452.2
123.2,453.0
123.0,453.2
122.2,454.0
122.0,454.2
121.2,455.0
121.0,455.2
120.2,456.0
120.0,456.2
119.2,457.0
119.0,457.2
118.2,458.0
118.0,458.2
117.2,459.0
117.2,460.0
117.2,461.0
118.0,461.8
118.2,462.0
119.0,462.8
120.0,462.8
121.0,462.8
121.8,462.0
122.0,461.8
123.0,461.8
123.2,462.0
123.2,463.0
124.0,463.8
124.2,464.0
125.0,464.8
125.2,465.0
126.0,465.8
126.2,466.0
126.2,467.0
126.0,467.2
125.2,468.0
125.2,469.0
125.2,470.0
125.2,471.0
126.0,471.8
126.2,472.0
126.2,473.0
127.0,473.8
127.2,474.0
127.2,475.0
128.0,475.8
128.2,476.0
128.2,477.0
128.2,478.0
128.2,479.0
128.2,480.0
128.0,480.2
127.2,481.0
127.2,482.0
127.2,483.0
127.0,483.2
126.2,484.0
126.2,485.0
126.2,486.0
126.2,487.0
126.2,488.0
127.0,488.8
128.0,488.8
128.2,489.0
129.0,489.8
130.0,489.8
130.8,489.0
