x,y
478.8,363.0
479.0,362.8
480.0,362.8
481.0,362.8
482.0,362.8
483.0,362.8
483.8,362.0
484.0,361.8
485.0,361.8
485.8,361.0
486.0,360.8
487.0,360.8
487.8,360.0
488.0,359.8
488.8,359.0
489.0,358.8
489.8,358.0
490.0,357.8
491.0,357.8
492.0,357.8
493.0,357.8
493.8,357.0
493.8,356.0
494.0,355.8
494.8,355.0
495.0,354.8
495.8,354.0
495.8,353.0
496.0,352.8
496.8,352.0
497.0,351.8
497.8,351.0
498.0,350.8
498.8,350.0
499.0,349.8
499.8,349.0
500.0,348.8
500.8,348.0
500.8,347.0
501.0,346.8
501.8,346.0
502.0,345.8
502.8,345.0
502.8,344.0
502.8,343.0
502.8,342.0
502.8,341.0
502.8,340.0
502.8,339.0
502.8,338.0
502.8,337.0
502.8,336.0
502.8,335.0
502.8,334.0
502.0,333.2
501.8,333.0
501.8,332.0
501.8,331.0
501.0,330.2
500.8,330.0
500.8,329.0
500.8,328.0
500.0,327.2
499.8,327.0
499.8,326.0
499.0,325.2
498.8,325.0
498.8,324.0
498.0,323.2
497.8,323.0
497.8,322.0
497.0,321.2
496.8,321.0
496.8,320.0
496.0,319.2
495.8,319.0
495.8,318.0
495.0,317.2
494.8,317.0
494.0,316.2
493.8,316.0
493.8,315.0
493.0,314.2
492.8,314.0
492.0,313.2
491.8,313.0
491.8,312.0
491.0,311.2
490.8,311.0
490.0,310.2
489.8,310.0
489.0,309.2
488.8,309.0
488.0,308.2
487.8,308.0
487.0,307.2
486.8,307.0
486.0,306.2
485.8,306.0
485.0,305.2
484.8,305.0
484.0,304.2
483.8,304.0
483.8,303.0
483.0,302.2
482.8,302.0
482.0,301.2
481.8,301.0
481.0,300.2
480.8,300.0
480.0,299.2
479.8,299.0
479.0,298.2
478.8,298.0
478.0,297.2
477.8,297.0
477.0,296.2
476.8,296.0
476.0,295.2
475.8,295.0
475.0,294.2
474.8,294.0
474.0,293.2
473.0,293.2
472.8,293.0
472.0,292.2
471.8,292.0
471.0,291.2
470.8,291.0
470.0,290.2
469.8,290.0
469.0,289.2
468.8,289.0
468.0,288.2
467.8,288.0
467.0,287.2
466.8,287.0
466.0,286.2
465.8,286.0
465.8,285.0
465.0,284.2
464.0,284.2
463.0,284.2
462.8,284.0
462.0,283.2
461.8,283.0
461.0,282.2
460.8,282.0
460.0,281.2
459.0,281.2
458.8,281.0
458.0,280.2
457.8,280.0
457.0,279.2
456.8,279.0
456.0,278.2
455.8,278.0
455.0,277.2
454.0,277.2
453.8,277.0
453.0,276.2
452.8,276.0
452.0,275.2
451.0,275.2
450.8,275.0
450.0,274.2
449.0,274.2
448.8,274.0
448.0,273.2
447.8,273.0
447.0,272.2
446.8,272.0
446.0,271.2
445.8,271.0
445.0,270.2
444.0,270.2
443.8,270.0
443.0,269.2
442.0,269.2
441.8,269.0
441.0,268.2
440.8,268.0
440.0,267.2
439.8,267.0
439.0,266.2
438.8,266.0
438.0,265.2
437.8,265.0
437.0,264.2
436.8,264.0
436.0,263.2
435.0,263.2
434.0,263.2
433.8,263.0
433.0,262.2
432.8,262.0
432.0,261.2
431.8,261.0
431.0,260.2
430.8,260.0
430.0,259.2
429.0,259.2
428.8,259.0
428.0,258.2
427.8,258.0
427.0,257.2
426.8,257.0
