x,y
662.8,175.0
662.0,174.2
661.0,174.2
660.0,174.2
659.8,174.0
660.0,173.8
661.0,173.8
662.0,173.8
663.0,173.8
663.8,173.0
664.0,172.8
664.8,172.0
665.0,171.8
666.0,171.8
666.8,171.0
667.0,170.8
667.8,170.0
667.8,169.0
667.0,168.2
666.8,168.0
666.0,167.2
665.8,167.0
666.0,166.8
666.8,166.0
667.0,165.8
667.8,165.0
667.8,164.0
668.0,163.8
668.8,163.0
668.8,162.0
669.0,161.8
669.2,162.0
670.0,162.8
670.8,162.0
670.0,161.2
669.8,161.0
670.0,160.8
670.8,160.0
671.0,159.8
671.8,159.0
671.0,158.2
670.8,158.0
671.0,157.8
672.0,157.8
672.8,157.0
672.8,156.0
672.8,155.0
673.0,154.8
674.0,154.8
674.8,154.0
674.8,153.0
674.8,152.0
675.0,151.8
675.8,151.0
675.8,150.0
676.0,149.8
676.8,149.0
676.8,148.0
677.0,147.8
678.0,147.8
679.0,147.8
679.8,147.0
680.0,146.8
680.2,147.0
681.0,147.8
681.8,147.0
681.0,146.2
680.8,146.0
680.0,145.2
679.8,145.0
679.8,144.0
680.0,143.8
680.8,143.0
680.8,142.0
680.8,141.0
681.0,140.8
681.8,140.0
681.8,139.0
681.0,138.2
680.8,138.0
680.0,137.2
679.8,137.0
679.8,136.0
679.0,135.2
678.0,135.2
677.8,135.0
678.0,134.8
679.0,134.8
680.0,134.8
680.2,135.0
680.2,136.0
681.0,136.8
681.8,136.0
681.8,135.0
681.0,134.2
680.8,134.0
680.0,133.2
679.8,133.0
679.8,132.0
680.0,131.8
680.8,131.0
680.8,130.0
681.0,129.8
681.8,129.0
682.0,128.8
683.0,128.8
684.0,128.8
684.8,128.0
684.8,127.0
685.0,126.8
686.0,126.8
686.8,126.0
686.8,125.0
686.8,124.0
686.8,123.0
686.8,122.0
686.8,121.0
686.8,120.0
686.8,119.0
686.8,118.0
686.8,117.0
686.8,116.0
686.8,115.0
686.8,114.0
686.8,113.0
686.8,112.0
686.8,111.0
686.8,110.0
686.0,109.2
685.8,109.0
686.0,108.8
686.8,108.0
686.0,107.2
685.8,107.0
685.0,106.2
684.8,106.0
685.0,105.8
685.8,105.0
686.0,104.8
686.8,104.0
686.8,103.0
687.0,102.8
688.0,102.8
688.2,103.0
688.0,103.2
687.2,104.0
688.0,104.8
688.8,104.0
689.0,103.8
689.2,104.0
690.0,104.8
690.8,104.0
691.0,103.8
691.8,103.0
691.8,102.0
691.0,101.2
690.8,101.0
690.8,100.0
691.0,99.8
691.8,99.0
691.0,98.2
690.8,98.0
690.0,97.2
689.8,97.0
689.8,96.0
690.0,95.8
691.0,95.8
691.8,95.0
691.8,94.0
691.0,93.2
690.8,93.0
690.8,92.0
690.8,91.0
690.8,90.0
690.8,89.0
690.8,88.0
690.8,87.0
691.0,86.8
691.8,86.0
691.0,85.2
690.0,85.2
689.0,85.2
688.2,86.0
688.0,86.2
687.8,86.0
687.0,85.2
686.8,85.0
686.8,84.0
686.8,83.0
686.8,82.0
686.8,81.0
686.8,80.0
686.8,79.0
686.0,78.2
685.8,78.0
686.0,77.8
686.8,77.0
686.0,76.2
685.8,76.0
685.8,75.0
686.0,74.8
686.8,74.0
686.8,73.0
686.8,72.0
686.8,71.0
686.0,70.2
685.8,70.0
686.0,69.8
686.8,69.0
686.8,68.0
686.8,67.0
686.0,66.2
685.0,66.2
684.2,67.0
684.0,67.2
683.8,67.0
683.0,66.2
682.0,66.2
681.0,66.2
680.8,66.0
680.0,65.2
679.0,65.2
678.0,65.2
677.8,65.0
678.0,64.8
679.0,64.8
680.0,64.8
680.8,64.0
680.0,63.2
679.8,63.0
679.8,62.0
680.0,61.8
680.2,62.0
681.0,62.8
681.8,62.0
681.8,61.0
681.0,60.2
680.8,60.0
680.8,59.0
680.8,58.0
680.8,57.0
681.0,56.8
681.8,56.0
681.8,55.0
681.8,54.0
681.8,53.0
681.0,52.2
680.8,52.0
680.0,51.2
679.0,51.2
