x,y
501.8,201.0
502.0,200.8
502.8,200.0
503.0,199.8
503.8,199.0
504.0,198.8
504.2,199.0
505.0,199.8
505.8,199.0
506.0,198.8
506.8,198.0
507.0,197.8
508.0,197.8
509.0,197.8
509.2,198.0
509.2,199.0
510.0,199.8
511.0,199.8
511.8,199.0
511.8,198.0
512.0,197.8
513.0,197.8
513.8,197.0
513.8,196.0
514.0,195.8
514.8,195.0
514.8,194.0
515.0,193.8
515.8,193.0
516.0,192.8
516.8,192.0
516.8,191.0
517.0,190.8
517.8,190.0
518.0,189.8
518.2,190.0
519.0,190.8
519.8,190.0
519.8,189.0
520.0,188.8
521.0,188.8
522.0,188.8
523.0,188.8
524.0,188.8
524.8,188.0
524.8,187.0
525.0,186.8
526.0,186.8
527.0,186.8
528.0,186.8
529.0,186.8
529.8,186.0
530.0,185.8
531.0,185.8
531.8,185.0
532.0,184.8
532.2,185.0
533.0,185.8
533.8,185.0
534.0,184.8
534.8,184.0
534.0,183.2
533.8,183.0
533.0,182.2
532.0,182.2
531.8,182.0
532.0,181.8
533.0,181.8
534.0,181.8
534.8,181.0
535.0,180.8
536.0,180.8
537.0,180.8
537.8,180.0
537.8,179.0
538.0,178.8
539.0,178.8
539.8,178.0
540.0,177.8
541.0,177.8
541.8,177.0
542.0,176.8
543.0,176.8
544.0,176.8
544.8,176.0
545.0,175.8
546.0,175.8
547.0,175.8
547.2,176.0
548.0,176.8
549.0,176.8
550.0,176.8
550.8,176.0
551.0,175.8
552.0,175.8
552.8,175.0
552.8,174.0
552.0,173.2
551.0,173.2
550.8,173.0
551.0,172.8
552.0,172.8
553.0,172.8
553.8,172.0
554.0,171.8
555.0,171.8
556.0,171.8
557.0,171.8
558.0,171.8
559.0,171.8
559.8,171.0
560.0,170.8
561.0,170.8
561.2,171.0
562.0,171.8
562.8,171.0
562.0,170.2
561.8,170.0
562.0,169.8
562.8,169.0
562.8,168.0
563.0,167.8
563.8,167.0
564.0,166.8
565.0,166.8
566.0,166.8
567.0,166.8
568.0,166.8
569.0,166.8
569.8,166.0
570.0,165.8
571.0,165.8
571.8,165.0
571.8,164.0
572.0,163.8
572.8,163.0
573.0,162.8
573.8,162.0
574.0,161.8
575.0,161.8
576.0,161.8
577.0,161.8
578.0,161.8
579.0,161.8
580.0,161.8
581.0,161.8
582.0,161.8
582.8,161.0
582.0,160.2
581.8,160.0
581.8,159.0
582.0,158.8
582.8,158.0
582.8,157.0
583.0,156.8
583.2,157.0
583.2,158.0
584.0,158.8
585.0,158.8
586.0,158.8
586.8,158.0
587.0,157.8
587.8,157.0
587.8,156.0
587.0,155.2
586.0,155.2
585.8,155.0
585.8,154.0
586.0,153.8
586.8,153.0
587.0,152.8
588.0,152.8
589.0,152.8
589.8,152.0
589.8,151.0
590.0,150.8
591.0,150.8
591.8,150.0
591.8,149.0
591.8,148.0
592.0,147.8
593.0,147.8
594.0,147.8
594.8,147.0
595.0,146.8
595.2,147.0
596.0,147.8
596.8,147.0
597.0,146.8
598.0,146.8
598.8,146.0
598.0,145.2
597.0,145.2
596.8,145.0
597.0,144.8
597.8,144.0
598.0,143.8
598.8,143.0
599.0,142.8
600.0,142.8
601.0,142.8
601.8,142.0
601.0,141.2
600.8,141.0
601.0,140.8
601.8,140.0
601.8,139.0
602.0,138.8
602.2,139.0
603.0,139.8
604.0,139.8
605.0,139.8
605.8,139.0
606.0,138.8
606.8,138.0
606.8,137.0
606.8,136.0
606.8,135.0
606.8,134.0
607.0,133.8
607.8,133.0
607.8,132.0
608.0,131.8
