x,y
976.8,774.0
977.0,773.8
977.8,773.0
978.0,772.8
979.0,772.8
980.0,772.8
980.8,772.0
980.8,771.0
981.0,770.8
982.0,770.8
982.8,770.0
983.0,769.8
983.8,769.0
983.8,768.0
984.0,767.8
985.0,767.8
986.0,767.8
986.8,767.0
987.0,766.8
987.8,766.0
988.0,765.8
988.8,765.0
989.0,764.8
989.8,764.0
990.0,763.8
990.8,763.0
991.0,762.8
991.8,762.0
992.0,761.8
992.8,761.0
992.8,760.0
992.8,759.0
993.0,758.8
994.0,758.8
994.8,758.0
994.8,757.0
994.8,756.0
994.0,755.2
993.8,755.0
994.0,754.8
995.0,754.8
996.0,754.8
996.8,754.0
997.0,753.8
997.8,753.0
998.0,752.8
999.0,752.8
1000.0,752.8
1000.8,752.0
1001.0,751.8
1001.8,751.0
1001.8,750.0
1002.0,749.8
1003.0,749.8
1003.8,749.0
1003.8,748.0
1004.0,747.8
1004.8,747.0
1005.0,746.8
1006.0,746.8
1006.8,746.0
1006.8,745.0
1007.0,744.8
1007.8,744.0
1008.0,743.8
1009.0,743.8
1009.8,743.0
1009.8,742.0
1010.0,741.8
1011.0,741.8
1011.8,741.0
1012.0,740.8
1012.8,740.0
1012.8,739.0
1013.0,738.8
1014.0,738.8
1014.8,738.0
1014.8,737.0
1014.8,736.0
1015.0,735.8
1015.8,735.0
1016.0,734.8
1016.8,734.0
1017.0,733.8
1017.8,733.0
1018.0,732.8
1018.8,732.0
1018.8,731.0
1018.8,730.0
1019.0,729.8
1020.0,729.8
1020.8,729.0
1021.0,728.8
1022.0,728.8
1023.0,728.8
1024.0,728.8
1025.0,728.8
1026.0,728.8
1026.2,729.0
1027.0,729.8
1028.0,729.8
1028.2,730.0
1029.0,730.8
1029.2,731.0
1030.0,731.8
1031.0,731.8
1031.2,732.0
1032.0,732.8
1033.0,732.8
1034.0,732.8
1034.2,733.0
1035.0,733.8
1035.2,734.0
1036.0,734.8
1036.2,735.0
1037.0,735.8
1037.2,736.0
1038.0,736.8
1038.2,737.0
1039.0,737.8
1039.2,738.0
1040.0,738.8
1040.2,739.0
1041.0,739.8
1041.2,740.0
1042.0,740.8
1042.2,741.0
1043.0,741.8
1043.2,742.0
1044.0,742.8
1044.2,743.0
1045.0,743.8
1045.2,744.0
1046.0,744.8
1046.2,745.0
1047.0,745.8
1047.2,746.0
1048.0,746.8
1048.2,747.0
1049.0,747.8
1049.2,748.0
1050.0,748.8
1050.2,749.0
1051.0,749.8
1052.0,749.8
1053.0,749.8
1054.0,749.8
1055.0,749.8
1056.0,749.8
1056.8,749.0
1056.8,748.0
1056.8,747.0
1056.8,746.0
1057.0,745.8
1058.0,745.8
1059.0,745.8
1060.0,745.8
1061.0,745.8
1061.8,745.0
1062.0,744.8
1063.0,744.8
1064.0,744.8
1064.2,745.0
1065.0,745.8
1066.0,745.8
1066.8,745.0
1067.0,744.8
1067.8,744.0
1067.8,743.0
1067.8,742.0
1067.8,741.0
1067.8,740.0
1067.8,739.0
1067.8,738.0
1068.0,737.8
1069.0,737.8
1070.0,737.8
1071.0,737.8
1072.0,737.8
1073.0,737.8
1073.8,737.0
1073.8,736.0
1074.0,735.8
1075.0,735.8
1075.8,735.0
1075.8,734.0
1075.8,733.0
1075.8,732.0
1075.8,731.0
1075.0,730.2
1074.8,730.0
1074.0,729.2
1073.8,729.0
1074.0,728.8
1074.8,728.0
1075.0,727.8
1075.8,727.0
1075.8,726.0
1075.8,725.0
1076.0,724.8
1076.8,724.0
1076.8,723.0
1076.8,722.0
1076.0,721.2
1075.8,721.0
1075.8,720.0
1075.8,719.0
1075.8,718.0
1075.8,717.0
1075.8,716.0
1075.8,715.0
1075.0,714.2
1074.8,714.0
1074.0,713.2
1073.0,713.2
1072.8,713.0
1073.0,712.8
1074.0,712.8
1075.0,712.8
1075.8,712.0
1076.0,711.8
1076.8,711.0
1076.8,710.0
1077.0,709.8
1078.0,709.8
1078.8,709.0
1078.8,708.0
1078.8,707.0
1078.8,706.0
1078.8,705.0
1078.8,704.0
1078.0,703.2
1077.0,703.2
1076.8,703.0
1077.0,702.8
1077.8,702.0
1078.0,701.8
1078.8,701.0
1079.0,700.8
1079.8,700.0
1080.0,699.8
1080.8,699.0
1081.0,698.8
1081.8,698.0
1082.0,697.8
1082.8,697.0
1082.8,696.0
1082.8,695.0
1082.8,694.0
1082.8,693.0
