x,y
163.8,187.0
164.0,186.8
164.8,186.0
165.0,185.8
165.8,185.0
166.0,184.8
166.8,184.0
166.8,183.0
167.0,182.8
167.8,182.0
167.0,181.2
166.8,181.0
166.0,180.2
165.8,180.0
165.8,179.0
166.0,178.8
166.8,178.0
166.0,177.2
165.8,177.0
166.0,176.8
166.8,176.0
166.8,175.0
166.8,174.0
166.8,173.0
167.0,172.8
167.8,172.0
167.8,171.0
167.8,170.0
167.0,169.2
166.8,169.0
166.8,168.0
166.8,167.0
166.8,166.0
166.0,165.2
165.8,165.0
165.8,164.0
165.8,163.0
165.8,162.0
165.8,161.0
165.8,160.0
165.0,159.2
164.8,159.0
164.0,158.2
163.0,158.2
162.8,158.0
162.0,157.2
161.8,157.0
161.0,156.2
160.8,156.0
160.8,155.0
160.0,154.2
159.8,154.0
159.8,153.0
159.8,152.0
159.0,151.2
158.0,151.2
157.0,151.2
156.8,151.0
156.0,150.2
155.0,150.2
154.0,150.2
153.0,150.2
152.2,151.0
152.0,151.2
151.2,152.0
151.0,152.2
150.2,153.0
150.0,153.2
149.2,154.0
149.2,155.0
149.0,155.2
148.2,156.0
148.2,157.0
148.0,157.2
147.2,158.0
147.0,158.2
146.2,159.0
146.2,160.0
146.0,160.2
145.2,161.0
145.0,161.2
144.2,162.0
144.0,162.2
143.2,163.0
143.0,163.2
142.2,164.0
142.0,164.2
141.0,164.2
140.2,165.0
140.0,165.2
139.0,165.2
138.2,166.0
138.0,166.2
137.0,166.2
136.2,167.0
136.0,167.2
135.0,167.2
134.2,168.0
134.0,168.2
133.2,169.0
133.0,169.2
132.2,170.0
132.2,171.0
132.0,171.2
131.2,172.0
131.0,172.2
130.0,172.2
129.0,172.2
128.2,173.0
128.2,174.0
128.0,174.2
127.2,175.0
127.2,176.0
127.0,176.2
126.2,177.0
126.0,177.2
125.2,178.0
125.0,178.2
124.2,179.0
124.2,180.0
124.2,181.0
124.2,182.0
124.2,183.0
125.0,183.8
125.2,184.0
126.0,184.8
127.0,184.8
128.0,184.8
128.8,184.0
129.0,183.8
130.0,183.8
131.0,183.8
131.8,183.0
132.0,182.8
133.0,182.8
134.0,182.8
135.0,182.8
135.2,183.0
136.0,183.8
136.8,183.0
137.0,182.8
138.0,182.8
139.0,182.8
139.8,182.0
140.0,181.8
140.8,181.0
141.0,180.8
142.0,180.8
143.0,180.8
143.8,180.0
144.0,179.8
145.0,179.8
146.0,179.8
147.0,179.8
148.0,179.8
149.0,179.8
150.0,179.8
150.2,180.0
151.0,180.8
151.2,181.0
152.0,181.8
152.2,182.0
153.0,182.8
154.0,182.8
154.2,183.0
155.0,183.8
155.2,184.0
156.0,184.8
157.0,184.8
157.2,185.0
158.0,185.8
159.0,185.8
159.2,186.0
160.0,186.8
161.0,186.8
162.0,186.8
162.2,187.0
163.0,187.8
163.8,187.0
