x,y
529.8,387.0
529.8,386.0
529.8,385.0
529.8,384.0
529.8,383.0
529.8,382.0
529.8,381.0
529.8,380.0
529.8,379.0
529.8,378.0
529.8,377.0
529.8,376.0
529.8,375.0
529.8,374.0
529.8,373.0
529.8,372.0
529.8,371.0
529.8,370.0
529.8,369.0
529.8,368.0
529.8,367.0
529.8,366.0
529.8,365.0
529.8,364.0
529.8,363.0
529.8,362.0
529.8,361.0
529.8,360.0
529.8,359.0
529.8,358.0
529.0,357.2
528.8,357.0
528.8,356.0
528.8,355.0
528.8,354.0
528.0,353.2
527.8,353.0
527.8,352.0
527.8,351.0
527.8,350.0
527.0,349.2
526.8,349.0
526.8,348.0
526.0,347.2
525.0,347.2
524.8,347.0
524.0,346.2
523.8,346.0
523.8,345.0
523.8,344.0
523.0,343.2
522.8,343.0
522.0,342.2
521.8,342.0
521.8,341.0
521.8,340.0
521.0,339.2
520.8,339.0
520.0,338.2
519.8,338.0
519.8,337.0
519.0,336.2
518.8,336.0
518.0,335.2
517.8,335.0
517.0,334.2
516.0,334.2
515.0,334.2
514.0,334.2
513.0,334.2
512.0,334.2
511.0,334.2
510.8,334.0
510.0,333.2
509.0,333.2
508.0,333.2
507.0,333.2
506.8,333.0
506.0,332.2
505.0,332.2
504.0,332.2
503.0,332.2
502.8,332.0
502.0,331.2
501.0,331.2
500.0,331.2
499.8,331.0
499.0,330.2
498.0,330.2
497.0,330.2
496.0,330.2
495.0,330.2
494.0,330.2
493.0,330.2
492.8,330.0
492.0,329.2
491.0,329.2
490.0,329.2
489.0,329.2
488.0,329.2
487.0,329.2
486.0,329.2
485.0,329.2
484.2,330.0
484.2,331.0
485.0,331.8
486.0,331.8
486.2,332.0
487.0,332.8
488.0,332.8
488.2,333.0
489.0,333.8
489.2,334.0
490.0,334.8
491.0,334.8
491.2,335.0
492.0,335.8
492.2,336.0
493.0,336.8
493.2,337.0
494.0,337.8
494.2,338.0
495.0,338.8
495.2,339.0
496.0,339.8
496.2,340.0
496.2,341.0
496.2,342.0
496.2,343.0
496.2,344.0
496.2,345.0
497.0,345.8
497.2,346.0
497.2,347.0
498.0,347.8
498.2,348.0
498.2,349.0
498.2,350.0
499.0,350.8
499.2,351.0
499.2,352.0
499.2,353.0
500.0,353.8
500.2,354.0
500.2,355.0
500.2,356.0
500.2,357.0
500.2,358.0
500.2,359.0
500.2,360.0
500.2,361.0
501.0,361.8
502.0,361.8
502.2,362.0
503.0,362.8
503.2,363.0
504.0,363.8
504.2,364.0
505.0,364.8
505.2,365.0
505.2,366.0
506.0,366.8
506.2,367.0
506.2,368.0
507.0,368.8
507.2,369.0
508.0,369.8
508.2,370.0
509.0,370.8
509.2,371.0
510.0,371.8
510.2,372.0
511.0,372.8
511.2,373.0
512.0,373.8
513.0,373.8
513.2,374.0
513.2,375.0
514.0,375.8
515.0,375.8
515.2,376.0
515.2,377.0
516.0,377.8
516.2,378.0
516.2,379.0
517.0,379.8
517.2,380.0
518.0,380.8
518.2,381.0
519.0,381.8
519.2,382.0
519.2,383.0
520.0,383.8
520.2,384.0
521.0,384.8
521.2,385.0
521.2,386.0
522.0,386.8
522.2,387.0
