x,y
118.8,492.0
118.8,491.0
118.8,490.0
119.0,489.8
119.8,489.0
119.8,488.0
119.8,487.0
119.8,486.0
120.0,485.8
120.8,485.0
120.8,484.0
121.0,483.8
121.8,483.0
121.8,482.0
122.0,481.8
122.8,481.0
122.8,480.0
122.8,479.0
123.0,478.8
123.8,478.0
123.8,477.0
124.0,476.8
124.8,476.0
124.8,475.0
125.0,474.8
125.8,474.0
125.8,473.0
125.8,472.0
125.8,471.0
125.8,470.0
125.8,469.0
126.0,468.8
126.8,468.0
126.8,467.0
126.8,466.0
126.8,465.0
126.8,464.0
126.8,463.0
126.8,462.0
126.8,461.0
126.8,460.0
126.8,459.0
126.8,458.0
126.8,457.0
127.0,456.8
127.8,456.0
127.8,455.0
127.8,454.0
127.8,453.0
127.8,452.0
127.8,451.0
127.8,450.0
127.8,449.0
127.8,448.0
127.8,447.0
127.8,446.0
127.8,445.0
127.8,444.0
127.8,443.0
127.8,442.0
127.8,441.0
127.0,440.2
126.8,440.0
126.8,439.0
126.8,438.0
126.8,437.0
126.8,436.0
126.8,435.0
126.0,434.2
125.8,434.0
125.8,433.0
125.8,432.0
125.8,431.0
125.0,430.2
124.8,430.0
124.8,429.0
124.8,428.0
124.8,427.0
124.8,426.0
124.8,425.0
124.0,424.2
123.8,424.0
123.8,423.0
123.8,422.0
123.8,421.0
123.8,420.0
123.8,419.0
123.0,418.2
122.8,418.0
122.8,417.0
122.8,416.0
122.8,415.0
122.8,414.0
122.0,413.2
121.8,413.0
121.8,412.0
121.8,411.0
121.0,410.2
120.8,410.0
120.8,409.0
120.0,408.2
119.8,408.0
119.0,407.2
118.8,407.0
118.8,406.0
118.0,405.2
117.2,406.0
117.0,406.2
116.2,407.0
117.0,407.8
117.2,408.0
117.2,409.0
117.2,410.0
117.2,411.0
117.2,412.0
118.0,412.8
118.2,413.0
118.2,414.0
118.2,415.0
118.2,416.0
119.0,416.8
119.2,417.0
119.2,418.0
119.2,419.0
119.2,420.0
119.2,421.0
119.2,422.0
119.2,423.0
119.2,424.0
119.2,425.0
119.2,426.0
119.2,427.0
119.2,428.0
119.2,429.0
119.2,430.0
119.2,431.0
119.2,432.0
119.2,433.0
119.2,434.0
119.2,435.0
119.2,436.0
119.0,436.2
118.2,437.0
118.2,438.0
118.2,439.0
118.0,439.2
117.2,440.0
117.2,441.0
117.0,441.2
116.2,442.0
116.2,443.0
116.2,444.0
116.0,444.2
115.2,445.0
115.2,446.0
115.2,447.0
115.0,447.2
114.2,448.0
114.2,449.0
114.2,450.0
114.2,451.0
114.0,451.2
113.2,452.0
113.2,453.0
113.2,454.0
113.2,455.0
113.0,455.2
112.2,456.0
112.2,457.0
112.2,458.0
112.0,458.2
111.2,459.0
111.2,460.0
111.0,460.2
110.2,461.0
110.2,462.0
110.0,462.2
109.2,463.0
109.2,464.0
109.2,465.0
109.0,465.2
108.2,466.0
108.2,467.0
108.0,467.2
107.2,468.0
107.2,469.0
107.2,470.0
107.2,471.0
107.0,471.2
106.2,472.0
106.2,473.0
106.2,474.0
106.0,474.2
105.2,475.0
105.2,476.0
105.2,477.0
105.2,478.0
105.2,479.0
105.2,480.0
105.2,481.0
105.2,482.0
105.2,483.0
105.0,483.2
104.2,484.0
104.2,485.0
104.2,486.0
104.2,487.0
104.2,488.0
105.0,488.8
106.0,488.8
107.0,488.8
107.2,489.0
108.0,489.8
109.0,489.8
109.2,490.0
110.0,490.8
111.0,490.8
111.2,491.0
112.0,491.8
113.0,491.8
113.2,492.0
114.0,492.8
115.0,492.8
116.0,492.8
117.0,492.8
118.0,492.8
118.8,492.0
