x,y
343.8,658.0
344.0,657.8
344.8,657.0
345.0,656.8
345.8,656.0
346.0,655.8
346.8,655.0
347.0,654.8
347.8,654.0
348.0,653.8
348.8,653.0
349.0,652.8
350.0,652.8
351.0,652.8
351.8,652.0
352.0,651.8
352.8,651.0
353.0,650.8
353.8,650.0
354.0,649.8
354.8,649.0
355.0,648.8
356.0,648.8
357.0,648.8
357.8,648.0
358.0,647.8
358.8,647.0
359.0,646.8
360.0,646.8
361.0,646.8
361.8,646.0
362.0,645.8
362.8,645.0
363.0,644.8
364.0,644.8
365.0,644.8
365.8,644.0
366.0,643.8
366.8,643.0
367.0,642.8
368.0,642.8
369.0,642.8
369.8,642.0
370.0,641.8
370.8,641.0
371.0,640.8
372.0,640.8
373.0,640.8
373.8,640.0
374.0,639.8
374.8,639.0
375.0,638.8
376.0,638.8
377.0,638.8
377.8,638.0
378.0,637.8
378.8,637.0
379.0,636.8
380.0,636.8
381.0,636.8
382.0,636.8
383.0,636.8
384.0,636.8
385.0,636.8
386.0,636.8
387.0,636.8
388.0,636.8
389.0,636.8
390.0,636.8
391.0,636.8
392.0,636.8
393.0,636.8
394.0,636.8
395.0,636.8
395.8,636.0
396.0,635.8
396.8,635.0
397.0,634.8
397.8,634.0
398.0,633.8
398.8,633.0
399.0,632.8
399.8,632.0
400.0,631.8
400.8,631.0
401.0,630.8
401.8,630.0
402.0,629.8
402.8,629.0
402.8,628.0
402.8,627.0
402.8,626.0
402.8,625.0
402.8,624.0
402.8,623.0
402.8,622.0
402.8,621.0
403.0,620.8
403.8,620.0
404.0,619.8
404.8,619.0
404.8,618.0
404.8,617.0
404.8,616.0
404.8,615.0
404.8,614.0
404.8,613.0
404.8,612.0
404.8,611.0
404.8,610.0
404.8,609.0
404.8,608.0
404.8,607.0
404.8,606.0
404.0,605.2
403.8,605.0
403.0,604.2
402.8,604.0
402.0,603.2
401.8,603.0
401.0,602.2
400.8,602.0
400.8,601.0
400.8,600.0
400.8,599.0
400.8,598.0
400.0,597.2
399.8,597.0
399.0,596.2
398.8,596.0
398.0,595.2
397.8,595.0
397.0,594.2
396.8,594.0
396.0,593.2
395.8,593.0
395.0,592.2
394.8,592.0
394.0,591.2
393.8,591.0
393.0,590.2
392.8,590.0
392.0,589.2
391.8,589.0
391.0,588.2
390.0,588.2
389.0,588.2
388.0,588.2
387.0,588.2
386.0,588.2
385.0,588.2
384.0,588.2
383.0,588.2
382.0,588.2
381.0,588.2
380.0,588.2
379.2,589.0
379.0,589.2
378.0,589.2
377.8,589.0
377.0,588.2
376.0,588.2
375.0,588.2
374.0,588.2
373.0,588.2
372.0,588.2
371.0,588.2
370.0,588.2
369.0,588.2
368.0,588.2
367.0,588.2
366.2,589.0
366.2,590.0
366.0,590.2
365.0,590.2
364.0,590.2
363.0,590.2
362.0,590.2
361.2,591.0
361.0,591.2
360.2,592.0
360.0,592.2
359.0,592.2
358.0,592.2
357.0,592.2
356.0,592.2
355.0,592.2
354.0,592.2
353.0,592.2
352.0,592.2
351.2,593.0
351.0,593.2
350.2,594.0
350.0,594.2
349.2,595.0
349.0,595.2
348.2,596.0
348.0,596.2
347.2,597.0
347.0,597.2
346.2,598.0
346.0,598.2
345.0,598.2
344.2,599.0
344.2,600.0
344.0,600.2
343.0,600.2
342.0,600.2
341.0,600.2
340.0,600.2
339.0,600.2
338.2,601.0
338.2,602.0
338.0,602.2
337.0,602.2
336.0,602.2
335.2,603.0
335.0,603.2
334.2,604.0
334.2,605.0
334.2,606.0
334.2,607.0
334.2,608.0
334.2,609.0
334.2,610.0
334.2,611.0
334.2,612.0
334.2,613.0
334.2,614.0
334.2,615.0
334.2,616.0
334.2,617.0
334.2,618.0
335.0,618.8
336.0,618.8
337.0,618.8
338.0,618.8
339.0,618.8
340.0,618.8
340.2,619.0
341.0,619.8
341.2,620.0
342.0,620.8
342.2,621.0
343.0,621.8
343.2,622.0
344.0,622.8
344.2,623.0
345.0,623.8
345.2,624.0
346.0,624.8
346.2,625.0
346.2,626.0
346.2,627.0
346.2,628.0
346.2,629.0
346.2,630.0
346.2,631.0
346.2,632.0
346.2,633.0
346.2,634.0
346.0,634.2
345.2,635.0
345.0,635.2
344.2,636.0
344.2,637.0
344.2,638.0
344.0,638.2
343.2,639.0
343.0,639.2
342.2,640.0
342.2,641.0
342.2,642.0
342.0,642.2
341.2,643.0
341.0,643.2
340.2,644.0
340.0,644.2
339.2,645.0
339.0,645.2
338.2,646.0
338.0,646.2
337.2,647.0
337.0,647.2
336.2,648.0
336.0,648.2
335.2,649.0
335.0,649.2
334.2,650.0
334.0,650.2
333.2,651.0
333.0,651.2
332.2,652.0
332.2,653.0
333.0,653.8
333.2,654.0
333.2,655.0
333.0,655.2
332.2,656.0
332.2,657.0
333.0,657.8
333.2,658.0
334.0,658.8
335.0,658.8
336.0,658.8
337.0,658.8
338.0,658.8
339.0,658.8
340.0,658.8
341.0,658.8
342.0,658.8
343.0,658.8
343.8,658.0
