x,y
392.8,494.0
393.0,493.8
394.0,493.8
395.0,493.8
396.0,493.8
397.0,493.8
397.8,493.0
398.0,492.8
399.0,492.8
400.0,492.8
400.8,492.0
401.0,491.8
402.0,491.8
403.0,491.8
404.0,491.8
404.8,491.0
405.0,490.8
406.0,490.8
407.0,490.8
408.0,490.8
408.8,490.0
409.0,489.8
410.0,489.8
411.0,489.8
412.0,489.8
412.8,489.0
413.0,488.8
414.0,488.8
415.0,488.8
415.8,488.0
416.0,487.8
417.0,487.8
417.8,487.0
418.0,486.8
418.8,486.0
418.8,485.0
418.8,484.0
419.0,483.8
419.8,483.0
419.8,482.0
419.8,481.0
419.8,480.0
420.0,479.8
420.8,479.0
420.8,478.0
420.8,477.0
421.0,476.8
421.8,476.0
421.8,475.0
421.8,474.0
421.8,473.0
421.8,472.0
421.8,471.0
421.8,470.0
421.0,469.2
420.8,469.0
420.8,468.0
420.0,467.2
419.0,467.2
418.8,467.0
418.0,466.2
417.0,466.2
416.0,466.2
415.8,466.0
415.0,465.2
414.0,465.2
413.0,465.2
412.8,465.0
412.0,464.2
411.0,464.2
410.0,464.2
409.8,464.0
409.0,463.2
408.0,463.2
407.0,463.2
406.2,464.0
406.0,464.2
405.2,465.0
405.0,465.2
404.2,466.0
404.2,467.0
404.0,467.2
403.2,468.0
403.0,468.2
402.2,469.0
402.0,469.2
401.2,470.0
401.0,470.2
400.2,471.0
400.0,471.2
399.2,472.0
399.0,472.2
398.2,473.0
398.0,473.2
397.2,474.0
397.0,474.2
396.2,475.0
396.0,475.2
395.2,476.0
395.0,476.2
394.2,477.0
394.0,477.2
393.2,478.0
393.0,478.2
392.2,479.0
392.2,480.0
392.0,480.2
391.2,481.0
391.2,482.0
391.0,482.2
390.2,483.0
390.2,484.0
390.2,485.0
390.0,485.2
389.2,486.0
389.2,487.0
389.2,488.0
389.2,489.0
389.2,490.0
389.2,491.0
389.2,492.0
389.2,493.0
389.2,494.0
390.0,494.8
391.0,494.8
392.0,494.8
392.8,494.0
