x,y
258.8,415.0
258.8,414.0
258.0,413.2
257.8,413.0
257.0,412.2
256.8,412.0
256.8,411.0
256.0,410.2
255.8,410.0
255.0,409.2
254.8,409.0
254.8,408.0
254.0,407.2
253.8,407.0
253.8,406.0
253.8,405.0
253.8,404.0
253.0,403.2
252.8,403.0
252.8,402.0
252.0,401.2
251.0,401.2
250.8,401.0
250.8,400.0
250.0,399.2
249.8,399.0
249.0,398.2
248.8,398.0
248.8,397.0
248.0,396.2
247.8,396.0
247.0,395.2
246.8,395.0
246.8,394.0
246.0,393.2
245.8,393.0
245.0,392.2
244.8,392.0
244.0,391.2
243.8,391.0
243.0,390.2
242.0,390.2
241.8,390.0
241.0,389.2
240.0,389.2
239.8,389.0
239.0,388.2
238.0,388.2
237.0,388.2
236.8,388.0
236.0,387.2
235.0,387.2
234.0,387.2
233.0,387.2
232.8,387.0
232.0,386.2
231.0,386.2
230.2,387.0
230.0,387.2
229.0,387.2
228.0,387.2
227.2,388.0
227.0,388.2
226.0,388.2
225.2,389.0
225.0,389.2
224.0,389.2
223.0,389.2
222.0,389.2
221.0,389.2
220.2,390.0
220.0,390.2
219.2,391.0
219.2,392.0
220.0,392.8
220.2,393.0
221.0,393.8
221.2,394.0
222.0,394.8
222.2,395.0
223.0,395.8
223.2,396.0
224.0,396.8
225.0,396.8
225.2,397.0
225.2,398.0
225.2,399.0
225.2,400.0
226.0,400.8
227.0,400.8
227.2,401.0
228.0,401.8
228.2,402.0
229.0,402.8
229.2,403.0
230.0,403.8
230.2,404.0
231.0,404.8
231.2,405.0
232.0,405.8
233.0,405.8
233.2,406.0
234.0,406.8
234.2,407.0
235.0,407.8
235.2,408.0
236.0,408.8
236.2,409.0
237.0,409.8
238.0,409.8
238.2,410.0
239.0,410.8
240.0,410.8
240.2,411.0
241.0,411.8
241.8,411.0
242.0,410.8
243.0,410.8
243.8,410.0
243.8,409.0
243.8,408.0
243.8,407.0
244.0,406.8
244.2,407.0
244.2,408.0
244.2,409.0
244.2,410.0
245.0,410.8
245.2,411.0
246.0,411.8
247.0,411.8
247.2,412.0
247.2,413.0
248.0,413.8
249.0,413.8
250.0,413.8
251.0,413.8
251.2,414.0
252.0,414.8
253.0,414.8
253.2,415.0
254.0,415.8
255.0,415.8
256.0,415.8
257.0,415.8
258.0,415.8
258.8,415.0
