x,y
550.2,0.0
550.2,1.0
550.0,1.2
549.2,2.0
549.2,3.0
549.2,4.0
549.2,5.0
550.0,5.8
550.2,6.0
550.2,7.0
550.2,8.0
550.2,9.0
551.0,9.8
552.0,9.8
553.0,9.8
553.2,10.0
553.2,11.0
553.2,12.0
554.0,12.8
555.0,12.8
555.2,13.0
555.2,14.0
555.0,14.2
554.8,14.0
554.0,13.2
553.2,14.0
554.0,14.8
554.2,15.0
555.0,15.8
555.8,15.0
556.0,14.8
556.2,15.0
556.2,16.0
556.2,17.0
556.2,18.0
557.0,18.8
557.2,19.0
557.0,19.2
556.2,20.0
557.0,20.8
558.0,20.8
558.2,21.0
559.0,21.8
559.2,22.0
559.2,23.0
560.0,23.8
560.2,24.0
561.0,24.8
562.0,24.8
562.2,25.0
562.2,26.0
563.0,26.8
563.2,27.0
563.2,28.0
564.0,28.8
565.0,28.8
565.2,29.0
566.0,29.8
566.2,30.0
566.2,31.0
567.0,31.8
568.0,31.8
569.0,31.8
569.2,32.0
570.0,32.8
571.0,32.8
571.8,32.0
572.0,31.8
572.8,31.0
573.0,30.8
573.2,31.0
574.0,31.8
575.0,31.8
575.8,31.0
575.8,30.0
575.8,29.0
575.8,28.0
575.8,27.0
575.8,26.0
575.8,25.0
576.0,24.8
576.8,24.0
577.0,23.8
578.0,23.8
578.8,23.0
578.8,22.0
578.8,21.0
578.8,20.0
578.8,19.0
578.8,18.0
578.8,17.0
578.8,16.0
578.8,15.0
578.8,14.0
578.8,13.0
578.8,12.0
578.8,11.0
578.8,10.0
578.8,9.0
578.0,8.2
577.8,8.0
578.0,7.8
578.8,7.0
579.0,6.8
579.8,6.0
579.0,5.2
578.8,5.0
578.0,4.2
577.0,4.2
576.8,4.0
576.8,3.0
576.8,2.0
576.0,1.2
575.8,1.0
575.8,0.0
