x,y
126.8,232.0
127.0,231.8
128.0,231.8
129.0,231.8
130.0,231.8
131.0,231.8
132.0,231.8
133.0,231.8
133.8,231.0
134.0,230.8
135.0,230.8
136.0,230.8
137.0,230.8
138.0,230.8
139.0,230.8
140.0,230.8
140.8,230.0
141.0,229.8
142.0,229.8
143.0,229.8
144.0,229.8
145.0,229.8
146.0,229.8
146.8,229.0
147.0,228.8
148.0,228.8
149.0,228.8
150.0,228.8
150.8,228.0
151.0,227.8
152.0,227.8
153.0,227.8
153.8,227.0
154.0,226.8
155.0,226.8
156.0,226.8
157.0,226.8
158.0,226.8
159.0,226.8
159.8,226.0
160.0,225.8
160.8,225.0
161.0,224.8
162.0,224.8
163.0,224.8
164.0,224.8
165.0,224.8
166.0,224.8
167.0,224.8
167.8,224.0
168.0,223.8
169.0,223.8
170.0,223.8
171.0,223.8
172.0,223.8
172.8,223.0
172.8,222.0
172.8,221.0
172.8,220.0
172.8,219.0
172.0,218.2
171.0,218.2
170.8,218.0
170.8,217.0
170.8,216.0
171.0,215.8
171.2,216.0
172.0,216.8
172.8,216.0
173.0,215.8
173.8,215.0
174.0,214.8
174.8,214.0
174.8,213.0
174.0,212.2
173.8,212.0
173.0,211.2
172.8,211.0
172.0,210.2
171.0,210.2
170.0,210.2
169.0,210.2
168.0,210.2
167.0,210.2
166.8,210.0
166.0,209.2
165.8,209.0
165.8,208.0
166.0,207.8
167.0,207.8
167.8,207.0
168.0,206.8
168.2,207.0
169.0,207.8
170.0,207.8
170.8,207.0
171.0,206.8
172.0,206.8
172.8,206.0
172.8,205.0
172.8,204.0
172.8,203.0
172.0,202.2
171.0,202.2
170.8,202.0
170.0,201.2
169.0,201.2
168.0,201.2
167.0,201.2
166.0,201.2
165.0,201.2
164.8,201.0
165.0,200.8
165.8,200.0
165.0,199.2
164.0,199.2
163.0,199.2
162.0,199.2
161.0,199.2
160.0,199.2
159.0,199.2
158.0,199.2
157.8,199.0
157.0,198.2
156.0,198.2
155.0,198.2
154.8,198.0
154.0,197.2
153.0,197.2
152.0,197.2
151.0,197.2
150.0,197.2
149.8,197.0
149.0,196.2
148.0,196.2
147.0,196.2
146.8,196.0
146.8,195.0
146.0,194.2
145.0,194.2
144.2,195.0
144.0,195.2
143.0,195.2
142.0,195.2
141.8,195.0
141.0,194.2
140.0,194.2
139.0,194.2
138.0,194.2
137.0,194.2
136.0,194.2
135.0,194.2
134.0,194.2
133.0,194.2
132.0,194.2
131.0,194.2
130.0,194.2
129.0,194.2
128.0,194.2
127.0,194.2
126.0,194.2
125.0,194.2
124.0,194.2
123.0,194.2
122.0,194.2
121.0,194.2
120.0,194.2
119.0,194.2
118.0,194.2
117.2,195.0
117.0,195.2
116.0,195.2
115.0,195.2
114.0,195.2
113.0,195.2
112.0,195.2
111.2,196.0
111.0,196.2
110.0,196.2
109.2,197.0
109.0,197.2
108.0,197.2
107.2,198.0
107.0,198.2
106.2,199.0
106.0,199.2
105.0,199.2
104.2,200.0
104.0,200.2
103.8,200.0
103.8,199.0
103.0,198.2
102.2,199.0
102.2,200.0
102.2,201.0
102.2,202.0
102.0,202.2
101.2,203.0
101.0,203.2
100.2,204.0
100.0,204.2
99.2,205.0
99.0,205.2
98.0,205.2
97.2,206.0
97.2,207.0
97.0,207.2
96.0,207.2
95.2,208.0
95.2,209.0
95.2,210.0
95.2,211.0
95.0,211.2
94.2,212.0
94.2,213.0
94.2,214.0
94.2,215.0
94.2,216.0
95.0,216.8
95.2,217.0
95.2,218.0
95.2,219.0
95.2,220.0
96.0,220.8
96.2,221.0
97.0,221.8
97.2,222.0
97.2,223.0
98.0,223.8
99.0,223.8
100.0,223.8
100.2,224.0
101.0,224.8
101.2,225.0
102.0,225.8
103.0,225.8
103.2,226.0
104.0,226.8
105.0,226.8
105.2,227.0
106.0,227.8
107.0,227.8
107.2,228.0
108.0,228.8
108.2,229.0
109.0,229.8
110.0,229.8
111.0,229.8
111.2,230.0
112.0,230.8
113.0,230.8
114.0,230.8
115.0,230.8
116.0,230.8
116.2,231.0
117.0,231.8
118.0,231.8
119.0,231.8
119.2,232.0
120.0,232.8
121.0,232.8
122.0,232.8
123.0,232.8
124.0,232.8
125.0,232.8
126.0,232.8
126.8,232.0
