x,y
382.8,514.0
383.0,513.8
384.0,513.8
384.8,513.0
385.0,512.8
385.8,512.0
386.0,511.8
387.0,511.8
387.8,511.0
388.0,510.8
389.0,510.8
390.0,510.8
390.8,510.0
391.0,509.8
392.0,509.8
392.2,510.0
393.0,510.8
393.8,510.0
393.8,509.0
393.8,508.0
393.8,507.0
394.0,506.8
394.8,506.0
394.8,505.0
395.0,504.8
395.8,504.0
395.8,503.0
395.8,502.0
396.0,501.8
396.8,501.0
396.8,500.0
396.8,499.0
397.0,498.8
397.8,498.0
397.8,497.0
397.8,496.0
397.8,495.0
398.0,494.8
398.8,494.0
398.8,493.0
398.8,492.0
398.8,491.0
398.8,490.0
398.8,489.0
398.0,488.2
397.8,488.0
397.8,487.0
397.8,486.0
397.8,485.0
397.0,484.2
396.8,484.0
396.8,483.0
396.8,482.0
396.0,481.2
395.8,481.0
395.8,480.0
395.8,479.0
395.8,478.0
395.0,477.2
394.8,477.0
394.8,476.0
394.0,475.2
393.8,475.0
393.0,474.2
392.8,474.0
392.8,473.0
392.0,472.2
391.0,472.2
390.0,472.2
389.0,472.2
388.0,472.2
387.8,472.0
387.0,471.2
386.0,471.2
385.0,471.2
384.0,471.2
383.0,471.2
382.0,471.2
381.8,471.0
381.0,470.2
380.0,470.2
379.2,471.0
379.2,472.0
379.2,473.0
380.0,473.8
380.2,474.0
380.2,475.0
380.2,476.0
380.2,477.0
380.2,478.0
380.0,478.2
379.2,479.0
379.2,480.0
379.2,481.0
379.0,481.2
378.2,482.0
378.2,483.0
378.2,484.0
378.0,484.2
377.0,484.2
376.0,484.2
375.8,484.0
375.0,483.2
374.0,483.2
373.8,483.0
373.0,482.2
372.0,482.2
371.8,482.0
371.0,481.2
370.8,481.0
370.0,480.2
369.8,480.0
369.0,479.2
368.8,479.0
368.0,478.2
367.8,478.0
367.0,477.2
366.0,477.2
365.8,477.0
365.0,476.2
364.0,476.2
363.0,476.2
362.8,476.0
362.0,475.2
361.8,475.0
361.0,474.2
360.8,474.0
360.0,473.2
359.8,473.0
359.0,472.2
358.0,472.2
357.8,472.0
357.0,471.2
356.0,471.2
355.8,471.0
355.0,470.2
354.0,470.2
353.2,471.0
353.0,471.2
352.2,472.0
352.0,472.2
351.0,472.2
350.2,473.0
350.2,474.0
350.2,475.0
350.2,476.0
350.2,477.0
351.0,477.8
351.2,478.0
352.0,478.8
352.2,479.0
353.0,479.8
353.2,480.0
354.0,480.8
354.2,481.0
354.2,482.0
354.2,483.0
355.0,483.8
355.2,484.0
356.0,484.8
357.0,484.8
357.2,485.0
357.2,486.0
358.0,486.8
359.0,486.8
359.2,487.0
360.0,487.8
360.2,488.0
361.0,488.8
361.2,489.0
361.2,490.0
362.0,490.8
362.2,491.0
363.0,491.8
363.2,492.0
364.0,492.8
364.2,493.0
365.0,493.8
366.0,493.8
367.0,493.8
367.2,494.0
367.2,495.0
367.2,496.0
367.0,496.2
366.0,496.2
365.2,497.0
365.2,498.0
365.0,498.2
364.2,499.0
364.0,499.2
363.2,500.0
363.0,500.2
362.2,501.0
362.2,502.0
362.0,502.2
361.2,503.0
361.0,503.2
360.0,503.2
359.2,504.0
360.0,504.8
360.2,505.0
361.0,505.8
361.2,506.0
361.2,507.0
362.0,507.8
363.0,507.8
363.2,508.0
364.0,508.8
364.2,509.0
365.0,509.8
365.2,510.0
366.0,510.8
366.2,511.0
367.0,511.8
367.2,512.0
368.0,512.8
368.2,513.0
369.0,513.8
369.2,514.0
370.0,514.8
371.0,514.8
372.0,514.8
373.0,514.8
374.0,514.8
375.0,514.8
376.0,514.8
377.0,514.8
378.0,514.8
379.0,514.8
380.0,514.8
381.0,514.8
382.0,514.8
382.8,514.0
