x,y
397.8,586.0
397.8,585.0
397.0,584.2
396.8,584.0
397.0,583.8
397.8,583.0
397.8,582.0
397.8,581.0
398.0,580.8
398.8,580.0
399.0,579.8
400.0,579.8
401.0,579.8
401.8,579.0
402.0,578.8
402.2,579.0
403.0,579.8
404.0,579.8
404.8,579.0
405.0,578.8
406.0,578.8
407.0,578.8
407.8,578.0
407.8,577.0
407.8,576.0
408.0,575.8
408.8,575.0
408.8,574.0
408.8,573.0
408.8,572.0
408.8,571.0
409.0,570.8
409.8,570.0
410.0,569.8
411.0,569.8
412.0,569.8
413.0,569.8
414.0,569.8
415.0,569.8
416.0,569.8
417.0,569.8
417.8,569.0
417.0,568.2
416.8,568.0
417.0,567.8
417.8,567.0
417.8,566.0
417.8,565.0
417.0,564.2
416.8,564.0
417.0,563.8
418.0,563.8
419.0,563.8
419.8,563.0
420.0,562.8
421.0,562.8
421.8,562.0
421.8,561.0
422.0,560.8
422.8,560.0
423.0,559.8
424.0,559.8
424.8,559.0
425.0,558.8
425.8,558.0
425.8,557.0
425.8,556.0
426.0,555.8
426.8,555.0
426.0,554.2
425.8,554.0
425.0,553.2
424.8,553.0
424.0,552.2
423.8,552.0
423.0,551.2
422.8,551.0
422.0,550.2
421.8,550.0
422.0,549.8
422.8,549.0
423.0,548.8
423.8,548.0
424.0,547.8
424.8,547.0
424.8,546.0
424.8,545.0
424.8,544.0
424.8,543.0
424.0,542.2
423.8,542.0
423.0,541.2
422.8,541.0
422.0,540.2
421.8,540.0
421.8,539.0
421.8,538.0
422.0,537.8
422.8,537.0
423.0,536.8
423.8,536.0
423.8,535.0
423.8,534.0
424.0,533.8
424.8,533.0
424.8,532.0
424.8,531.0
424.8,530.0
424.0,529.2
423.0,529.2
422.0,529.2
421.8,529.0
421.8,528.0
421.0,527.2
420.8,527.0
420.8,526.0
420.8,525.0
421.0,524.8
421.8,524.0
421.8,523.0
421.8,522.0
421.8,521.0
422.0,520.8
422.8,520.0
422.8,519.0
422.0,518.2
421.8,518.0
421.8,517.0
421.0,516.2
420.0,516.2
419.2,517.0
419.0,517.2
418.0,517.2
417.0,517.2
416.0,517.2
415.0,517.2
414.8,517.0
414.0,516.2
413.2,517.0
413.0,517.2
412.0,517.2
411.8,517.0
411.0,516.2
410.8,516.0
411.0,515.8
411.8,515.0
411.8,514.0
411.0,513.2
410.0,513.2
409.8,513.0
409.8,512.0
409.0,511.2
408.8,511.0
408.0,510.2
407.8,510.0
407.0,509.2
406.2,510.0
