x,y
145.8,296.0
146.0,295.8
146.8,295.0
147.0,294.8
148.0,294.8
149.0,294.8
150.0,294.8
151.0,294.8
151.8,294.0
152.0,293.8
152.8,293.0
153.0,292.8
154.0,292.8
155.0,292.8
155.8,292.0
156.0,291.8
156.8,291.0
157.0,290.8
157.8,290.0
158.0,289.8
158.8,289.0
159.0,288.8
159.8,288.0
160.0,287.8
160.8,287.0
160.8,286.0
160.8,285.0
161.0,284.8
161.8,284.0
162.0,283.8
162.8,283.0
163.0,282.8
163.8,282.0
164.0,281.8
164.8,281.0
164.8,280.0
164.8,279.0
164.8,278.0
164.8,277.0
164.8,276.0
164.8,275.0
164.8,274.0
164.8,273.0
164.8,272.0
164.8,271.0
165.0,270.8
165.8,270.0
166.0,269.8
166.8,269.0
166.8,268.0
166.8,267.0
166.8,266.0
166.8,265.0
166.8,264.0
166.8,263.0
166.8,262.0
166.8,261.0
166.8,260.0
166.8,259.0
166.8,258.0
166.8,257.0
166.8,256.0
166.8,255.0
166.8,254.0
166.8,253.0
166.8,252.0
166.0,251.2
165.8,251.0
165.0,250.2
164.8,250.0
164.8,249.0
164.8,248.0
164.8,247.0
164.8,246.0
164.8,245.0
164.8,244.0
164.0,243.2
163.8,243.0
163.0,242.2
162.8,242.0
162.8,241.0
162.8,240.0
162.8,239.0
162.8,238.0
162.8,237.0
162.8,236.0
162.8,235.0
162.8,234.0
162.0,233.2
161.0,233.2
160.8,233.0
160.8,232.0
160.8,231.0
161.0,230.8
161.8,230.0
162.0,229.8
162.8,229.0
162.8,228.0
162.8,227.0
162.8,226.0
162.8,225.0
163.0,224.8
163.8,224.0
164.0,223.8
164.8,223.0
164.8,222.0
165.0,221.8
165.8,221.0
166.0,220.8
166.8,220.0
167.0,219.8
167.8,219.0
167.8,218.0
167.0,217.2
166.8,217.0
166.8,216.0
166.0,215.2
165.8,215.0
165.0,214.2
164.0,214.2
163.8,214.0
164.0,213.8
164.8,213.0
164.8,212.0
164.8,211.0
165.0,210.8
165.8,210.0
166.0,209.8
166.8,209.0
167.0,208.8
167.8,208.0
168.0,207.8
168.8,207.0
168.8,206.0
168.8,205.0
168.8,204.0
168.8,203.0
168.8,202.0
168.8,201.0
168.0,200.2
167.0,200.2
166.0,200.2
165.2,201.0
165.0,201.2
164.8,201.0
164.0,200.2
163.0,200.2
162.2,201.0
162.0,201.2
161.0,201.2
160.2,202.0
160.2,203.0
160.0,203.2
159.0,203.2
158.2,204.0
158.2,205.0
158.0,205.2
157.0,205.2
156.2,206.0
156.2,207.0
156.0,207.2
155.0,207.2
154.2,208.0
154.0,208.2
153.2,209.0
153.0,209.2
152.2,210.0
152.0,210.2
151.0,210.2
150.0,210.2
149.2,211.0
149.0,211.2
148.2,212.0
148.2,213.0
148.2,214.0
148.2,215.0
148.2,216.0
148.0,216.2
147.2,217.0
147.0,217.2
146.2,218.0
146.2,219.0
146.2,220.0
146.0,220.2
145.2,221.0
145.0,221.2
144.2,222.0
144.2,223.0
144.0,223.2
143.0,223.2
142.2,224.0
142.2,225.0
142.2,226.0
142.0,226.2
141.2,227.0
141.0,227.2
140.2,228.0
140.2,229.0
140.2,230.0
140.0,230.2
139.2,231.0
139.0,231.2
138.2,232.0
138.0,232.2
137.2,233.0
137.0,233.2
136.2,234.0
136.2,235.0
136.0,235.2
135.2,236.0
135.0,236.2
134.2,237.0
134.2,238.0
134.0,238.2
133.2,239.0
133.0,239.2
132.2,240.0
132.0,240.2
131.2,241.0
131.2,242.0
131.0,242.2
130.2,243.0
130.2,244.0
130.2,245.0
130.2,246.0
130.0,246.2
129.2,247.0
129.0,247.2
128.2,248.0
128.2,249.0
128.2,250.0
128.2,251.0
128.2,252.0
128.0,252.2
127.2,253.0
127.0,253.2
126.2,254.0
126.2,255.0
126.2,256.0
126.2,257.0
126.2,258.0
126.2,259.0
126.2,260.0
126.2,261.0
126.2,262.0
126.2,263.0
126.2,264.0
126.2,265.0
126.2,266.0
126.2,267.0
126.2,268.0
126.2,269.0
126.2,270.0
126.2,271.0
126.2,272.0
126.2,273.0
126.2,274.0
126.2,275.0
126.2,276.0
126.2,277.0
126.2,278.0
126.2,279.0
127.0,279.8
127.2,280.0
128.0,280.8
128.2,281.0
128.2,282.0
128.2,283.0
128.2,284.0
129.0,284.8
129.2,285.0
129.2,286.0
130.0,286.8
130.2,287.0
131.0,287.8
131.2,288.0
132.0,288.8
132.2,289.0
132.2,290.0
132.2,291.0
133.0,291.8
133.2,292.0
134.0,292.8
134.2,293.0
135.0,293.8
136.0,293.8
136.2,294.0
137.0,294.8
138.0,294.8
138.2,295.0
139.0,295.8
139.2,296.0
140.0,296.8
141.0,296.8
142.0,296.8
143.0,296.8
144.0,296.8
145.0,296.8
145.8,296.0
